game_accessibility,game_asset_license,game_ave_session,game_criteria,game_desc_len,game_developers,game_developers_url,game_genres,game_inputs,game_language,game_last_update,game_license,game_made_with,game_name,game_no_ratings,game_no_screenshots,game_platforms,game_price,game_publish_date,game_ranks,game_raw_scores,game_release_date,game_scores,game_size,game_source_code,game_status,game_submission_page,game_tags,game_url,jam_name,jam_url,overall_rank,high_ranking,number_of_developers
High-contrast||Textless,,A few seconds,Adherence to the Theme||Design||Overall||Originality,186.0,Malgavis,https://malgavis.itch.io,Racing||Action||Platformer||Puzzle,Keyboard,,,,GameMaker: Studio,One Minute to Pass,46.0,1.0,Windows||HTML5,,,1219||1605||1692||2098,3.283||2.370||2.522||1.913,,3.283||2.370||2.522||1.913,onlyOne.exe||3 MB||||Windows,,Released,https://itch.io/jam/gmtk-2019/rate/460362,2D||argentina||Game Jam||Puzzle-Platformer,https://malgavis.itch.io/one-minute-to-pass,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1692,0,1
,,,Adherence to the Theme||Originality||Overall||Design,204.0,Kahltech Studios,https://kahltechstudios.itch.io,Rhythm,,,,,Unity,One Slash Swordsman,18.0,4.0,Windows||macOS||Linux||HTML5,,,1413||1541||1693||2041,3.056||2.778||2.519||1.722,,3.056||2.778||2.519||1.722,One Slash Swordsman Game.zip||20 MB||||Windows||Linux||macOS,,Prototype,https://itch.io/jam/gmtk-2019/rate/462526,Game Maker's Toolkit Jam||number||one-button||Slasher||swordsman,https://kahltechstudios.itch.io/one-slash-swordsman,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1693,0,1
,,,Adherence to the Theme||Originality||Overall||Design,92.0,2lol555,https://2lol555.itch.io,Action,,,,,Unity,BLADE,11.0,1.0,HTML5,,,1575||1640||1694||1769,2.818||2.636||2.515||2.091,,2.818||2.636||2.515||2.091,,,Released,https://itch.io/jam/gmtk-2019/rate/461697,2D||Game Maker's Toolkit Jam||Pixel Art||Runner,https://2lol555.itch.io/blade-the-game,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1694,0,1
,,,Design||Adherence to the Theme||Overall||Originality,33.0,Neon Fern,https://neon-fern.itch.io,Action||Survival,,,,,Unity,Only one wave,13.0,1.0,HTML5,,,1585||1592||1710||1861,2.385||2.769||2.487||2.308,,2.385||2.769||2.487||2.308,,,Released,https://itch.io/jam/gmtk-2019/rate/462998,3D||High Score||Slasher,https://neon-fern.itch.io/only-one-wave,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1710,0,1
,,,Adherence to the Theme||Overall||Design||Originality,224.0,SEMIGUT GAMES,https://semigut-games.itch.io,Fighting,,,,,Unity,OnlyOneDungeon,11.0,1.0,HTML5,,,1023||1711||1984||1996,3.545||2.485||1.818||2.091,,3.545||2.485||1.818||2.091,,,Prototype,https://itch.io/jam/gmtk-2019/rate/460771,,https://semigut-games.itch.io/onlyonedungeon,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1711,0,1
,,,Adherence to the Theme||Design||Overall||Originality,887.0,GamerKing885,https://gamerking885.itch.io,Shooter||Action,,,,,,Operation: One Shot,43.0,1.0,Windows,,,1641||1665||1721||1758,2.698||2.233||2.465||2.465,,2.698||2.233||2.465||2.465,ZIP for Operation: One Shot||449 MB||||Windows,,Prototype,https://itch.io/jam/gmtk-2019/rate/462383,Difficult||Fast-Paced||First-Person||FPS||Game Maker's Toolkit Jam||Singleplayer||Unity,https://gamerking885.itch.io/operation-one-shot,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1721,0,1
,,,Originality||Design||Overall||Adherence to the Theme,369.0,KoryB,https://koryb.itch.io,Action,,,,,GameMaker: Studio,Cloud Man Power,16.0,1.0,HTML5,,,1524||1588||1723||2070,2.813||2.375||2.458||2.188,,2.813||2.375||2.458||2.188,,,Released,https://itch.io/jam/gmtk-2019/rate/462328,2D||fun,https://koryb.itch.io/cloud-man-power,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1723,0,1
,,,Adherence to the Theme||Design||Overall||Originality,698.0,Art Broken,https://artbroken.itch.io,Puzzle,,,,,Unity,A Silent Sword,11.0,1.0,HTML5,,,1575||1644||1724||1866,2.818||2.273||2.455||2.273,,2.818||2.273||2.455||2.273,,,Released,https://itch.io/jam/gmtk-2019/rate/462177,Action RPG||Horror,https://artbroken.itch.io/a-silent-sword,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1724,0,1
,,,Adherence to the Theme||Overall||Originality||Design,496.0,solazdev,https://solazdev.itch.io,Action,,,,,Unity,Black Friday,17.0,3.0,Windows||Linux||HTML5,Name your own price,,1639||1735||1738||1762,2.706||2.451||2.529||2.118,,2.706||2.451||2.529||2.118,BlackFriday_GMTK2019_Lin_1.zip||21 MB||||Linux<>BlackFriday_GMTK2019_Win_1.zip||21 MB||||Windows,,In development,https://itch.io/jam/gmtk-2019/rate/460218,Endless||Game Maker's Toolkit Jam||Unity,https://solazdev.itch.io/black-friday,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1735,0,1
,,,Adherence to the Theme||Overall||Design||Originality,54.0,Abramaran,https://abramaran.itch.io,Platformer,,,,,Unity,One Second,17.0,1.0,Windows||HTML5,,,990||1736||1983||2089,3.588||2.451||1.824||1.941,,3.588||2.451||1.824||1.941,onesecond.zip||20 MB||||Windows,,Prototype,https://itch.io/jam/gmtk-2019/rate/463745,Cute||Funny||minigames||Short,https://abramaran.itch.io/one-second,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1736,0,1
,,,Originality||Design||Overall||Adherence to the Theme,301.0,thatguyty,https://thatguyty.itch.io,Puzzle,,,,,,The Cube,12.0,3.0,macOS,,,1420||1493||1737||2193,2.917||2.500||2.444||1.917,,2.917||2.500||2.444||1.917,TheCube||36 MB||||macOS,,Released,https://itch.io/jam/gmtk-2019/rate/463326,,https://thatguyty.itch.io/the-cube,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1737,0,1
,,A few minutes,Adherence to the Theme||Design||Overall||Originality,308.0,MAd Developers,https://maddevelopers.itch.io,Survival,Keyboard,English,,,Unity||Adobe Photoshop,Winter Is Coming,19.0,2.0,Windows,,,1686||1695||1738||1784,2.684||2.211||2.439||2.421,,2.684||2.211||2.439||2.421,Winter_Is_Coming_Windows.zip||21 MB||||Windows,,Released,https://itch.io/jam/gmtk-2019/rate/461857,2D||gtmk||My First Game Jam||one-hit-kill||simple||Singleplayer||Unity,https://maddevelopers.itch.io/winter-is-coming,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1738,0,1
,,,Design||Overall||Originality||Adherence to the Theme,150.0,fawnsolo||hotdaniel0977586,https://fawnsolo.itch.io||https://hotdaniel0977586.itch.io,Action||Platformer,,,,,Unity,Once More,16.0,1.0,HTML5,,,1493||1739||1747||1952,2.500||2.438||2.500||2.313,,2.500||2.438||2.500||2.313,,,Prototype,https://itch.io/jam/gmtk-2019/rate/460282,2D,https://fawnsolo.itch.io/oncemore,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1739,0,2
,,,Adherence to the Theme||Overall||Originality||Design,88.0,XuTi Game Development,https://xuti.itch.io,,,,,,Unity,Just One Click,13.0,1.0,HTML5,,,1029||1740||1861||2176,3.538||2.436||2.308||1.462,,3.538||2.436||2.308||1.462,,,Released,https://itch.io/jam/gmtk-2019/rate/460156,clicker||Game Jam||gmtk-2019||Game Maker's Toolkit Jam||only-one,https://xuti.itch.io/just-one-click,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1740,0,1
,,A few seconds,Originality||Design||Overall||Adherence to the Theme,286.0,Alex Cline||Steven Drovie,https://clinealex10.itch.io||https://nightangel47.itch.io,Platformer,Keyboard||Mouse,English,,,Unity||Adobe Photoshop||Krita||Adobe Illustrator,Only Up,10.0,5.0,HTML5,,,1663||1697||1743||1806,2.600||2.200||2.433||2.500,04 August 2019 @ 18:24,2.600||2.200||2.433||2.500,,,Released,https://itch.io/jam/gmtk-2019/rate/462199,2D||Game Maker's Toolkit Jam||Unity,https://clinealex10.itch.io/only-up,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1743,0,2
,,,Design||Overall||Originality||Adherence to the Theme,578.0,master both,https://master-both.itch.io,Action,,,,,LÖVE,Slalom,28.0,1.0,HTML5,,,1167||1747||1891||2073,2.893||2.429||2.214||2.179,,2.893||2.429||2.214||2.179,source_0.10.2.love||36 kB||||,,Released,https://itch.io/jam/gmtk-2019/rate/460326,Game Maker's Toolkit Jam||LÖVE,https://master-both.itch.io/slalom,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1747,0,1
,,,Adherence to the Theme||Overall||Originality||Design,59.0,DoctorMikeReddy,https://doctormikereddy.itch.io,Platformer,,,,,PICO-8,Thomas Was a Line,18.0,1.0,HTML5,,,1413||1761||1846||1939,3.056||2.407||2.333||1.833,,3.056||2.407||2.333||1.833,,,In development,https://itch.io/jam/gmtk-2019/rate/462856,1d||Game Maker's Toolkit Jam||PICO-8,https://doctormikereddy.itch.io/thomas-was-a-line,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1761,0,1
,,A few seconds,Design||Overall||Originality||Adherence to the Theme,482.0,Tiny_Home_Company,https://tiny-home-company.itch.io,Rhythm,Keyboard,,,,Unity,Solous,14.0,3.0,HTML5,Name your own price,,1190||1762||1975||1976,2.857||2.405||2.143||2.214,,2.857||2.405||2.143||2.214,FinaleBuild.rar||24 MB||||,,In development,https://itch.io/jam/gmtk-2019/rate/462590,2D||Cyberpunk||Minimalist||Music||Retro||Sci-fi||Short||Synthwave||Unity,https://tiny-home-company.itch.io/solous,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1762,0,1
,,,Design||Originality||Overall||Adherence to the Theme,529.0,tangledrealitystudios,https://tangledrealitystudios.itch.io,Strategy,,,,,Unity,24D8,15.0,2.0,HTML5,,,1612||1629||1768||2013,2.333||2.667||2.400||2.200,,2.333||2.667||2.400||2.200,,,Prototype,https://itch.io/jam/gmtk-2019/rate/463650,2D||Game Maker's Toolkit Jam||Unity,https://tangledrealitystudios.itch.io/24d8,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1768,0,1
,,,Adherence to the Theme||Originality||Overall||Design,125.0,levelmaxpanda,https://levelmaxpanda.itch.io,,,,,,Unity,Only One Antidote,10.0,1.0,HTML5,,,1579||1747||1788||1995,2.800||2.500||2.367||1.800,,2.800||2.500||2.367||1.800,,,Released,https://itch.io/jam/gmtk-2019/rate/461836,Game Maker's Toolkit Jam,https://levelmaxpanda.itch.io/only-one-antidote,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1788,0,1
,,,Adherence to the Theme||Overall||Originality||Design,1410.0,penguindustin,https://penguindustin.itch.io,Interactive Fiction,,,,,Unity,Alone,11.0,1.0,HTML5,,,1161||1789||1866||2228,3.364||2.364||2.273||1.455,,3.364||2.364||2.273||1.455,,,Released,https://itch.io/jam/gmtk-2019/rate/461124,Mouse only||Multiple Endings||Narrative||Unity,https://penguindustin.itch.io/gmtkjam-alone,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1789,0,1
,,,Design||Originality||Overall||Adherence to the Theme,143.0,FearedRelics,https://fearedrelics.itch.io,,,,,,Unity,Essential,14.0,1.0,HTML5,,,1309||1747||1827||2365,2.714||2.500||2.286||1.643,,2.714||2.500||2.286||1.643,,,Released,https://itch.io/jam/gmtk-2019/rate/462648,Game Maker's Toolkit Jam||My First Game Jam,https://fearedrelics.itch.io/essential,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1827,0,1
,,,Originality||Adherence to the Theme||Overall||Design,1097.0,Cyberq,https://cyberq.itch.io,Action||Fighting,,,,,,WarofTheLastSamurai,11.0,4.0,Windows,,,1519||1823||1832||2174,2.818||2.455||2.273||1.545,,2.818||2.455||2.273||1.545,WAR_TheLastSamurai_Gamjam_submission.zip||121 MB||||Windows<>GM_TK_GameJamSubmissionUpdate.zip||81 MB||||Windows,,Released,https://itch.io/jam/gmtk-2019/rate/461165,3D||Action RPG||Anime||Arcade||Cyberpunk||Difficult||Neon||samurai||Sci-fi,https://cyberq.itch.io/warofthelastsamurai,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1832,0,1
,,,Design||Overall||Adherence to the Theme||Originality,309.0,DreadKyller,https://dreadkyller.itch.io,,,,,,Unity,GMTK 2019 - Bass Boss,11.0,1.0,HTML5,,,1144||1833||2091||2197,2.909||2.273||2.091||1.818,,2.909||2.273||2.091||1.818,,,Prototype,https://itch.io/jam/gmtk-2019/rate/463885,,https://dreadkyller.itch.io/gmtk-game-jam-2019-bass-boss,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1833,0,1
,,,Design||Overall||Adherence to the Theme||Originality,182.0,Hjelmqvist,https://hjelmqvist.itch.io,Platformer,,,,,Unity,One-Direction Platformer Kappa,13.0,1.0,HTML5,,,994||1850||2192||2211,3.077||2.256||1.923||1.769,,3.077||2.256||1.923||1.769,,,Prototype,https://itch.io/jam/gmtk-2019/rate/461929,Game Maker's Toolkit Jam,https://hjelmqvist.itch.io/gmtk-jam-2019,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1850,0,1
,,,Design||Originality||Overall||Adherence to the Theme,149.0,codeberg,https://codeberg.itch.io,Action,,,,,Unity,Only One Cube,13.0,1.0,HTML5,,,1585||1719||1851||2219,2.385||2.538||2.256||1.846,,2.385||2.538||2.256||1.846,,,Released,https://itch.io/jam/gmtk-2019/rate/462679,Arcade||Casual||Game Maker's Toolkit Jam||Unity,https://codeberg.itch.io/onecube,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1851,0,1
,,,Design||Overall||Originality||Adherence to the Theme,172.0,Nasty Old Wizard,https://nastyoldwizard.itch.io,Action,,,,,GameMaker: Studio,Bunny Slime,16.0,2.0,HTML5,,,1233||1862||1977||2276,2.813||2.250||2.125||1.813,,2.813||2.250||2.125||1.813,Bunny ~ Slime||10 MB||||,,Released,https://itch.io/jam/gmtk-2019/rate/462148,2D||Pixel Art||Roguelike||Tactical RPG,https://nastyoldwizard.itch.io/bunny-slime,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1862,0,1
,,,Originality||Design||Overall||Adherence to the Theme,121.0,arobegamr,https://arobegamr.itch.io,Platformer||Action,,,,,Unity,Nine Lives,13.0,1.0,HTML5,,,1759||1872||1922||2093,2.462||1.923||2.154||2.077,,2.462||1.923||2.154||2.077,,,Released,https://itch.io/jam/gmtk-2019/rate/463030,cartoon||cats||Dogs||Game Jam||Game Maker's Toolkit Jam,https://arobegamr.itch.io/nine-lives,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1922,0,1
,,,Adherence to the Theme||Overall||Originality||Design,0.0,rcr1234,https://rcr1234.itch.io,Platformer,,,,,Unity,one light,12.0,1.0,HTML5,,,1694||1929||1997||2079,2.667||2.139||2.083||1.667,,2.667||2.139||2.083||1.667,,,Released,https://itch.io/jam/gmtk-2019/rate/460895,,https://rcr1234.itch.io/one-light,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1929,0,1
,,,Design||Originality||Overall||Adherence to the Theme,184.0,FruityBoi,https://fruityboi.itch.io,Action,,,,,,Deflector,10.0,1.0,,,,1852||1924||1930||2013,2.000||2.200||2.133||2.200,,2.000||2.200||2.133||2.200,Final Build.rar||26 MB||||,,Prototype,https://itch.io/jam/gmtk-2019/rate/463165,2D||Pixel Art||Side Scroller,https://fruityboi.itch.io/deflector,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1930,0,1
,,,Design||Overall||Originality||Adherence to the Theme,359.0,Eleonora,https://eleonoragames.itch.io,Action||Shooter,,,,,Unity,Shapes Purgatory,13.0,1.0,HTML5,,,1515||1942||2097||2167,2.462||2.128||1.923||2.000,,2.462||2.128||1.923||2.000,,https://github.com/HackerPoet/Composer,Released,https://itch.io/jam/gmtk-2019/rate/460779,Arcade||Game Maker's Toolkit Jam,https://eleonoragames.itch.io/shapes-purgatory,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1942,0,1
,,,Design||Adherence to the Theme||Overall||Originality,643.0,Zomk,https://zomk.itch.io,Fighting,,,,,Unity,There Can Be Only One,11.0,4.0,HTML5,,,1723||1823||1948||2248,2.182||2.455||2.121||1.727,,2.182||2.455||2.121||1.727,,,Released,https://itch.io/jam/gmtk-2019/rate/462424,2019||2D||gamemakerstoolkit||Global Game Jam||Game Maker's Toolkit Jam||Pixel Art||Singleplayer||Top-Down||untiy2d,https://zomk.itch.io/there-can-be-only-one,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1948,0,1
,,,Design||Originality||Overall||Adherence to the Theme,301.0,Log cat,https://log-cat.itch.io,Platformer||Puzzle,,,,,Unity,Dummy Chase,13.0,1.0,HTML5,,,1666||1805||1963||2311,2.231||2.385||2.103||1.692,,2.231||2.385||2.103||1.692,,,Released,https://itch.io/jam/gmtk-2019/rate/460763,2D||dummy||Game Boy||Game Maker's Toolkit Jam||logcat||Pixel Art||Puzzle-Platformer||Singleplayer,https://log-cat.itch.io/dummy-chase,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1963,0,1
,,,Design||Overall||Originality||Adherence to the Theme,110.0,Olivier Proulx,https://heliturtleop.itch.io,Platformer||Puzzle,,,,,Unity,Bun-E,13.0,1.0,HTML5,,,1633||1964||2070||2167,2.308||2.103||2.000||2.000,,2.308||2.103||2.000||2.000,,,Released,https://itch.io/jam/gmtk-2019/rate/462783,2D||Game Maker's Toolkit Jam||Pixel Art||Puzzle-Platformer,https://heliturtleop.itch.io/bun-e,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1964,0,1
,,A few minutes,Design||Originality||Overall||Adherence to the Theme,419.0,Telemantha||Vivek-Raman,https://telemantha.itch.io||https://vivek-raman.itch.io,Platformer,Keyboard,,,,Unity,Soul Jaunt,14.0,1.0,HTML5,,,1775||1891||1965||2167,2.071||2.214||2.095||2.000,,2.071||2.214||2.095||2.000,,,Released,https://itch.io/jam/gmtk-2019/rate/461972,2D||Atmospheric||Game Maker's Toolkit Jam||Minimalist||Singleplayer,https://telemantha.itch.io/soul-jaunt,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,1965,0,2
,,,Design||Adherence to the Theme||Overall||Originality,396.0,cazualToast,https://cazualtoast.itch.io,Platformer,,,,,,Only One Cell,12.0,2.0,HTML5,,,1939||1968||2002||2070,1.833||2.250||2.028||2.000,,1.833||2.250||2.028||2.000,,,Released,https://itch.io/jam/gmtk-2019/rate/463719,2D||biology||evolution||only-one||Pixel Art||Post-apocalyptic||Singleplayer||wasd||Zero Gravity,https://cazualtoast.itch.io/only-one-cell,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2002,0,1
,,,Originality||Overall||Design||Adherence to the Theme,210.0,MrBank,https://mrbank.itch.io,Action,,,,,Unity,KillOrDie,10.0,2.0,HTML5,,,1863||2041||2042||2167,2.300||2.000||1.700||2.000,,2.300||2.000||1.700||2.000,,,Released,https://itch.io/jam/gmtk-2019/rate/462346,,https://mrbank.itch.io/killordie,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2041,0,1
,,,Design||Adherence to the Theme||Overall||Originality,0.0,mattdrain98,https://mattdrain98.itch.io,,,,,,Unity,One Key,11.0,1.0,HTML5,,,1852||2072||2078||2306,2.000||2.182||1.939||1.636,,2.000||2.182||1.939||1.636,,,Released,https://itch.io/jam/gmtk-2019/rate/462885,,https://mattdrain98.itch.io/one-key,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2078,0,1
,,,Design||Originality||Overall||Adherence to the Theme,228.0,jree101,https://jree101.itch.io,Puzzle||Role Playing,,,,,RPG Maker,The Dragon of Mystery Woods,13.0,1.0,HTML5,,,1872||1967||2088||2311,1.923||2.154||1.923||1.692,,1.923||2.154||1.923||1.692,,,In development,https://itch.io/jam/gmtk-2019/rate/460998,2D||Game Maker's Toolkit Jam,https://jree101.itch.io/the-dragon-of-mystery-woods,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2088,0,1
,,,Adherence to the Theme||Overall||Design||Originality,280.0,Ruby Interactive Games,https://ruby-interactive-games.itch.io,Platformer,,,,,Unity,Nuttatouie,19.0,3.0,HTML5,,,1957||2122||2128||2247,2.263||1.877||1.632||1.737,,2.263||1.877||1.632||1.737,,,Released,https://itch.io/jam/gmtk-2019/rate/461367,2D||Cute||Game Maker's Toolkit Jam||Short||Side Scroller||Singleplayer||Unity,https://ruby-interactive-games.itch.io/nuttatouie,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2122,0,1
,,,Originality||Overall||Adherence to the Theme||Design,197.0,100procentNL,https://100procentnl.itch.io,,,,,,Unity,OwO gewt a highwer nuwmber pwease OwO,11.0,1.0,HTML5,,,1769||2127||2275||2368,2.455||1.848||1.818||1.273,,2.455||1.848||1.818||1.273,,,Released,https://itch.io/jam/gmtk-2019/rate/462332,,https://100procentnl.itch.io/owo-gewt-a-highwer-nuwmber-pwease-owo,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2127,0,1
,,,Originality||Overall||Design||Adherence to the Theme,635.0,FodderLabs,https://fodderlabs.itch.io,Action,,,,,Construct,One Trick Pony,13.0,1.0,HTML5,,,1759||2128||2276||2311,2.462||1.846||1.385||1.692,,2.462||1.846||1.385||1.692,,,Prototype,https://itch.io/jam/gmtk-2019/rate/462646,Game Maker's Toolkit Jam,https://fodderlabs.itch.io/one-trick-pony,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2128,0,1
,,,Design||Originality||Overall||Adherence to the Theme,1014.0,Kijo,https://kijo.itch.io,Action,,,,,,Slime Cube Cat,24.0,5.0,Windows||macOS||Linux,,,1739||2070||2167||2467,2.125||2.000||1.806||1.292,,2.125||2.000||1.806||1.292,Slime Cube Cat 0.1.1 (Window).rar||75 MB||||Windows<>Slime Cube Cat 0.1.1 (Linux).rar||77 MB||||Linux<>Slime Cube Cat 0.1.1 (Mac).rar||77 MB||||macOS,,Released,https://itch.io/jam/gmtk-2019/rate/459331,2D||cats||cubo||Cute||godot||Pixel Art,https://kijo.itch.io/slime-cube-cat,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2167,0,1
,,,Design||Originality||Overall||Adherence to the Theme,406.0,Ojin,https://ojin.itch.io,Shooter,,,,,Unity,Those Damn Extroverts,15.0,1.0,HTML5,,,2039||2307||2342||2465,1.733||1.600||1.556||1.333,,1.733||1.600||1.556||1.333,,,Released,https://itch.io/jam/gmtk-2019/rate/462516,2D||anxiety||extroverts||Horror||introverts||Pixel Art,https://ojin.itch.io/those-damn-extroverts,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2342,0,1
,,,Design||Overall||Adherence to the Theme||Originality,697.0,Next Level,https://narotuali.itch.io,Action||Adventure,,,,,,Sonic Rush,16.0,2.0,Windows,Name your own price,,2158||2447||2463||2500,1.563||1.375||1.375||1.188,,1.563||1.375||1.375||1.188,Sonic Rush.rar||15 MB||||Windows,,Released,https://itch.io/jam/gmtk-2019/rate/461397,2D||Arcade||Game Maker's Toolkit Jam||Pixel Art||sonic,https://narotuali.itch.io/sonic-rush,GMTK Game Jam 2019,https://www.itch.io/jam/gmtk-2019,2447,0,1
,,A few minutes,Mechanic||Overall||Technical||Music||Sound Effects||Graphics||Atmosphere||Theme||Story,1120.0,Jiri Hysek,https://jhysek.itch.io,Platformer||Action,Keyboard,English,,,Godot,Reincarnation of the Ninja,18.0,3.0,Windows||macOS||Linux,,,1||1||4||9||11||12||14||26||30,4.444||4.278||3.722||3.722||3.556||3.944||3.778||3.444||2.556,,4.444||4.278||3.722||3.722||3.556||3.944||3.778||3.444||2.556,For Windows (post-jam version)||12 MB||||Windows<>For MacOSX (post-jam version)||28 MB||||macOS<>For Linux (post-jam version)||12 MB||||Linux<>For Windows (jam version)||12 MB||||Windows<>For MacOSX (jam version)||28 MB||||macOS<>For Linux (jam version)||12 MB||||Linux,,Released,https://itch.io/jam/jimjam-2/rate/311220,Ninja||rage,https://jhysek.itch.io/reincarnation-of-the-ninja,JimJam #2,https://www.itch.io/jam/jimjam-2,1,1,1
,,,Mechanic||Technical||Theme||Overall||Music||Atmosphere||Graphics||Story||Sound Effects,304.0,EvilArtBunny,https://evilartbunny.itch.io,Puzzle,,,,,GameMaker: Studio,Circle Serpent,11.0,3.0,Windows||HTML5,Name your own price,,2||2||2||2||6||9||19||36||87,4.364||3.909||4.273||4.091||3.818||4.000||3.727||2.455||2.273,,4.364||3.909||4.273||4.091||3.818||4.000||3.727||2.455||2.273,Circle O.zip - the Jam original||9 MB||||<>Circle O2.zip - updated version  (recommended)||10 MB||||Windows,,Released,https://itch.io/jam/jimjam-2/rate/310521,GameMaker||Minimalist||Singleplayer||snake,https://evilartbunny.itch.io/circle-serpent,JimJam #2,https://www.itch.io/jam/jimjam-2,2,1,1
,,,Theme||Music||Atmosphere||Sound Effects||Overall||Graphics||Story||Technical||Mechanic,451.0,CameronOtten,https://cameronotten.itch.io,Adventure,,,,,,Swallow the Sun,16.0,3.0,Windows,Name your own price,30 September 2018 @ 20:09,1||1||2||3||3||11||12||14||26,4.313||4.188||4.375||3.813||4.063||4.000||3.375||3.438||3.625,,4.313||4.188||4.375||3.813||4.063||4.000||3.375||3.438||3.625,Swallow the Sun - Win64.zip||67 MB||||Windows<>Swallow the Sun -Win32.zip||65 MB||||Windows<>Swallow the Sun - MacOSX.app.zip||70 MB||||<>Swallow the Sun - Linux.zip||83 MB||||,,Released,https://itch.io/jam/jimjam-2/rate/311131,Atmospheric||Casual||Exploration||jim-jam-2||Minimalist||Unity,https://cameronotten.itch.io/swallow-the-sun,JimJam #2,https://www.itch.io/jam/jimjam-2,3,1,1
,,,Technical||Sound Effects||Overall||Graphics||Theme||Music||Mechanic||Atmosphere||Story,376.0,Raymoclaus,https://raymoclaus.itch.io,Puzzle,,,,,Unity,Snake: Full Circle,27.0,1.0,Windows||macOS||Linux||HTML5,Name your own price,,1||2||4||4||5||8||12||26||70,3.963||3.815||4.037||4.259||4.111||3.778||3.963||3.481||1.926,,3.963||3.815||4.037||4.259||4.111||3.778||3.963||3.481||1.926,Windows.zip||16 MB||||Windows<>Linux.zip||19 MB||||Linux<>Mac.zip||20 MB||||macOS,,Released,https://itch.io/jam/jimjam-2/rate/311288,2D||jimjam||jimjam2||labyrinth||maze||Procedural Generation||snake,https://raymoclaus.itch.io/snake-full-circle,JimJam #2,https://www.itch.io/jam/jimjam-2,4,1,1
,,,Mechanic||Theme||Overall||Technical||Story||Sound Effects||Atmosphere||Graphics||Music,554.0,sachosdev,https://sachosdev.itch.io,Action||Adventure||Platformer,,,,,,Ouroboros: The Spinning Blade,29.0,4.0,HTML5,,30 September 2018 @ 22:29,3||4||5||7||8||9||19||21||28,4.310||4.138||4.034||3.586||3.621||3.621||3.621||3.690||3.345,,4.310||4.138||4.034||3.586||3.621||3.621||3.621||3.690||3.345,,,Released,https://itch.io/jam/jimjam-2/rate/311313,jimjam||jimjam2||metroid||Metroidvania||ouroboros,https://sachosdev.itch.io/ouroboros-the-spinning-blade,JimJam #2,https://www.itch.io/jam/jimjam-2,5,1,1
