jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts,num_criteria
Theme||Visuals||Sound Effects||Gameplay,2018-07-30 03:59:59,Carson K.,🎵SUMMER JAMS🎵 Jam,4,2,2,2018-07-27 04:00:00,https://www.itch.io/jam/summer-jams-jam,y,71.99972222222222,1165,🎵SUMMER JAMS🎵 Jam,0,0,1,4
Overall||Eccentric||Creativity||Entertaining||Visual||Audio,2019-03-18 03:59:59,LexLoco||Thedrdevin||Odd Weekend Game Jam,Odd Weekend Game Jam 22,4,1,0,2019-03-15 04:00:00,https://www.itch.io/jam/odd-weekend-game-jam-22,y,71.99972222222222,877,Odd Weekend Game Jam 22,1,0,3,6
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-07-02 03:59:59,ZahranW||Mini Jam Official||KingW,Mini Jam 5 Experimental science,17,10,2,2018-06-29 04:00:00,https://www.itch.io/jam/mini-jam-5th-edition,y,71.99972222222222,1576,Mini Jam 5 Experimental science,7,1,3,8
Eccentric||Visual||Creativity||Entertaining||Audio,2018-07-16 03:59:59,LexLoco||Odd Weekend Game Jam,Odd Weekend Game Jam 10,15,34,7,2018-07-13 04:00:00,https://www.itch.io/jam/odd-weekend-game-jam-10,y,71.99972222222222,963,Odd Weekend Game Jam 10,1,0,2,5
Overall||Eccentric||Entertaining||Creativity||Visual||Audio,2019-02-25 04:59:59,Thedrdevin||LexLoco,Even Weekend Game Jam 6,5,1,1,2019-02-22 05:00:00,https://www.itch.io/jam/even-weekend-game-jam-6,y,71.99972222222222,691,Even Weekend Game Jam 6,1,0,2,6
Eccentric||Entertaining||Creativity||Visual||Audio,2018-06-04 03:59:59,LexLoco||Odd Weekend Game Jam,Odd Weekend Game Jam 7,16,12,5,2018-06-01 04:00:00,https://www.itch.io/jam/odd-weekend-game-jam-7,y,71.99972222222222,855,Odd Weekend Game Jam 7,1,0,2,5
Overall||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-09-10 03:59:59,ZahranW||KingW,Mini Jam 10 -Micro-,65,127,22,2018-09-07 04:00:00,https://www.itch.io/jam/mini-jam-10-micro-,y,71.99972222222222,1404,Mini Jam 10 -Micro-,7,0,2,7
Fun||Visuals||Music||Sound||Story||Theme,2018-03-26 05:59:59,uheartbeast,The HEART JAM,693,1799,142,2018-03-23 06:00:00,https://www.itch.io/jam/heartjam,y,71.99972222222222,4447,The HEART JAM,1,0,1,6
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-07-16 03:59:59,ZahranW||KingW,Mini Jam 6 -BOSS RUSH-,98,137,20,2018-07-13 04:00:00,https://www.itch.io/jam/mini-jam-6th-edition,y,71.99972222222222,1631,Mini Jam 6 -BOSS RUSH-,7,0,2,8
Overall||Инновационность||Фан||В тему||Графика||Аудио||Юмор||Настроение||В целом,2018-12-04 06:59:59,Felegz||Andrey Viktorov,Novosibirsk LDJAM #43 Gathering #SibGameJam,13,1,9,2018-12-01 07:00:00,https://www.itch.io/jam/sibgamejam2018,n,71.99972222222222,47,Novosibirsk LDJAM #43 Gathering #SibGameJam,0,0,2,9
Overall||Developer's Choice||Streamer's Choice||ScoreSpace Choice||Gameplay||Theme||Aesthetics||Sound,2019-08-20 04:00:00,ScoreSpace,ScoreSpace Jam #6 [Presented by Shacknews],83,215,22,2019-08-17 04:00:00,https://www.itch.io/jam/scorejam6,y,72.0,3035,ScoreSpace Jam #6 [Presented by Shacknews],6,1,1,8
Overall||Playability||Visual Impression||Audio||Innovation / Creativity||Theme / Concept||Overall Enjoyment,2018-03-26 15:00:00,DumbGameDev,Playmaker Game Jam 2018,29,90,13,2018-03-23 15:00:00,https://www.itch.io/jam/playmaker,y,72.0,5104,Playmaker Game Jam 2018,5,0,1,7
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-07-08 09:00:00,rocknightstudios,Trijam #26: Do you dare to try?,33,93,15,2019-07-05 09:00:00,https://www.itch.io/jam/trijam-26,y,72.0,1746,Trijam #26: Do you dare to try?,0,1,1,6
Overall||Art||Sounds||Design||Respect of the theme,2018-11-19 05:00:00,ZahranW,Mini Jam 15 Technology,72,265,23,2018-11-16 05:00:00,https://www.itch.io/jam/mini-jam-15-technology,y,72.0,2188,Mini Jam 15 Technology,8,0,1,5
Simplistic||Theme||Entertaining||Graphics||Music and SFX,2019-01-19 18:00:00,Master Pose,Simple Is Better,24,58,6,2019-01-16 18:00:00,https://www.itch.io/jam/simple-is-better,y,72.0,1028,Simple Is Better,0,0,1,5
Overall||Frustration||Unfairness||Confusion||Uncanny valley||Ear destruction||Bugs||Microtransactions,2019-08-25 16:00:00,adriendittrick,Game Breaker's Toolkit Jam,27,63,15,2019-08-22 16:00:00,https://www.itch.io/jam/game-breakers-toolkit-jam,y,72.0,1989,Game Breaker's Toolkit Jam,1,0,1,8
Overall||Gameplay||Art||Sounds,2019-01-28 05:00:00,ZahranW,Mini Jam 20: Music,75,204,26,2019-01-25 05:00:00,https://www.itch.io/jam/mini-jam-20-music,y,72.0,1912,Mini Jam 20: Music,7,0,1,4
Overall||Gameplay||Visuals||Music/Sound Design||Story/Writing||Use of Theme,2018-07-15 19:00:00,Gman8r,Touhou Fan Game Jam 2,74,571,25,2018-07-12 19:00:00,https://www.itch.io/jam/touhou-jam-2,y,72.0,9926,Touhou Fan Game Jam 2,1,0,1,6
Overall||Fun||Creativity||Polish||Theme,2017-03-27 00:00:00,ViolentCrumble,GDL  March Madness Jam,77,138,16,2017-03-24 00:00:00,https://www.itch.io/jam/gdl-march-madness-jam,y,72.0,2819,GDL  March Madness Jam,0,0,1,5
Overall||Fun||Creativity||Polish||Theme,2017-10-09 00:00:00,ViolentCrumble,GDL - Quantum Jam,75,81,11,2017-10-06 00:00:00,https://www.itch.io/jam/gdl-quantum-jam,y,72.0,4737,GDL - Quantum Jam,0,1,1,5
Overall,2018-07-10 02:00:00,OneratGames,Jamingtons 6.0,74,0,11,2018-07-07 02:00:00,https://www.itch.io/jam/jamingtons6,y,72.0,1205,Jamingtons 6.0,2,0,1,1
Does it match the theme?||How much content was there?||How good was the content?,2018-11-28 17:00:00,NextStep,Next step,9,1,2,2018-11-25 17:00:00,https://www.itch.io/jam/next-step,y,72.0,75,Next step,0,0,1,3
Overall||Fun||Creativity||Polish||Theme,2018-10-01 00:00:00,ViolentCrumble,GDL - September Jam,74,107,13,2018-09-28 00:00:00,https://www.itch.io/jam/gdl-september-jam,y,72.0,4347,GDL - September Jam,0,0,1,5
How well are fish implemented into this entry?||Fun factor rating,2017-09-05 07:00:00,DilapidatedMeow,The Fish Jam!,31,7,2,2017-09-02 07:00:00,https://www.itch.io/jam/fish-jam,y,72.0,793,The Fish Jam!,0,0,1,2
Overall||Control mechanics||Fun to play||Completion||Creativity,2017-07-24 14:30:00,Himanshu Mitta,FireTruck Game Jam (July 2017),29,35,9,2017-07-21 14:30:00,https://www.itch.io/jam/firetruck2,y,72.0,673,FireTruck Game Jam (July 2017),0,0,1,5
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-10-21 09:00:00,rocknightstudios||Yagich,Trijam #41: The 3 hour game jam,25,50,7,2019-10-18 09:00:00,https://www.itch.io/jam/trijam-41,y,72.0,2963,Trijam #41: The 3 hour game jam,0,0,2,6
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-09-16 09:00:00,rocknightstudios,Trijam #36: A 3 hour game jam,25,39,9,2019-09-13 09:00:00,https://www.itch.io/jam/trijam-36,y,72.0,2683,Trijam #36: A 3 hour game jam,0,1,1,6
Overall||Was there a corgi?||Did you have fun?,2016-12-19 04:59:59,anonyanony,Merry #Corgsmas Corgi Game Jam,80,59,9,2016-12-16 04:59:59,https://www.itch.io/jam/corgsmas,y,72.0,1570,Merry #Corgsmas Corgi Game Jam,2,0,1,3
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-22 09:00:00,rocknightstudios,Trijam #16 - the 3 hour game jam!,10,33,7,2019-04-19 09:00:00,https://www.itch.io/jam/trijam-16,y,72.0,1713,Trijam #16 - the 3 hour game jam!,0,2,1,6
Overall||Gameplay||Theme||Aesthetics||Sound,2019-06-25 04:00:00,ScoreSpace,ScoreSpace Jam #5 [Presented by Shacknews],74,164,20,2019-06-22 04:00:00,https://www.itch.io/jam/scorejam5,y,72.0,2443,ScoreSpace Jam #5 [Presented by Shacknews],0,1,1,5
Fits the Theme||Mechanics||Originality||Replayability||Retro Graphics||Retro Sound,2018-04-17 01:00:00,SamuraiLink3||runekiller13||samurailink4||n0t_josh||Dadam,72 Pin Connector Retro Jam,24,83,8,2018-04-14 01:00:00,https://www.itch.io/jam/72pc-jam-1,y,72.0,1441,72 Pin Connector Retro Jam,0,0,5,6
Overall||Engine Obscurity||Engine Obsolescence||Engine Bustedness||Creativity||Style,2017-08-20 23:00:00,Rachel Kaye,Broken Engine Jam!,25,0,2,2017-08-17 23:00:00,https://www.itch.io/jam/broken-engine-jam,y,72.0,474,Broken Engine Jam!,0,0,1,6
Overall||Fun||Creativity||Polish||Theme,2019-07-29 00:00:00,ViolentCrumble,GDL - July Jam,78,272,18,2019-07-26 00:00:00,https://www.itch.io/jam/gdl-july-jam-2,y,72.0,4495,GDL - July Jam,0,0,1,5
Overall||Overall||Gameplay||Theme||Aesthetics||Sound,2019-05-07 04:00:00,ScoreSpace,ScoreSpace Jam #4,40,75,14,2019-05-04 04:00:00,https://www.itch.io/jam/scorejam4,y,72.0,2436,ScoreSpace Jam #4,0,1,1,6
Overall,2018-11-24 00:00:00,metal drat programing,PG game jam,13,0,3,2018-11-21 00:00:00,https://www.itch.io/jam/pg-game-jam,y,72.0,68,PG game jam,1,0,1,1
Overall||Fun||Creativity||Polish||Theme,2018-02-25 14:00:00,ViolentCrumble,GDL - February Change Jam,47,137,13,2018-02-22 14:00:00,https://www.itch.io/jam/gdl-feb-change-jam,y,72.0,4554,GDL - February Change Jam,0,0,1,5
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-10-07 09:00:00,rocknightstudios||Yagich,Trijam #39: A 3 hour game jam,16,17,5,2019-10-04 09:00:00,https://www.itch.io/jam/trijam-39,y,72.0,2933,Trijam #39: A 3 hour game jam,0,0,2,6
Overall||Gameplay||Visuals||Audio||Innovation||Overall,2018-01-16 01:00:00,Geta,Geta Game Jam #1: Chaos and Order,59,86,9,2018-01-13 01:00:00,https://www.itch.io/jam/geta-game-jam-01,y,72.0,2474,Geta Game Jam #1: Chaos and Order,5,0,1,6
Overall||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-09-24 04:00:00,ZahranW||KingW,Mini Jam 11 -Harvest-,59,136,15,2018-09-21 04:00:00,https://www.itch.io/jam/mini-jam-11-,y,72.0,1429,Mini Jam 11 -Harvest-,7,0,2,7
Creativity||Graphics||Gameplay||Presentation,2019-01-08 00:00:00,Gutter Arcade,Gutter Jam 3,59,94,10,2019-01-05 00:00:00,https://www.itch.io/jam/gutter-jam-3,y,72.0,996,Gutter Jam 3,1,0,1,4
Overall||Fun||Creativity||Polish||Theme,2017-06-05 00:00:00,ViolentCrumble,GDL June Gene Jam,46,175,16,2017-06-02 00:00:00,https://www.itch.io/jam/gdl-june-gene-jam,y,72.0,2550,GDL June Gene Jam,0,0,1,5
Overall.||Sprites.||Sounds/Music.||How fun and enjoyable the game is.,2019-06-14 15:00:00,noass,2D Game Jam! #1,45,0,5,2019-06-11 15:00:00,https://www.itch.io/jam/2d-game-jam-1,y,72.0,564,2D Game Jam! #1,0,0,1,4
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-09-23 09:00:00,rocknightstudios,Trijam #37 A 3 hour game jam,16,17,4,2019-09-20 09:00:00,https://www.itch.io/jam/trijam-37,y,72.0,2689,Trijam #37 A 3 hour game jam,0,1,1,6
Genre Match (Survival)||Fun||Creativity||Graphics||Sound||Theme Match (Resurrection),2019-01-27 11:00:00,STGJ Blayke,Survive the Game Jam 5,16,6,3,2019-01-24 11:00:00,https://www.itch.io/jam/survive-the-game-jam-5,y,72.0,2069,Survive the Game Jam 5,0,0,1,6
Overall||respect of theme||respect of my random rule||ramdoness||graphics||sounds and music||gameplay,2018-10-18 03:00:00,Lord Pillows,the random game jam,12,1,1,2018-10-15 03:00:00,https://www.itch.io/jam/the-random-game-jam,y,72.0,373,the random game jam,0,0,1,7
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-08 09:00:00,rocknightstudios,Trijam #14 - the 3 hour game jam!,12,27,6,2019-04-05 09:00:00,https://www.itch.io/jam/trijam-14,y,72.0,1677,Trijam #14 - the 3 hour game jam!,0,1,1,6
Overall,2017-07-17 08:00:00,vikhik,#SunJam,12,0,6,2017-07-14 08:00:00,https://www.itch.io/jam/sunjam,y,72.0,526,#SunJam,0,0,1,1
Overall||Cooperative or competitive aspect||Fun||Theme||Visuals||Audio,2019-03-18 16:00:00,James Longo,CO-OP JAM #1,12,0,3,2019-03-15 16:00:00,https://www.itch.io/jam/co-op-jam-1,y,72.0,2337,CO-OP JAM #1,5,0,1,6
Overall||Gameplay||Visuals||Music/Sound Design||Use of theme,2018-01-07 23:00:00,Gman8r,Touhou Fan Game Jam,58,302,16,2018-01-04 23:00:00,https://www.itch.io/jam/touhou-jam,y,72.0,9178,Touhou Fan Game Jam,1,0,1,5
Overall||Gameplay||Art||Sounds||Story,2019-02-25 05:00:00,ZahranW,Mini Jam 22: Anime,60,113,11,2019-02-22 05:00:00,https://www.itch.io/jam/mini-jam-22-anime,y,72.0,1866,Mini Jam 22: Anime,7,0,1,5
Overall||Fun||Creativity||Polish||Theme,2018-05-14 00:00:00,ViolentCrumble,GDL - May Jam,57,305,20,2018-05-11 00:00:00,https://www.itch.io/jam/gdl-may-jam,y,72.0,4360,GDL - May Jam,0,0,1,5
Overall||overall goodness||game goodness||visual goodness,2019-10-07 11:00:00,Rat-like,Python Game Jam 2019!,13,4,3,2019-10-04 11:00:00,https://www.itch.io/jam/python-game-jam,y,72.0,2590,Python Game Jam 2019!,0,1,1,4
Overall||Fun||Creativity||Polish||Theme,2017-12-11 00:00:00,ViolentCrumble,GDL - Fishy Jam,54,120,14,2017-12-08 00:00:00,https://www.itch.io/jam/gdl-fishing-jam,y,72.0,4467,GDL - Fishy Jam,0,0,1,5
Overall||Fun||Creativity||Polish||Theme,2019-04-08 00:00:00,ViolentCrumble,GDL - April Jam,54,83,10,2019-04-05 00:00:00,https://www.itch.io/jam/gdl-april-jam,y,72.0,4523,GDL - April Jam,0,0,1,5
<3,2016-06-06 10:00:00,tonypai||tppr2046||PLAYBILLY||Akum,Kuso Game Jam 2016,54,186,24,2016-06-03 10:00:00,https://www.itch.io/jam/kuso-game-jam-2016,y,72.0,2622,Kuso Game Jam 2016,0,0,4,1
Theme||Graphics||Controls||Audio||Creativity,2019-05-13 04:00:00,steampunkprogrammer,Steamy GameJam 2,14,5,4,2019-05-10 04:00:00,https://www.itch.io/jam/steamy-gamejam,y,72.0,472,Steamy GameJam 2,0,0,1,5
Overall||Gameplay||Visuals||Audio||Innovation||Overall,2018-06-12 01:00:00,Geta,Geta Game Jam #3: Ten Seconds,53,72,13,2018-06-09 01:00:00,https://www.itch.io/jam/geta-game-jam-3,y,72.0,421,Geta Game Jam #3: Ten Seconds,0,0,1,6
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-09-09 09:00:00,rocknightstudios,Trijam #35: A 3 hour game jam,14,16,7,2019-09-06 09:00:00,https://www.itch.io/jam/trijam-35,y,72.0,2662,Trijam #35: A 3 hour game jam,0,1,1,6
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-15 09:00:00,rocknightstudios,Trijam #15 - the 3 hour game jam!,14,64,9,2019-04-12 09:00:00,https://www.itch.io/jam/trijam-15,y,72.0,1696,Trijam #15 - the 3 hour game jam!,0,2,1,6
Overall||Fun||Creativity||Polish||Theme,2016-09-19 00:00:00,ViolentCrumble,Game Dev League September Game Jam,15,108,12,2016-09-16 00:00:00,https://www.itch.io/jam/game-dev-league-september-game-jam,y,72.0,3215,Game Dev League September Game Jam,0,0,1,5
Overall,2018-10-29 06:00:00,Pedigree,Dimentio's Demented Game Jam,13,0,5,2018-10-26 06:00:00,https://www.itch.io/jam/dimentios-demented-game-jam,y,72.0,977,Dimentio's Demented Game Jam,0,0,1,1
Overall||Overall||Gameplay||Visuals||Audio||Atmosphere||Innovation,2018-10-22 22:00:00,Geta,Geta Game Jam #5: Two Worlds,15,4,3,2018-10-19 22:00:00,https://www.itch.io/jam/geta-game-jam-5,y,72.0,418,Geta Game Jam #5: Two Worlds,0,0,1,7
Overall||Gameplay||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Theme||Audio||Audio||Audio||Audio||Graphics||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio||Audio,2017-04-17 19:00:00,jmas,GC Jam 3,49,0,14,2017-04-14 19:00:00,https://www.itch.io/jam/gc-jam-3,y,72.0,615,GC Jam 3,2,0,1,69
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-08-05 09:00:00,rocknightstudios,Trijam #30: Do you dare to try?,13,23,9,2019-08-02 09:00:00,https://www.itch.io/jam/trijam-30,y,72.0,1596,Trijam #30: Do you dare to try?,0,1,1,6
Overall||ART||PLOT||MECHANICS||THEME,2017-01-23 21:00:00,gamefactory_info,GGJ17MD,15,65,9,2017-01-20 21:00:00,https://www.itch.io/jam/ggj17md,y,72.0,988,GGJ17MD,0,0,1,5
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-06-10 11:00:00,rocknightstudios,Trijam #22,13,43,8,2019-06-07 11:00:00,https://www.itch.io/jam/trijam-22,y,72.0,1654,Trijam #22,0,1,1,6
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-09-30 09:00:00,rocknightstudios||Yagich,Trijam #38 A 3 hour game jam,15,18,6,2019-09-27 09:00:00,https://www.itch.io/jam/trijam-38,y,72.0,2958,Trijam #38 A 3 hour game jam,0,1,2,6
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-08-19 09:00:00,rocknightstudios||Yagich,Trijam #32: Do you dare to try?,10,8,3,2019-08-16 09:00:00,https://www.itch.io/jam/trijam-32,y,72.0,1746,Trijam #32: Do you dare to try?,0,1,2,6
Overall||Fun||Creativity||Polish||Theme,2017-07-03 00:00:00,ViolentCrumble,GDL July JiggleJam,43,126,10,2017-06-30 00:00:00,https://www.itch.io/jam/gdl-july-jiggle-jam,y,72.0,2569,GDL July JiggleJam,0,0,1,5
Overall||​Concept||Creativity||Interest||Visuals||Replayability,2018-04-04 02:00:00,THEREVENGER1,Devs Lounge Indie Game Jam 2018,11,2,2,2018-04-01 02:00:00,https://www.itch.io/jam/devs-lounge-indie-game-jam-of-2018,y,72.0,1907,Devs Lounge Indie Game Jam 2018,0,0,1,6
Overall||Fun||Creativity||Polish||Theme,2019-01-21 00:00:00,ViolentCrumble,GDL - January Jam,68,229,20,2019-01-18 00:00:00,https://www.itch.io/jam/gdl-january-jam-2,y,72.0,4512,GDL - January Jam,0,0,1,5
Overall,2017-07-10 08:00:00,avaugoux,“MIND ‹RE› SET”: 이주와 통합에 대한 디지털적 접근,22,0,14,2017-07-07 08:00:00,https://www.itch.io/jam/mind-re-set-,y,72.0,1367,“MIND ‹RE› SET”: 이주와 통합에 대한 디지털적 접근,0,0,1,1
Overall,2018-06-11 10:00:00,MOLAB,I MOLAB Gamejam,22,0,8,2018-06-08 10:00:00,https://www.itch.io/jam/molab-gamejam1,y,72.0,3993,I MOLAB Gamejam,2,0,1,1
Overall,2017-12-03 13:00:00,OneratGames,Jamingtons 4.0,36,0,11,2017-11-30 13:00:00,https://www.itch.io/jam/jamingtons4,y,72.0,1159,Jamingtons 4.0,3,0,1,1
Overall||Fun||Visuals(Graphics)||User Interface (UI/UX)||Sound/Audio,2019-07-22 04:00:00,Nicoli,Improve My Game Jam #4,22,11,4,2019-07-19 04:00:00,https://www.itch.io/jam/imgj4,y,72.0,1176,Improve My Game Jam #4,1,0,1,5
Overall||Concept||Execution||Polish / Feel,2019-07-28 19:00:00,Brandon JS Lea,Hidden Meaning Jam,22,25,7,2019-07-25 19:00:00,https://www.itch.io/jam/hidden-meaning-jam,y,72.0,2884,Hidden Meaning Jam,3,0,1,4
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-06-24 09:00:00,rocknightstudios,Trijam #24 Do you dare to try?,11,10,5,2019-06-21 09:00:00,https://www.itch.io/jam/trijam-24,y,72.0,1610,Trijam #24 Do you dare to try?,0,1,1,6
"Overall||Creativity||Ambition||Original Concept||Original Game Mechanics||How well the game matches the Theme||How well the game matches the ""Survival"" genre",2017-10-22 11:00:00,STGJ Blayke,Survive the Game Jam 4,23,16,5,2017-10-19 11:00:00,https://www.itch.io/jam/survive-the-game-jam-4,y,72.0,3884,Survive the Game Jam 4,0,0,1,7
Overall||Fun||Creativity||Polish||Theme,2018-01-22 00:00:00,ViolentCrumble,GDL January Jam,70,353,19,2018-01-19 00:00:00,https://www.itch.io/jam/gdl-january-jam,y,72.0,4653,GDL January Jam,0,0,1,5
Overall||Overall||Gameplay||Theme||Aesthetics||Sound,2019-03-05 05:00:00,ScoreSpace,The New ScoreSpace Game Jam!,35,49,10,2019-03-02 05:00:00,https://www.itch.io/jam/scorejam3,y,72.0,2677,The New ScoreSpace Game Jam!,0,1,1,6
Overall||Addiction||Music||Graphism||Respect of the theme,2019-01-07 05:00:00,MrQuickGame,Clicker Jam,35,52,9,2019-01-04 05:00:00,https://www.itch.io/jam/mrquickgame-clicker-jam,y,72.0,779,Clicker Jam,0,0,1,5
Overall||Theme||Innovation||Playability||Visuals||Sound,2016-10-23 23:00:00,Alexander Birke aka Out Of Bounds Games||Shifty Studio||Team Gormless,Absurd Aspect Ratio Jam,23,17,6,2016-10-20 23:00:00,https://www.itch.io/jam/absurd-aspect-ratio-jam,y,72.0,1179,Absurd Aspect Ratio Jam,0,0,3,6
Overall||fun||Creativity||Polish||Theme,2018-03-26 08:00:00,ViolentCrumble,GDL - March Madness Jam,24,28,5,2018-03-23 08:00:00,https://www.itch.io/jam/gdl-march-madness-jam-2018,y,72.0,4364,GDL - March Madness Jam,0,0,1,5
Overall||Diversão (no geral)||Fidelidade ao tema,2017-12-18 20:00:00,Hyreos,BotecoJAM#03,24,10,4,2017-12-15 20:00:00,https://www.itch.io/jam/botecojam03,n,72.0,1306,BotecoJAM#03,0,0,1,3
Game Mechanics||Innovation||Music/Sound||Graphics,2019-02-11 20:00:00,augustobrit,IDB JAM #1,21,5,4,2019-02-08 20:00:00,https://www.itch.io/jam/idb-jam-1,y,72.0,3275,IDB JAM #1,1,0,1,4
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-10-14 09:00:00,rocknightstudios,Trijam #40: A 3 hour game jam,20,26,6,2019-10-11 09:00:00,https://www.itch.io/jam/trijam-40,y,72.0,3010,Trijam #40: A 3 hour game jam,0,0,1,6
Overall||Fun||Creativity||Polish||Theme,2017-01-30 00:00:00,ViolentCrumble,GDL - Jamming January Jam,60,181,14,2017-01-27 00:00:00,https://www.itch.io/jam/gdl-Jamming-January-Jam,y,72.0,2634,GDL - Jamming January Jam,0,0,1,5
Overall||Fun||Creativity||Polish||Theme,2017-05-01 00:00:00,Kalishir||ViolentCrumble,GDL - Metal Monstrosity Jam,60,141,15,2017-04-28 00:00:00,https://www.itch.io/jam/gdl---metal-monstrosity-jam,y,72.0,2749,GDL - Metal Monstrosity Jam,0,0,2,5
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-05-13 09:00:00,rocknightstudios,Trijam #19. Do you dare to try?,12,8,5,2019-05-10 09:00:00,https://www.itch.io/jam/trijam-19,y,72.0,1704,Trijam #19. Do you dare to try?,0,1,1,6
Overall||Theme - How well is the given theme portrayed?||Mechanics - How unique are the mechanics to a survival game and how well are they implemented?||Survival - How well is the genre of Survival implemented? Does it feel like a challenge to survive in this game?,2017-06-25 12:00:00,STGJ Blayke,Survive the Game Jam 3,17,16,5,2017-06-22 12:00:00,https://www.itch.io/jam/survive-the-game-jam-3,y,72.0,1418,Survive the Game Jam 3,0,0,1,4
Overall||Art||Sounds||Gameplay||Respect of the theme,2018-12-17 05:00:00,ZahranW,Mini Jam 17: Home Alone,42,46,7,2018-12-14 05:00:00,https://www.itch.io/jam/mini-jam-17-home-alone,y,72.0,2360,Mini Jam 17: Home Alone,7,0,1,5
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-08-12 09:00:00,rocknightstudios,Trijam #31: Do you dare to try?,18,11,4,2019-08-09 09:00:00,https://www.itch.io/jam/trijam-31,y,72.0,1729,Trijam #31: Do you dare to try?,0,1,1,6
Overall||Graphics||Audio||Fun||Innovation||Technical||Theme,2019-01-07 18:00:00,Joshua McLean,Shape Jam,62,0,16,2019-01-04 18:00:00,https://www.itch.io/jam/shape-jam,y,72.0,5020,Shape Jam,1,0,1,7
Overall||Diversão||Fidelidade ao Tema,2018-03-27 01:00:00,Ledd,BotecoJAM#04 - Seus inimigos são suas armas,18,27,5,2018-03-24 01:00:00,https://www.itch.io/jam/botecojam04,n,72.0,1254,BotecoJAM#04 - Seus inimigos são suas armas,0,0,1,3
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-07-29 09:00:00,rocknightstudios,Trijam #29: Do you dare to try?,18,34,12,2019-07-26 09:00:00,https://www.itch.io/jam/trijam-29,y,72.0,1722,Trijam #29: Do you dare to try?,0,1,1,6
Best Game||Best Game Design||Best Artistic Design||Best Audio Design,2018-10-08 10:00:00,MOLAB,II MOLAB Gamejam,19,0,8,2018-10-05 10:00:00,https://www.itch.io/jam/ii-molab-gamejam,y,72.0,3603,II MOLAB Gamejam,2,0,1,4
Overall||Gameplay||Concept||Presentation||Challenge (Tough but Fair)||Story/Writing||Use of Theme,2019-01-13 20:00:00,Gman8r||Nitori,Touhou Fan Game Jam 3,65,1251,32,2019-01-10 20:00:00,https://www.itch.io/jam/touhou-jam-3,y,72.0,9789,Touhou Fan Game Jam 3,1,0,2,7
Overall,2019-06-02 02:00:00,OneratGames,Jamingtons 7,39,0,12,2019-05-30 02:00:00,https://www.itch.io/jam/jamingtons7,y,72.0,1068,Jamingtons 7,2,0,1,1
Overall||Theme - How well is the given theme portrayed?||Mechanics - How unique are the mechanics to a survival game and how well are they implemented?||Survival - How well is the genre of Survival implemented? Does it feel like a challenge to survive in this game?,2017-06-18 12:00:00,STGJ Blayke,Survive the Game Jam 2,20,9,3,2017-06-15 12:00:00,https://www.itch.io/jam/survive-the-game-jam-2,y,72.0,1301,Survive the Game Jam 2,0,0,1,4
