game_accessibility,game_ave_session,game_desc_len,game_genres,game_inputs,game_language,game_last_update,game_made_with,game_name,game_no_screenshots,game_platforms,game_price,game_publish_date,game_size,game_status,game_tags,game_url
,,2251,Adventure,,,,,0utsider,2,Windows,,,114 MB,Prototype,ascii||Funny||Point & Click||Text based,https://pooplol.itch.io/0utsider
,,298,Platformer,,,,,One Second Grounded,1,Windows,,,15 MB,Released,,https://will-more.itch.io/one-second-grounded
,,457,Shooter,,,,,Only One Life,1,Windows,"Name your own price,Name your own price",,47 MB,Released,NES||Top-Down,https://astronaronic.itch.io/only-one-life
,,442,,,,,,Only One Friend,1,Windows,"Name your own price,Name your own price",,308 MB,Released,Game Maker's Toolkit Jam,https://hidjy.itch.io/only-one-friend
,,777,Puzzle,,,,,Making Do,1,Windows,,,17 MB,Released,,https://tommyack102.itch.io/making-do
,,199,Puzzle,,,,,Orbitalius,1,,,,21 MB,Prototype,,https://constantinocallado.itch.io/orbitalius
,,570,Platformer,,,,,Hang Time,0,,,,14 MB,Released,2D||buterfly-child-form-hell||Experimental||only-one||only-one-button||platfoarme||Side Scroller,https://animotree.itch.io/hang-time
,,660,Sports,,,,,Pong One,1,,,,19 MB,Released,2D||Pixel Art||pong||Unity,https://tide-productions.itch.io/pong-one
,,496,Action,,,,,Overrun,1,Windows,,,40 MB,Released,Game Maker's Toolkit Jam,https://barney25052.itch.io/overrun
,,253,Action,,,,,Greedy Garrett,4,macOS,,,18 MB||13 MB,Prototype,2D,https://henry-liu.itch.io/greedy-garrett
,,604,Action,,,,,Blood Mage vs MajiZombis,1,Windows,"Name your own price,Name your own price",,,Released,2D||blood-mage||dash-to-the-end||mages||Pixel Art||Zombies,https://zarsla.itch.io/blood-mage-vs-majizombis
,,289,Action,,,,,One Shot Hero,1,,,,18 MB,Prototype,,https://anotherdinosaur.itch.io/one-shot-hero
,,196,Platformer,,,,,One Flare,3,Windows,,,24 MB,Released,,https://draguve.itch.io/one-flare
,,446,Puzzle,,,,,Sticky situation,1,Windows,,,13 kB,Released,2D||Singleplayer,https://petikesajt.itch.io/sticky-situation
,,628,Strategy,,,,,Tic Tac Toe Evolution,1,Windows,,,23 MB,Prototype,Endless||Game Maker's Toolkit Jam||python,https://sniperspy10.itch.io/tic-tac-toe-evolution
,,339,Adventure,,,,,The Righteous One,1,Windows,,,15 MB,Released,GameMaker||Game Maker's Toolkit Jam||religious||Short,https://noah-dundas.itch.io/the-righteous-one
,,1362,Adventure,,,,,One in the Chamber,2,Windows,,,27 MB,Released,2D||Dark||Game Jam||gmtk2019||Game Maker's Toolkit Jam||Horror||shooting||Zombies,https://sweaty-tryhard.itch.io/one-in-the-chamber
,,751,Action,,,,,Meteor Run GMTK,1,Windows,,,35 MB||35 MB,Released,infinite-runner||Runner,https://theferfactor.itch.io/meteor-run-gm
,,345,Shooter,,,,,One Bullet; One Room,4,Windows,,,15 MB,Released,2D||GameMaker||Singleplayer||Top-Down,https://childrenofpomeranian.itch.io/one-bullet-one-room
,,1040,Simulation||Survival,,,,,Guppy Guardian,2,Windows,,,18 MB,Released,fish,https://simmered-eggs.itch.io/guppy-guardian
,,759,Puzzle||Platformer,,,,,Death Ball,4,Windows,,,8 MB,Released,chiptune||Game Maker's Toolkit Jam||Pixel Art||Puzzle-Platformer,https://theyellowgreninja.itch.io/death-ball
,,362,Shooter||Action||Platformer,,,,,Bleeding Out,2,,,,17 MB,Released,2D||Arcade||Casual||Fast-Paced||Retro||Short||Unity,https://kristianruth.itch.io/bleeding-out
,,652,Strategy,,,,,lone wolf,0,Windows,,,82 MB,In development,Real time strategy,https://nave21.itch.io/lone-wolf
,,322,Platformer,,,,,One Item Hero,2,Windows,,,69 MB,Released,2D||Game Maker's Toolkit Jam,https://alcarin.itch.io/one-item-hero
,,351,Action,,,,,Rocket Surgery,2,Windows||macOS,,,27 MB||27 MB,Released,Game Maker's Toolkit Jam,https://randomnessstudios.itch.io/rocket-surgery
,,186,Shooter,,,,,Last Missile,0,,,,23 MB,Released,Asteroids||Shoot 'Em Up,https://bcmc.itch.io/last-missile
,,338,Adventure,,,,,One Direction,1,Windows,,,20 MB,Released,Pirates,https://benjamin-dobler.itch.io/one-direction
,,714,Action||Shooter,,,,,Killer S.p.a.,1,Windows||macOS||Linux,,,22 MB,Released,2D||Arcade||Game Maker's Toolkit Jam||Top down shooter||Zombies,https://alelav.itch.io/killer-spa
,,1325,Action||Platformer||Shooter,,,,,Subject_001,5,Windows,,,17 MB,Released,2D||GameMaker||Game Maker's Toolkit Jam||Pixel Art||Singleplayer,https://chris-trenary.itch.io/subject-001
,,0,Action,,,,,Blade Walker,4,,,,23 MB,Released,,https://frostbyte4k.itch.io/blade-walker
,About a half-hour,1078,Platformer||Adventure,,English,,,GMTK 2019 - Space Cathastrophe,3,Windows||macOS,,,64 MB||82 MB,Released,2019||3D Platformer||Controller||Game Maker's Toolkit Jam||Space,https://caspercaper17.itch.io/gmtk-2019-space-cathastrophe
,,658,Platformer,,,,,Babs and Fabs,4,,,,20 MB,Released,Game Maker's Toolkit Jam,https://dr-umbrus.itch.io/babs-and-fabs
,,1126,Action,,,,,PlusBox-Cooked,1,Windows,,,108 MB,Released,Casual||Co-op||Local Co-Op||Multiplayer||party-game,https://atchafalaya.itch.io/plusbox-cooked
,,446,,,,,,Godot guy's one gun quest,1,,,,11 MB,Released,Game Maker's Toolkit Jam,https://hacket.itch.io/godot-guys-one-gun
,,1005,Visual Novel,,,,,One Key,1,Windows,,,20 MB,Released,Alternate History||Colorful||hs-game||Pixel Art||reee||Singleplayer||Unity,https://doubleyew.itch.io/one-key
,,536,Adventure||Action||Platformer||Puzzle||Shooter,,,,,One Click Wonder,3,Windows,,,475 MB,Released,3D||First-Person||Horror||Mystery||Unreal Engine,https://nexhip.itch.io/one-click-wonder
,,708,Strategy||Card Game,,,,,Cursed One,1,Windows,,,18 MB,Prototype,3D||Dungeon Crawler||Game Maker's Toolkit Jam||Singleplayer,https://randomjammer.itch.io/cursed-one-draft
,,263,Shooter,,,,,Only One Night,4,Windows,,,16 MB,Prototype,2D||Action-Adventure||Game Maker's Toolkit Jam||My First Game Jam||Pixel Art||Singleplayer||Top-Down||Top down shooter,https://schred.itch.io/only-one-night
,,98,,,,,Unity,Fight or Flight,0,HTML5,,,,Released,,https://quackstir.itch.io/fight-or-flight
,,309,,,,,,One Door,1,,,,2 MB,Released,,https://eathams.itch.io/one-door
,,394,,,,,,The One Handed Hero of Hastings,1,,,,32 MB,Released,2D||Game Jam||gamemakerstoolkit||historical||Medieval||War,https://mr-business-industries.itch.io/the-one-handed-hero-of-hastings
,,0,Puzzle,,,,,Only One Item,0,Windows,,,72 MB,Prototype,,https://zelphy712.itch.io/only-one-item
,,351,,,,,Unity,One Candle,1,Windows||HTML5,,,25 MB,Released,Horror,https://kokkakniphon.itch.io/onecandle
,,1891,Racing,,,,,Arbitrary,3,Windows||Linux,,,23 MB||29 MB,Prototype,2D||Dystopian||Game Maker's Toolkit Jam||Singleplayer||Top-Down,https://maniatico.itch.io/arbitrary
,,582,Shooter,,,,,Chrono,4,Windows,,,2 MB,Released,,https://paperaero555.itch.io/chrono
,,126,Shooter,,,,,Only One Enemy That You Can See At A Time,0,Windows,,,246 kB,Released,Arcade||Space,https://chickenblazer356.itch.io/only-one-enemy-that-you-can-see-at-a-time
,,478,Shooter,,,,GameMaker: Studio,Only one... arrow,2,Windows||HTML5,,,2 MB,Released,Game Maker's Toolkit Jam,https://korso.itch.io/only-one-arrow
,,342,Platformer,,,,,Just A Cube!!,1,Windows,,,,Released,Difficult||Game Maker's Toolkit Jam||Singleplayer,https://casper-van-der-kaaij.itch.io/just-a-cube
,,295,,,,,,ColorTrigger,1,Windows||macOS||Linux,,,30 MB||31 MB||32 MB||2 MB,Released,Experimental||Game Maker's Toolkit Jam||Ludum Dare 44||trip,https://ziegelstein.itch.io/colortrigger
,,145,Action,,,,,Arrow dash,1,Windows,,,3 MB||3 MB,Released,2D||Game Maker's Toolkit Jam||Pixel Art,https://amazing-zombie.itch.io/arrow-game
,,577,Puzzle,,,,,OneBigWarmth,1,Windows,"Name your own price,Name your own price",,18 MB,Prototype,Game Maker's Toolkit Jam,https://loonofnature.itch.io/onebigwarmth
,,219,Shooter,,,,,One_Click,1,Windows,,,3 MB,Released,Game Maker's Toolkit Jam||onlyone,https://jokerz.itch.io/one-click
,,846,Puzzle,,,,,Radish vs Rodents,1,Windows,,,13 MB,Prototype,GameMaker||Game Maker's Toolkit Jam,https://darkgun.itch.io/radish-vs-rodents
,,215,Educational,,,,,One Is The Only Answer,4,Windows,,,20 MB,Released,Bullet Hell||Game Jam||Game Maker's Toolkit Jam,https://bazerka.itch.io/one-is-the-only-answer
,,231,Shooter,,,,,One Shot,1,Windows,,,2 MB,Released,2D,https://bigbird.itch.io/one-shot
,,777,Platformer||Survival,,,,,Only one mission by H.P. Andersen,4,Windows,,,465 MB,Released,Crafting||Sci-fi||Space,https://hpa97.itch.io/onlyonemission
,,215,,,,,,The One True Wheel,0,,,,4 MB,Released,2D||Game Maker's Toolkit Jam||Local multiplayer||Pixel Art||PvP,https://sbucket.itch.io/the-one-true-wheel
,,682,Survival,,,,,Non-Violence,2,Windows,,,25 MB,Released,,https://esesem.itch.io/non-violence
,,115,Role Playing,,,,,Last day of happiness,1,,"Name your own price,Name your own price",,19 MB,Released,,https://billyman.itch.io/last-day-of-happiness
,,333,,,,,,The Lonely Whale,1,Windows||Linux,,,17 MB,Released,Game Maker's Toolkit Jam,https://realitymeltdown.itch.io/the-lonely-whale
,,122,,,,,,NO2,2,Windows,,,27 MB,Prototype,Game Maker's Toolkit Jam||Space,https://wolffles.itch.io/no2
,,94,Platformer,,,,,One Shot Man,0,Windows,,,18 MB,Released,,https://faellink.itch.io/one-shot-man
,,175,Action,,,,,One and Gun,0,Windows,,,20 MB,Prototype,,https://razorsharp.itch.io/one-and-gun
,,265,Fighting,,,,,Sity Slicers,1,macOS,,,27 MB,Released,,https://bdleelee.itch.io/sity-slicers
,,125,Shooter,,,,,OneToEnd,1,,,,28 MB,Released,,https://des1.itch.io/onetoend
,,350,Platformer,,,,,[E]xcalibur,4,Windows,,,19 MB,Prototype,Game Maker's Toolkit Jam,https://jayssu.itch.io/excalibur
,,217,,,,,,Eskuin - GmtkJam19,2,,,,28 MB,Released,,https://xabi-goenaga.itch.io/gmtkjam19
,,1148,Adventure,,,,,Zagury Quest,1,,"Name your own price,Name your own price",,19 MB||22 MB,In development,,https://hipotion.itch.io/zagury-quest
,,1877,,,,,Unity,UnfinishedSushi,1,HTML5,,,,In development,cooking||Game Maker's Toolkit Jam||kitchen,https://kohonen.itch.io/unfinishedsuche
,,708,Action,,,,Unity,Only One Way Out,0,HTML5,,,,Released,2D||mayhem,https://weemoamal.itch.io/one-way
,,773,Platformer,,,,,Goob,4,Windows,,,25 MB,Prototype,Game Maker's Toolkit Jam||Pixel Art||Retro,https://m0rgtr0n.itch.io/goob
,,1728,Survival,,,,,Darkness That Festers,3,Windows,,,3 MB,Prototype,GameMaker||Game Maker's Toolkit Jam||Horror||Top down shooter,https://gardenfodder.itch.io/darkness-that-festers
,,0,Action,,,,,Broken Dungeon,1,Windows,,,44 MB,In development,,https://connorndev.itch.io/broken-dungeon
,,906,,,,,,"All For the One, For The One Is All",1,HTML5,,,,Released,,https://justking14.itch.io/for-the-one
,,657,Platformer,,,,,Sautéed Sheep,4,Windows,,,108 MB||58 MB,Released,2D||Pixel Art||sheep||Short||Singleplayer||Unity||wool,https://phush.itch.io/sheep
,,286,Platformer,,,,Unity,0n1y 0ne,1,HTML5,,,,Released,,https://notmacdogle.itch.io/0n1y-0ne
,,161,Action,,,,,Dill's Nightmare,3,Windows,,,5 MB,Released,Endless||one-button,https://dynaparte.itch.io/dills-nightmare
,,411,Action,,,,,Critical Strike,1,,,,2 MB,Released,2D||brawler||Game Maker's Toolkit Jam,https://navarre.itch.io/critical-strike
,,0,Action,,,,,Bang Bang,1,Windows,,,1 MB,Released,,https://froggoboyyo.itch.io/bang-bang
,About an hour,875,Survival,Keyboard||Mouse,English,,GameMaker: Studio||GraphicsGale,Alone,4,Windows,,,2 MB||3 MB,Released,2D||Crafting||Game Maker's Toolkit Jam||Pixel Art||Survival Horror,https://hacktrout.itch.io/alone
,,736,Puzzle,,,,,Multidimensional Ogre,1,Windows,,,23 MB,Prototype,2D,https://jillingyousoftly.itch.io/multidimogre
,,927,,,,,,The Only Hand in the Kitchen,2,,,,20 MB,Prototype,3D||Comedy||cooking,https://thisisofficial.itch.io/the-only-hand-in-the-kitchen
,A few minutes,779,Role Playing,Keyboard||Xbox controller,English,,GameMaker: Studio||Aseprite||Bfxr,SELF,3,Windows||HTML5,Name your own price,,4 MB,Released,2D||8-Bit||Game Boy||Pixel Art,https://alex-fc.itch.io/self
,,163,Platformer,,,,,HUE HUE HUE,1,Windows,,,10 MB,Released,Game Maker's Toolkit Jam,https://arcticlasertrails.itch.io/hue-hue-hue
,,129,Action||Shooter,,,,,one bullet shooter,3,,,,21 MB,Released,3D||Fast-Paced||one-hit-kill||Real-Time||Shoot 'Em Up,https://helloimtw.itch.io/one-bullet-take
,,1035,,,,,,Holcrea Adventures 2,1,,,,17 MB,Released,,https://catelt.itch.io/holcrea-adventures-2
,,152,Action||Shooter,,,,,One Shot,3,Windows,"Name your own price,Name your own price",,82 MB,Released,2D||Tanks,https://drakgorn.itch.io/one-shot
,,454,,,,,,One shot,1,Windows,,,19 MB,Released,,https://introvertedmage.itch.io/one-shot
,,308,Strategy,,,,,One Knight Stands,2,Windows,,,17 MB,Released,2D||Chess||Game Maker's Toolkit Jam||godot,https://henrietta.itch.io/one-knight-stands
,,0,Action,,,,,One Track Mind,1,Windows,,,106 MB,Released,,https://michaellmetzler.itch.io/one-track-mind
,,573,,,,,,You Must Kill Evil Devid,1,Windows,,,29 MB,Released,,https://skeleton-in-disguise.itch.io/you-must-kill-evil-devid
,,326,Role Playing||Adventure,,,,,The Chosen ONE,1,,,,18 MB,Prototype,Game Maker's Toolkit Jam||idle||one-button||only-one,https://hudsoncraft.itch.io/the-chosen-one
,,88,Shooter,,,,,OneShot,2,,,,15 MB,Released,,https://geamdema.itch.io/oneshot
,,225,Survival,,,,,Only One Survivor,1,,"Name your own price,Name your own price",,15 MB,Released,Pixel Art||Singleplayer,https://ratstail91.itch.io/only-one-survivor
,,97,Rhythm,,,,,Feed,1,,,,19 MB,Released,3D||Pixel Art,https://jimthegamedev.itch.io/feed
,,943,Action,,,,,PRSC Test Facility,3,,,,14 MB,In development,,https://beelzeboss.itch.io/prsc-test-facility
,,876,Fighting,,,,,Secret Technique,1,Windows,,,19 MB,Prototype,2D||Game Maker's Toolkit Jam||Pixel Art,https://jazetu.itch.io/secret-technique
,,310,,,,,,Funfair Frenzy,1,Windows,,,13 MB,Released,Arcade,https://theflyhalfboy.itch.io/funfair-frenzy
,,266,Action,,,,,Only One Life,5,Windows,,,22 MB,Released,3D||blocks||Casual||clicker||Endless||Game Maker's Toolkit Jam||Mouse only||Point & Click||Unity,https://jeraldcrisbergantinos.itch.io/only-one-life
,,240,,,,,,One Hit Wonder,1,Windows||macOS,,,14 MB||11 MB,Released,Game Maker's Toolkit Jam,https://s4x0r.itch.io/one-hit-wonder
,,251,Platformer,,,,,o r a n g e,1,,,,2 MB,Released,,https://ehauckdo.itch.io/orange
,,178,Platformer,,,,Unity,"One Life, One Blade",1,HTML5,,,,Released,Game Maker's Toolkit Jam,https://treemountaingames.itch.io/one-life-one-blade
,,881,,,,,,Incomplete Entry,4,,,,1 MB,Released,2D||Game Maker's Toolkit Jam||incomplete||Point & Click,https://cosmic-downpour.itch.io/a-noble-attempt
,,0,Racing,,,,,first gear,1,Windows,,,1 MB,Released,,https://tadhg45.itch.io/first-gear
,,272,Puzzle,,,,,T Spin,1,,,,2 MB,Prototype,Tetris,https://srykah.itch.io/t-spin
,,145,Action,,,,,Renaissance,1,Windows,,,19 MB,Released,2D||Casual||Short||Singleplayer||Unity,https://null-production.itch.io/renaissance
,,429,Simulation,,,,Unity,FLY SIMULATOR,1,HTML5,,,,Released,Game Maker's Toolkit Jam,https://artemv1.itch.io/fly-simulator
,,176,Puzzle||Simulation||Survival,,,,,One Tooth,5,Windows,,,136 MB,Released,Casual||Fantasy||Funny||Short||Unreal Engine,https://driton-gashi.itch.io/one-tooth
,A few seconds,640,Puzzle,Keyboard,English,,LÖVE,black and white,2,Windows||macOS||Linux,,,3 MB||894 kB||1 MB,Prototype,1-bit||Game Maker's Toolkit Jam||LÖVE,https://zetef.itch.io/black-and-white
,,797,Puzzle,,,,,Monochromic,1,Windows,,,35 MB,Released,Game Maker's Toolkit Jam,https://codeingercat.itch.io/monochromic
,,243,Platformer,,,,,1Light,1,Windows,,,19 MB,Released,2D||Puzzle-Platformer,https://rawdeal.itch.io/1light
,,346,Action,,,,Unity,Noob Game,0,HTML5,,,,On hold,2D||3D||Pixel Art,https://yigit-arda-er.itch.io/noob-game
,,503,,,,,,Take Note,1,Windows,"Name your own price,Name your own price",,25 MB,In development,2D||Cute||Game Maker's Toolkit Jam||Narrative||Short||Story Rich||Unity,https://cmrnprry.itch.io/take-note
,,513,Shooter,,,,Unity,Those Damn Extroverts,1,HTML5,,,,Released,2D||anxiety||extroverts||Horror||introverts||Pixel Art,https://ojin.itch.io/those-damn-extroverts
,A few minutes,617,Shooter||Action,,English,,GameMaker: Studio,Jupiter Jam,4,Windows,,,4 MB||3 MB,Released,Arcade||Bullet Hell||Experimental||GameMaker||Game Maker's Toolkit Jam||Roguelike||Shoot 'Em Up||Space,https://bbbtrozz.itch.io/jupiter-jam
,,215,Rhythm,,,,,Matrix with only 1 Dimension,1,Windows,,,19 MB,Prototype,,https://flummoxedshubh.itch.io/matrix-with-only-1-dimension
,,362,Platformer,,,,,ToTowerTop,1,,,,145 MB,Prototype,Short||Singleplayer,https://mrzeroxas.itch.io/totowertop
,,926,Adventure,,,,,Pixel Escape Adventure,1,Windows,,,15 MB,In development,Game Maker's Toolkit Jam,https://ilusionx.itch.io/pea
,,306,Action,,,,,"One, a game made for the GMTK Game Jam 2019",3,Windows||macOS,"Name your own price,Name your own price",,21 MB||37 MB,Released,,https://giantninja908.itch.io/one
,,270,Platformer,,,,,Only One Minute,1,,,,24 MB,Released,2D||Pixel Art,https://borjan1peovski.itch.io/only-one-minute
,,362,Puzzle,,,,,The Mages Office,3,,"Name your own price,Name your own price",,19 MB,Prototype,Game Maker's Toolkit Jam,https://tatazaki.itch.io/the-mages-office
,,306,,,,,,MisterJellyman,1,Windows,,,5 MB,Released,Game Maker's Toolkit Jam,https://yovadorgmailcom.itch.io/misterjellyman
,,206,Action,,,,,WhoIsLegend,4,Windows,,,17 MB,Prototype,2D,https://sohhyy.itch.io/whoislegend
,,841,Action,,,,,Action space,3,,,,6 MB,Released,2D||Game Maker's Toolkit Jam||Pixel Art||Retro||Short||Singleplayer||Top down shooter,https://tosch29.itch.io/action-space
,,186,Role Playing||Rhythm||Shooter,,,,,Kapars 's Tunneled dungeon,5,Windows,,,19 MB,Prototype,FPS||Unity,https://emanvidmaker.itch.io/kapars-s-tunnel-geon
,,582,Action,,,,,One Button Pong,1,Windows,,,11 MB,Released,2D||Arcade||Game Maker's Toolkit Jam||Minimalist||Retro,https://voivy.itch.io/one-button-pong
,,690,Survival,,,,,Tree of Light,1,Windows,,,22 MB,Released,2D||Pixel Art,https://semlaan.itch.io/tree-of-light
,,0,Shooter,,,,,Sensory Underload,1,,"Name your own price,Name your own price",,17 MB,Released,2D||Pixel Art,https://mrmuzhie.itch.io/sensory-underload
,,176,Platformer,,,,,One Block,2,Windows,,,24 MB,Released,only-one,https://jazz-cat-games.itch.io/one-block
,,510,Interactive Fiction||Puzzle,,,,,The 1GB Crime,1,Windows,,,3 MB,In development,computer||murder||Mystery||singl,https://eddthulhu.itch.io/the-1gb-crime
,,202,Platformer,,,,,Nesting,1,Windows,,,154 MB,Released,,https://methologic.itch.io/nesting
,,293,Action,,,,,Follow The Cursor,1,Windows,,,15 MB,Prototype,,https://swordcraft-studios-real.itch.io/follow-the-cursor
,,314,Shooter,,,,,Way of THE Bullet,1,Windows,,,,Released,Bullet Hell,https://thecakebreaker.itch.io/way-of-the-bullet
,,0,Action,,,,,Blub Blub's Glass Cannon,0,Windows,,,2 MB,Released,,https://itissomething.itch.io/blub-blubs-glass-cannon
,,332,Shooter,,,,,NoEscape,1,Windows,,,635 kB||17 MB,Prototype,,https://allllllen.itch.io/noescape
,,1781,Action||Shooter||Survival,,,,,Rhum & Gun,1,,,,24 MB,Prototype,2D||Arcade||Co-op||Game Maker's Toolkit Jam||Local Co-Op||Multiplayer||Pirates||scoring,https://dacookie.itch.io/rhum-and-gun
,,418,Puzzle,,,,,Me,0,Windows,,,51 MB,Released,2D||My First Game Jam||Physics||Pixel Art,https://silverbunnygames.itch.io/me
Textless,A few minutes,279,,Keyboard||Mouse,,,Unity||Bosca Ceoil||Inkscape,The Only One for You,1,Windows,,,7 MB,Prototype,Game Maker's Toolkit Jam||My First Game Jam,https://snail-rhymer.itch.io/the-only-one-for-you
,,653,Action,,,,Unity,One Swing Man,0,HTML5,,,18 MB,Prototype,Game Maker's Toolkit Jam,https://lollidepp.itch.io/one-swing-man
,,398,Shooter,,,,,MouseButton1,1,Windows,"Name your own price,Name your own price",,16 MB,Released,2D||Game Maker's Toolkit Jam||Short||Singleplayer||Unity,https://hacah.itch.io/mousebutton1
,,95,Platformer,,,,,Only one...,2,Windows||macOS,,,21 MB||20 MB,Released,Game Maker's Toolkit Jam,https://dustyatlas.itch.io/only-one
,,238,Platformer,,,,,Don't Cut The Cheese,1,Windows,,,40 MB,Released,2D||cheese||midnight-rainbow||My First Game Jam,https://midnight-rainbow.itch.io/dont-cut-the-cheese
,,250,,,,,,One Man Army,0,Windows,,,2 MB,Released,Game Maker's Toolkit Jam,https://budget-baron.itch.io/one-man-army
,,362,Puzzle,,,,Unity,Pointed,0,Windows||HTML5,,,18 MB,Released,Game Maker's Toolkit Jam,https://grape11.itch.io/pointed
,,586,Platformer,,,,,Follow the Light,4,Windows,,,19 MB,Released,2D||Flight||follow||Game Maker's Toolkit Jam||Pixel Art||the||Unity,https://blackshadow1g.itch.io/follow-the-light
,,71,,,,,,Space Invader,1,Windows,,,10 MB,Released,,https://mrfullstack.itch.io/space-invader
,,646,Action,,,,,The One-Armed Bandit,1,,"Name your own price,Name your own price",,29 MB,Released,Game Maker's Toolkit Jam||My First Game Jam||Pixel Art||Stealth,https://brokenmirror.itch.io/the-one-armed-bandit
,,214,Platformer,,,,Unity,Nyan Lives,4,HTML5,,,,In development,2D||cats||Controller||Dogs,https://waterkat.itch.io/nyan-lives
,,89,Action,,,,,Compendium,1,,,,3 MB,Released,,https://thyninya.itch.io/compendium
,,550,Platformer,,,,,Dario,3,Windows,,,476 kB,Prototype,Game Maker's Toolkit Jam,https://turncoda.itch.io/dario
,,212,Shooter,,,,Unity,Find and Eliminate,1,HTML5,,,,Released,3D,https://mth-gamedev.itch.io/find-and-eliminate
,,441,Racing,,,,,GMTKJam 2019 - Broken Steering,1,Windows,,,20 MB,Released,Controller||Game Maker's Toolkit Jam,https://japethgurr.itch.io/gmtkjam-2019-broken-steering
,,0,Puzzle,,,,,Little Booties Maze Adventure,1,Windows,,,43 MB,Released,,https://tickout.itch.io/little-booties-maze-adventure
,,797,,,,,Unity,NetworkHealer,0,HTML5,,,5 MB,Prototype,,https://blazar.itch.io/networkhealer
,,462,Platformer||Puzzle,,,,,Blocy,1,Windows,,,23 MB,Released,2D||Casual||Game Maker's Toolkit Jam||Unity,https://spidermanfan244.itch.io/blocy
,,185,Action,,,,,The Blob Brothers and their mission to the moon,0,Windows,,,15 MB,Released,2D||My First Game Jam||Pixel Art||Unity,https://kaiser-dev.itch.io/the-blob-brothers-and-their-mission-to-the-moon
,,426,,,,,,Broach Forge - GMTK2019,3,Windows,,,74 MB,Prototype,Game Maker's Toolkit Jam,https://fogezombie.itch.io/broachforge-gmtk2019
,,241,,,,,,Running on Empty,3,Windows,,,3 MB,Released,Asteroids||Gravity||Space,https://epsilon-wave.itch.io/running-on-empty
,,272,Action,,,,,One Shot Red. Codename: ORANGES,1,Windows,,,24 MB,Released,,https://spilat12.itch.io/one-shot-red-codename-oranges
,,843,Adventure,,,,,One Shot Dungeon,3,Windows,,,10 MB||6 MB,In development,2D||Game Maker's Toolkit Jam,https://jsonthefallen.itch.io/one-shot-dungeon
,,512,Shooter,,,,,gravity gun defender,3,,,,19 MB,Prototype,,https://maqu.itch.io/gravity-gun-defender
,,671,Platformer,,,,,"One Flag, a 2D Puzzle-Platformer",3,Windows,,,78 MB,Released,2D||Puzzle-Platformer,https://missingnull.itch.io/one-flag
,,477,Action,,,,,S.pace,3,,,,11 MB,In development,Difficult||Pixel Art,https://russian-roulette.itch.io/space
,,420,Action||Shooter,,,,,ONE THOUSAND BEES,1,,,,23 MB,Released,bees||Game Maker's Toolkit Jam,https://ragefarm.itch.io/one-thousand-bees
,,477,Action||Strategy,,,,,Crossing The Border,3,Windows,,,101 MB,Released,2D||Pixel Art,https://miketearon.itch.io/crossing-the-border
,,886,Action,,,,,Only One Tree,1,,,,6 MB,Prototype,,https://ostgeneralen.itch.io/only-one-tree
,,389,Action,,,,,Ett Syfte (One purpose),3,Windows,"Name your own price,Name your own price",,19 MB,Released,2D||Game Jam||Game Maker's Toolkit Jam||Retro,https://gettingrekt.itch.io/ett-syfte-one-purpose
,,515,Action,,,,,One Minute Remaining/There can only be One,2,Windows,,,1 MB,Released,2D||Black and White||Dungeon Crawler,https://mr-kitkat.itch.io/one-minute-remaining
,,131,Platformer,,,,,PLATF,0,,,,4 MB,Released,2D,https://redundantqwail.itch.io/platf
,,449,,,,,,"Tank Hero ""Only One bullet!""",2,Windows||Linux,"Name your own price,Name your own price",,19 MB,Released,,https://salama135.itch.io/only-one-bullet
,,724,Action||Sports,,,,,BREAK A LEG,1,Windows,,,146 MB,Released,Futuristic||Game Maker's Toolkit Jam||Local Co-Op||Local multiplayer||Multiplayer||Robots||Soccer,https://chritaq.itch.io/break-a-leg
,,347,Action,,,,,Color Wars,1,Windows,,,12 MB,Released,FPS||Unity,https://theshadoweffect.itch.io/color-wars
,,988,Action,,,,,Box defending itself from boxes using a box,0,Windows,,,13 MB,Released,1d||Game Maker's Toolkit Jam||Short,https://tecanec.itch.io/box-defending-itself-from-boxes-using-a-box
,,0,Platformer,,,,,Patty The Lonely Platform (Executable Only),1,Windows||macOS||Linux,,,14 MB,Released,2D||Game Maker's Toolkit Jam,https://mambomasterkong.itch.io/patty-the-lonely-platform
,,611,Shooter,,,,,Space Corners,1,Windows,,,16 MB,Released,2D||Pixel Art||Shoot 'Em Up||Space,https://bigclock.itch.io/space-corners
,,278,Adventure,,,,,One Word - Quest for the Golden Egg,1,,,,15 MB,Released,2D||Nonlinear||Non violent||Top-Down||Top Down Adventure,https://d0rkza.itch.io/one-word-quest-for-the-golden-egg
,,1124,,,,,,Powered Up,0,HTML5,,,,Released,,https://easilybaffled.itch.io/powered-up
,,278,Puzzle,,,,,Briquette,1,,,,19 MB,Prototype,,https://braxtoncuneo.itch.io/briquettegame
,,2018,Platformer,,,,,Only One Coin (of each color),4,Windows,"Name your own price,Name your own price",,34 MB,Released,3D||Game Maker's Toolkit Jam,https://saoigames.itch.io/only-one-coin
,,443,Platformer,,,,,Dungeon Speedrunner,1,Windows,,,2 MB,Released,2D||GameMaker||Runner||Side Scroller,https://ene-luis.itch.io/dungeon-speedrunner
,,320,,,,,,Walls: The Only One,1,Windows,,,88 MB,Released,Game Maker's Toolkit Jam,https://trivada.itch.io/walls-the-only-one
