jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
,2019-02-22 15:00:00,sketche99,Black History Month Jam 2019,6,0,3,2019-02-01 11:00:00,https://www.itch.io/jam/black-history-month-jam-2019
MUST be made made with an eclipse engine||MUST be hosted||Must be a one person project,2017-09-03 20:16:51,Randoyes,Eclipse ORPG Contest,5,1,2,2017-08-27 23:00:00,https://www.itch.io/jam/eclipse-orpg-contest
,2016-12-02 16:00:00,PDGameJam,"Pembroke Dock Game Jam (Wales, UK)",6,0,3,2016-11-26 09:00:00,https://www.itch.io/jam/pdgamejam2016
,2019-09-05 04:00:00,PhillyGameMechanics,Profit Jam 2019,6,0,3,2019-06-01 04:00:00,https://www.itch.io/jam/profit-jam-2019
,2017-11-30 06:00:00,hyperscope,Winnipeg Winter Game Jam,6,0,4,2017-11-17 06:00:00,https://www.itch.io/jam/winnipeg-winter-game-jam
,2016-08-20 22:00:00,Kerneltt,Q'uk'umatz Game Jam,6,0,4,2016-08-19 22:00:00,https://www.itch.io/jam/qukumatz-game-jam
Global appreciation||Respect of the theme||Respect of the constraints||Beauty||Quality,2018-10-21 18:00:00,Koladz,Art Design Kompet (for graphic designers) #2,6,6,1,2018-10-13 06:00:00,https://www.itch.io/jam/art-design-kompet
Overall,2018-12-24 04:59:59,LexLoco||Thedrdevin||Odd Weekend Game Jam,Odd Weekend Xmas,6,0,1,2018-12-21 05:00:00,https://www.itch.io/jam/odd-weekend-xmas
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-07-22 09:00:00,rocknightstudios,Trijam #28 Do you dare to try?,6,0,1,2019-07-19 09:00:00,https://www.itch.io/jam/trijam-28
,2017-09-24 06:59:59,JustKay,September Rainbow Jam,6,0,1,2017-09-10 07:00:00,https://www.itch.io/jam/september-rainbow-jam
Overall,2019-08-12 04:59:59,CCDJuegos,Couch Games in Stop Motion,6,0,4,2019-08-05 05:00:00,https://www.itch.io/jam/coach-games-stop-motion-2019
FINAL RATING||THEME!||C O L O R F U L N E S S,2019-09-12 13:00:00,TheMadPigster,Weekly Rainbow Jam - Week 3,6,1,1,2019-09-06 13:00:00,https://www.itch.io/jam/weekly-rainbow-jam-week-3
,2016-07-10 08:00:00,vikhik,Sunshine Game Jam,6,0,4,2016-07-08 08:00:00,https://www.itch.io/jam/sunshine-game-jam
Combat/Turn-Based Element||Other Gameplay,2019-01-02 00:00:00,Tedcombobulate,Turn-Based Game Jam,6,2,1,2018-12-02 00:00:00,https://www.itch.io/jam/turn-based-game-jam
,2017-06-29 23:00:00,NosferatChew,DT508- Storyteller,6,0,4,2017-05-30 13:46:14,https://www.itch.io/jam/dt508dst
,2018-04-26 17:00:00,SeaPeaMe,"1 Day, 50 Lines",6,0,3,2018-04-26 14:00:00,https://www.itch.io/jam/50-lines
,2018-06-18 06:59:59,PlutoHimself,#QueerDH 2018,6,0,10,2018-06-15 07:00:00,https://www.itch.io/jam/queerdh-2018
,2017-06-01 18:00:00,Indie Collective||Festival Stunfest,ADDON Jam 2017,6,0,2,2017-05-29 15:00:00,https://www.itch.io/jam/addon-jam-2017
,2017-01-15 12:59:59,Ham,Ham Jam 1: Dungeon,6,0,2,2017-01-08 01:00:00,https://www.itch.io/jam/ham-jam-dungeon
,2018-04-19 14:30:00,licornus93||Yann Roirand||Melowicyan,Movie Jam,6,0,4,2018-04-12 22:00:00,https://www.itch.io/jam/movie-jam
,2018-10-28 08:30:00,Shinji R. Yamane,Game Jam Takahashi 2018,6,0,5,2018-10-27 01:00:00,https://www.itch.io/jam/game-jam-takahashi-2018
Overall||Originality||Creativity||Wieldness||Fummess,2016-07-28 21:00:00,Moon Light Games,Prototype Game Jam 48h! (#PrototypeGameJam),6,1,1,2016-07-26 21:00:00,https://www.itch.io/jam/prototype-jam-48h
Creativity||Art||Unique features||Compleatness,2018-06-12 05:00:00,GentryGaming,Puzzle Game Jam,6,2,2,2018-06-01 05:00:00,https://www.itch.io/jam/corwyns-puzzles
,2018-09-01 02:52:00,LilDeer,"Quimeras, monstruos y lo biológicamente alterado",6,0,3,2018-08-26 13:00:00,https://www.itch.io/jam/quimeras-monstruos-y-lo-biologicamente-alterado
Overall||Story||Gameplay||Graphic||Music,2017-08-07 06:00:00,esp,Summer Rain - Browser Game,6,6,2,2017-07-30 06:00:00,https://www.itch.io/jam/summer-rain
Overall||How creative is the game?||Was the game supernatural themed?||Does the game look well thought out and not rushed?,2016-11-02 04:00:00,Trinketd,Trijam: The supernatural end,6,0,2,2016-07-21 18:17:37,https://www.itch.io/jam/trijam-the-supernatural-end
,2019-05-23 16:00:00,Sigrid.D,72LezGameJam#2,6,0,2,2019-05-20 16:00:00,https://www.itch.io/jam/72lezgamejam2
,2018-10-14 06:59:59,csufvgdc,Panic at the Game Jam!,6,0,5,2018-10-13 17:00:00,https://www.itch.io/jam/panic-at-the-game-jam
,2017-05-01 05:00:00,Thomas Shelby,Queer Zine Jam: IDENTITY,6,0,2,2017-04-28 05:00:00,https://www.itch.io/jam/queer-zine-jam-id
,2019-06-15 23:30:00,qwop bear,Saturday Jam Live,6,0,6,2019-06-15 21:00:00,https://www.itch.io/jam/saturday-jam-live
Overall,2017-04-10 04:59:59,Juegos indies,Un Juego al mes - Sombras Y juegos basados en Películas,6,0,1,2017-03-09 05:00:00,https://www.itch.io/jam/reto-indie-marzo
,2017-04-14 22:59:59,Aviv,Get Well Soon Jam,6,0,2,2017-04-09 11:00:00,https://www.itch.io/jam/get-well-soon-jam
,2018-09-23 04:59:59,scroobie,the humble bumble,6,0,1,2018-09-05 17:00:00,https://www.itch.io/jam/humble-bumble
Overall||Game design||Art||Theme,2018-08-26 20:00:00,mbouchonnet,Default choice Monthly Jam #1,6,2,2,2018-08-24 18:00:00,https://www.itch.io/jam/default-choice-monthly-jam
,2017-10-21 01:00:00,PhillyGameMechanics,Melody Jam,6,0,5,2017-10-18 04:00:00,https://www.itch.io/jam/melody-jam
,2018-06-15 13:59:59,SAE Brisbane Games,SAE Brisbane Games - Studio 1 - 18T2 - Wherefore Art Thou?,6,0,2,2018-05-23 14:00:00,https://www.itch.io/jam/sae-brisbane-games-studio-1-18t2-wherefore-art-thou
,2019-10-06 15:00:00,Sangjun,I Don't Get It Jam,6,0,0,2019-09-22 15:00:00,https://www.itch.io/jam/i-dont-get-it-jam
,2017-05-22 05:00:00,Juegos indies,"Un juego al mes - ""Desierto"" y ""Este juego te odia"".",6,0,3,2017-04-22 05:00:00,https://www.itch.io/jam/retoindieabril
,2018-12-03 04:59:59,LexLoco||Thedrdevin,Even Weekend Game Jam 2 + Mini Jam,6,0,1,2018-11-30 05:00:00,https://www.itch.io/jam/even-weekend-game-jam-2
,2018-07-23 04:00:00,Wheaton High School VMC,The Knight of Communism Jam,6,0,2,2018-06-23 04:00:00,https://www.itch.io/jam/incorporate-a-knight-communism
,2019-03-03 15:00:00,murmura,Dog Jam,6,0,3,2019-03-01 14:00:00,https://www.itch.io/jam/dog-jam-unicornpirates
,2018-10-25 12:00:00,GameSoul Games,T2S-Jam! (Time to Scare!),6,0,4,2018-03-25 12:00:00,https://www.itch.io/jam/t2s-jam-time-to-scare
General||Música||Inovación||Diversión||Visuales,2017-10-18 07:59:00,Doragon Games,8bits JAM,6,6,2,2017-10-06 05:00:00,https://www.itch.io/jam/8bits-jam
Overall||By how weird it is.||How unique it is.||If they put forth effort in the project,2017-10-14 05:00:00,Gabedoop,Weirded Out Game Jam,6,1,2,2017-09-11 05:00:00,https://www.itch.io/jam/weirdedout-game-jam
,2019-07-31 05:00:00,Angel's_Gaming Studio,[Free] [Hardcore] [Questing] [Any Genre],6,0,2,2019-02-01 06:00:00,https://www.itch.io/jam/free-hardcore-questing-any-genre
,2015-11-22 03:00:00,Eric Tang||barrythebrewster||zellqt,"IGDA ASU Game Jam - ""Look Out for that Thing!""",6,0,5,2015-11-21 15:00:00,https://www.itch.io/jam/igda-asu-game-jam
,2018-07-29 06:59:59,JustKay,July Rainbow Jam 2018,6,0,2,2018-07-22 07:00:00,https://www.itch.io/jam/july-rainbow-jam-2018
Did it use squares only?||How fun was it?||Was it visually appealing?||Was it playable?,2018-08-04 04:00:00,Backbox Publisher,Square Jam,6,5,4,2018-08-01 04:00:00,https://www.itch.io/jam/square-jam
,2019-08-06 18:30:00,Harsh Raj Singhania,NexZen Studios GDevelop Jam,6,0,1,2019-07-30 18:30:00,https://www.itch.io/jam/nexzen-studios-gdevelop-jam
,2017-06-28 22:00:00,VisualGames,Pixel Art Challenge,6,0,2,2017-06-19 22:00:00,https://www.itch.io/jam/pixel-art-challenge
Overall||Fun||Quality||Theme,2018-09-30 10:00:00,danieldan0,Okey Jam,6,1,1,2018-09-16 10:00:00,https://www.itch.io/jam/okey-jam
,2019-04-15 18:00:00,DrManticore,Manti's Birthday Game Jam,6,0,2,2019-04-08 18:00:00,https://www.itch.io/jam/manti-jam
,2017-11-07 12:00:00,All the bees,DevSoc York Halloween Competition 2017,6,0,2,2017-10-31 12:00:00,https://www.itch.io/jam/devsoc-york-halloween-competition-2017
Fidelidade||Jogabilidade||Arte||Musica,2017-10-10 17:00:00,Paulo Roberto,UFT Game Jam #1,6,0,2,2017-10-05 15:00:00,https://www.itch.io/jam/uft-game-jam-1
Overall,2016-02-14 20:00:00,BretMeasor,The Great Ham Jam,6,0,6,2016-02-12 22:00:00,https://www.itch.io/jam/the-great-ham-jam
Overall,2018-07-04 18:00:00,DarkSkys,Leakforums.co - Low Poly Jam - Win a VIP Membership!,6,0,1,2018-06-28 22:00:00,https://www.itch.io/jam/leakforumsco-jam-win-a-vip-membership
Theme||Fun||Functionality ie how well it plays||Originality,2018-03-12 03:00:00,emberstorm,Lamar ACM Game Jam,6,4,3,2018-03-10 02:00:00,https://www.itch.io/jam/lamar-acm-game-jam
,2018-10-29 00:00:00,ColbP,ACM: Spooky Game Jam,6,0,3,2018-10-27 00:00:00,https://www.itch.io/jam/acm-spooky-game-jam-
Overall,2018-10-01 01:00:00,MEGA,Newbies and Vets Game Jam 2018,6,0,4,2018-09-29 00:00:00,https://www.itch.io/jam/newbies-and-vets-game-jam-2018
,2016-03-31 22:00:00,X20000,Java game jam,6,0,10,2016-01-31 23:00:00,https://www.itch.io/jam/java-game-jam
,2017-10-15 03:59:59,AmbientOcclusion,6 Hour Jam 2017,6,0,5,2017-10-14 04:00:03,https://www.itch.io/jam/6-hour-jam-2017
,2019-10-27 06:59:59,Jajav33,OC Tilted Game Jam 17,6,0,4,2019-10-26 18:00:00,https://www.itch.io/jam/oc-tilted-game-jam
It's just a good game||Arcade||Pixel||It's memey (Not deserving of the award.),2019-07-01 05:59:59,Arandomguy,Retro Jam,6,3,4,2019-06-19 21:18:52,https://www.itch.io/jam/retro-jam-is-cool
Theme||Creativity||Replayability,2019-10-13 10:00:00,mudlee,Rush24,6,2,2,2019-10-12 10:00:00,https://www.itch.io/jam/rush24
,2018-10-29 03:59:59,LouisvilleMakesGames,6 Hour Spooky Jam 2018,6,0,5,2018-10-27 16:38:56,https://www.itch.io/jam/6-hour-spooky-jam-2018
The most voted game is the winner||The other most voted games will be at second and third,2019-06-30 15:30:00,lucalegaldomal,A.I. Game Jam,6,0,1,2019-06-25 15:30:00,https://www.itch.io/jam/ai-cool-game-jam
,2017-07-02 03:59:00,Silver Key Games||dust_scratch_games,Canada's 150th - Game Jam,6,0,6,2017-02-01 05:00:00,https://www.itch.io/jam/canada150game
Overall||Originality||Artistic Quality||Glitchiness||Music (if original),2019-03-01 04:59:59,Wheaton High School VMC,Light and Dark,6,0,2,2019-02-21 05:00:00,https://www.itch.io/jam/light-and-dark
Overall||How well does it defy the genre?||Does it play well?,2017-05-31 19:21:45,Vivee,Break the Box Jam,6,0,1,2017-05-17 19:22:04,https://www.itch.io/jam/break-the-box-defy-expectations
,2019-10-20 23:00:00,IGDA Chicago,Spooky Game Jam 2019,6,0,4,2019-10-18 23:00:00,https://www.itch.io/jam/spooky-game-jam-2019
Overall,2019-09-18 23:00:00,Dungeon,Cyclops Jam,6,0,3,2019-09-05 23:00:01,https://www.itch.io/jam/cyclops-jam
Overall,2016-01-24 07:59:59,LoneWolfandProgrammer,Game Maker Jam: 2016,6,16,5,2016-01-01 08:00:00,https://www.itch.io/jam/game-maker-jam-2016
Overall||Theme - How well is the given theme portrayed?||Mechanics - How unique are the mechanics to a survival game and how well are they implemented?||Survival - How well is the genre of Survival implemented? Does it feel like a challenge to survive in this game?,2017-06-11 12:00:00,STGJ Blayke,Survive the Game Jam 1,6,3,1,2017-06-08 12:00:00,https://www.itch.io/jam/survivegamejam1
Overall,2018-05-27 03:00:00,ADEVI,1º Concurso Desarrollo de Videojuegos ADEVI,6,0,6,2018-04-12 04:00:00,https://www.itch.io/jam/concurso-desarrollo-videojuegos
,2018-02-25 18:00:00,Games for the Many,Games for the Many Manchester,6,0,5,2018-02-17 12:00:00,https://www.itch.io/jam/games-for-the-many-manchester
,2019-05-21 04:00:00,Darezar of Eledris,"Chronicles GameDev Challenge, Week 7",6,0,2,2019-05-14 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-7
Overall,2019-07-27 21:00:00,Bloods the Creator,GoreJam - Month 1,6,0,1,2019-06-30 21:00:00,https://www.itch.io/jam/gorejam-month-1
Overall,2019-03-25 00:00:00,CCDJuegos,Mermelada de mesa 2019,6,0,4,2019-03-23 01:00:00,https://www.itch.io/jam/mermeladademesa
Overall||Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-23 21:30:00,rocknightstudios,Trijam #8 Do you dare to try?,6,1,1,2019-02-23 18:00:00,https://www.itch.io/jam/trijam-8
,2016-06-18 22:00:00,Seperto,Sepermelon Jam,6,0,2,2016-06-14 22:00:00,https://www.itch.io/jam/sepermelon-jam
Overall,2019-08-19 00:00:00,SteliosWinters,One Button Local Multiplayer,6,0,3,2019-08-16 00:00:00,https://www.itch.io/jam/one-button-local-multiplayer
,2019-05-07 04:00:00,Darezar of Eledris,"Chronicles GameDev Challenge, Week 5",6,0,2,2019-04-30 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-5
,2019-07-22 03:00:00,Gedig||Brandon D||Blumstengel,Skill Development Jam #1,6,0,1,2019-07-20 00:00:00,https://www.itch.io/jam/skill-dev-jam-1
,2016-04-01 23:00:00,whykay,Limerick GameCraft 2016,6,0,6,2016-03-05 09:00:00,https://www.itch.io/jam/limerick-gamecraft-2016
,2019-07-21 12:30:00,Jarryd Worland,BTG Semester Break Game Jam,6,0,5,2019-07-19 23:00:00,https://www.itch.io/jam/btgjam19
,2018-11-19 04:59:59,CUGameDev,Fire,6,0,4,2018-11-09 23:00:00,https://www.itch.io/jam/fire
Loyalty to the Rules||Retro-ness||Creativity,2019-02-07 00:00:00,andrelisboa1,Way too Retro Jam #1,6,0,2,2019-01-25 00:00:00,https://www.itch.io/jam/way-too-retro-jam-1
Should follow the theme||Should be creative||should be fun to play,2017-10-21 23:00:00,Centuria game dev,Pure.JS,6,1,1,2017-10-15 23:00:00,https://www.itch.io/jam/purejs
Enjoyability||Effects||Heros/Characters||UI||Host's preference :),2019-06-19 20:00:00,Vladisaman,Fighting Game Jam,6,0,1,2019-06-12 20:00:00,https://www.itch.io/jam/fighting-game-jam2
,2015-10-26 04:59:59,Composer Quest,"""I Barely Survived That Game Jam"" Game Jam",6,0,5,2015-10-15 04:59:59,https://www.itch.io/jam/GRJam
Overall,2018-07-05 11:30:00,ReKuZa Studio,#AndroidGameJam2018,6,0,2,2018-06-25 11:30:00,https://www.itch.io/jam/android
Overall||Fun Value||RPG-ishness||Functionality||Creativity||Quality of writing,2016-01-27 05:00:00,Lin The Shark,Twine RPG Jam,6,0,1,2016-01-20 05:00:00,https://www.itch.io/jam/twine-rpg-jam
Overall,2018-02-27 07:00:00,ReZult Studios,Winters End Jam,6,0,1,2017-12-22 07:00:00,https://www.itch.io/jam/the-spring-
"Theme-Following||Code||Looks||Tunes||Gameplay||Sorry, Kid -- Personal Tastes.",2019-01-01 04:59:59,crybabytif,To the End of the Year Jam,6,1,1,2018-12-19 04:59:59,https://www.itch.io/jam/tey-jam
,2018-12-30 20:00:00,Feldo,[FR] Partim 500 numéro 3,6,0,3,2018-12-23 20:00:00,https://www.itch.io/jam/partim-500-an-2018
Should follow theme||Should be creative||Should be fun to play,2018-02-18 00:00:00,Centuria game dev,Pure.js,6,0,1,2018-02-11 00:00:00,https://www.itch.io/jam/purejs3
Overall||Gameplay||Fun||Visuals (Graphics)||User Interface||Audio,2019-05-28 04:00:00,Nicoli,Improvement Movement Game Jam 3,6,2,2,2019-05-24 04:00:00,https://www.itch.io/jam/imgamejam3
,2017-02-12 23:00:00,Un_Rieur,OA Jam,6,0,3,2017-02-05 23:00:00,https://www.itch.io/jam/oa-jam
Overall,2018-02-07 07:00:00,GunShotGaming 2,Steam Jam,6,0,1,2018-01-24 06:00:00,https://www.itch.io/jam/steam-jam
,2015-05-31 03:59:59,SOI,AGDG Waifu Jam 2015,6,0,5,2015-05-01 04:00:00,https://www.itch.io/jam/wj2015
,2015-11-22 15:30:00,evnh||Jaffar Salih||Samanta Miszkiel,Card/Board Game Jam 2015,6,0,4,2015-11-20 11:00:00,https://www.itch.io/jam/mjt2015
,2019-05-04 17:00:00,kaifu,ボイゲジャム 1Day ハッカソン,6,0,5,2019-05-04 15:00:00,https://www.itch.io/jam/voicegamejam1day
,2019-09-17 11:30:00,Mr Turtle,Make a Game Jam,6,0,1,2019-09-10 11:30:00,https://www.itch.io/jam/make-a-game-jam
Gameplay||Visuals||Story,2018-12-14 00:00:00,Astronaronic,Gdevelop Jam,6,2,1,2018-11-15 00:00:00,https://www.itch.io/jam/gdevelop-jam
"Overall||Originality - How original is the concept, designs and/or storyline||Design - Graphics, atmosphere, audio effects, and music||Entertainment Value - How much enjoyment did you get out of the game||Polish - How well crafted and/or complete is the game",2018-04-23 07:00:00,benelson,"($1,250 in prizes) App Challenge Game Jam",6,3,2,2018-04-20 16:00:00,https://www.itch.io/jam/app-challenge-game-jam
Likeliness to give PTSD Factor||Creativity Factor||Horror/ Terror Factor||OMG/WOW Factor,2019-09-02 19:00:00,seansmith,Ghost Train / Dark Ride Game Jam,6,0,1,2019-08-16 23:00:00,https://www.itch.io/jam/ghost-train-game-jam
Overall||Is this game Fun?||Does this game look good?||Is this game creative?||Is the gameplay good?||How is the audio?,2014-12-14 23:00:00,Tofutart,Little People Game Jam #3,6,15,6,2014-12-12 22:00:00,https://www.itch.io/jam/little-people-game-jam-3
"Overall||Originalidad: Entre más épico sea la propuesta califiquen más alto.||Hollywood: ¿Es un momento de cine o de rol? Rol califiquen más alto.||Trilogía: ¿Es tan épico que da para varias historias? Entre más, más alto.||Videogame: ¿Realmente se presta para interactuar, o solo es apariencia?||AltaLeticia: ¿Es rol o va más allá? Si, califiquen 5. Podría ser, 4. No, 1.",2018-01-22 08:00:00,Germinadora de Ideas||@Dottora AstroROLoga,Praxis 1: El Reto (Quinta parte),6,15,6,2018-01-13 06:00:00,https://www.itch.io/jam/praxis-1-el-reto-quinta-parte
,2019-10-06 07:00:00,Nyavix,TrusuGDev FallJam#1,7,0,3,2019-09-29 07:00:00,https://www.itch.io/jam/trusugdev-falljam1
,2016-11-22 05:00:00,dto||mfiano,Autumn 2016 Lisp Game Jam,7,0,1,2016-11-11 05:00:00,https://www.itch.io/jam/autumn-2016-lisp-game-jam
Overall,2018-03-05 04:00:00,elGabe||Sebastian Scaini,Chunky Game Jam,6,0,2,2018-02-23 23:00:00,https://www.itch.io/jam/chunky-jam
The factor of not getting caught.||Creativity.,2018-12-19 22:00:00,Hunter Parcells,Don't Get Caught!,6,0,1,2018-12-12 14:00:00,https://www.itch.io/jam/dont-get-caught
,2019-09-08 04:00:00,LouisvilleMakesGames,Kentucky Fried Pixels 2019,7,0,2,2019-08-02 04:00:00,https://www.itch.io/jam/kentucky-fried-pixels-2019
Overall||Gameplay||Graphics||Sound||Meets requirements,2017-03-06 20:00:00,Retrocade Media,192 Jam,6,1,1,2017-02-06 20:00:00,https://www.itch.io/jam/192-jam
Overall||Theme||Gameplay||Style,2016-04-28 01:00:00,Dan Player McKinnon,Classic Doom - Map Jam,6,1,2,2016-04-23 01:00:00,https://www.itch.io/jam/classic-doom-map-jam
,2016-12-30 13:00:00,Ian MacLarty,Cinémathèque Jam,7,0,2,2016-02-13 13:00:00,https://www.itch.io/jam/cinematheque-jam
Overall,2019-09-24 03:59:59,mrchickenthebest,Destruction game jam 2,7,0,1,2019-09-09 04:00:00,https://www.itch.io/jam/destruction-game-jam-2
Overall,2018-07-27 07:00:00,Excalibur02,Visual Novel Jam,7,0,1,2018-07-08 07:00:00,https://www.itch.io/jam/visual-novel-jam
,2019-05-20 01:00:00,MacEwan Game Development Club,Mayday - GADEC Game Jam,7,0,3,2019-05-17 11:00:00,https://www.itch.io/jam/gadec-may-game-jam
,2019-02-25 16:59:59,AuroraGDC,AuroraGDC Twitch Lets Play Feb 2019,7,0,7,2019-02-16 18:33:31,https://www.itch.io/jam/agdcfebtwitch
,2016-08-07 06:00:00,Finnish Game Jam,ASM Game Jam 2016,7,0,6,2016-08-04 09:00:00,https://www.itch.io/jam/asm-game-jam-2016
Overall,2019-06-10 04:59:59,TGYJugando,MiniJam Orígenes,7,0,5,2019-06-01 22:19:58,https://www.itch.io/jam/minijam-orgenes
Overall||Overall Entertainment (How fun was the game)||Tool Simplicity (Were the tools simple? ex. MS Paint vs Photoshop)||Aesthetics (How well did the game look?)||Functionality (How well does the game run?)||Music (How well does the game sound)||Atmosphere (How does the game feel compared to intent?),2017-10-09 05:00:00,IncertusDei,Simple Tools Jam,7,3,3,2017-09-18 05:00:00,https://www.itch.io/jam/simple-tools-jam
Overall||How fun is it to play?||How complex are the mechanics?||Are the amount of features adequate?,2019-03-02 00:00:00,Astronaronic,Sim Jam,7,0,2,2019-02-23 00:00:00,https://www.itch.io/jam/sim-jam
,2016-07-25 07:00:00,Dan Player McKinnon,Classic Doom - Map Jam #2,7,0,2,2016-07-09 07:00:00,https://www.itch.io/jam/classic-doom-map-jam-2
What did you think?,2017-08-27 14:59:59,IdrisEffect,JET Summer Vacation Game Jam 2017,7,2,2,2017-08-13 15:00:00,https://www.itch.io/jam/jet-summer-2017
geral||Gameplay||Tema||Visuais||Sonorização,2019-03-08 03:00:00,Pin,Geléia Brasil - Edição 00 -  (Não Sobrou Nada),7,0,1,2019-02-28 03:00:00,https://www.itch.io/jam/geleia-brasil
Overall||Does it represent community?||Did this game give you a new/familiar experience?||Did this game feel well done for being made in 48 hours?,2019-08-27 00:00:00,Cel C.||Cam,Black Game Devs 48 Hour Game Jam!,7,0,1,2019-08-25 00:00:00,https://www.itch.io/jam/bgd-48-hour-game-jam
Best Game!||Great Idea!||Accurate!,2019-08-24 07:00:00,Dud3rdude,SCP Jam #2,7,0,1,2019-08-17 07:00:00,https://www.itch.io/jam/scp-jam-2
Overall||Overall||Audio||Graphics||Gameplay / Fun / Mechanics||Use of theme,2016-06-13 11:50:00,UoB Games Dev. Soc.,1Up Jam,7,15,4,2016-06-11 11:00:00,https://www.itch.io/jam/1up-jam
Overall||Creativity||Experience||Relevance to Theme,2019-04-26 04:00:00,Maroderkon,UJC #2- Youtube Judging of the Jam- Medicine Theme,7,0,2,2019-04-01 04:00:00,https://www.itch.io/jam/ujc-2-youtube-judging-
"Overall||Does the game feel like you're playing as a squirrel?||Does the setting re-inforce squirrel life?||Is the Squirrel art exciting and/or squirrel-y?||Is the gameplay loop engaging?||Does the game take an appropriate amount of time? (Not too long, not too short- pick up'n go/put down)||Is the game -fun-?",2017-07-29 07:00:00,korze,Squirrels Extreme!,7,0,1,2017-07-23 07:00:00,https://www.itch.io/jam/squirrels-extreme
Diversão||Criatividade||Mecânica||Sons||Arte,2018-08-20 02:59:59,Glitch,Brazilian Meme GameJAM,7,1,1,2018-08-18 02:59:59,https://www.itch.io/jam/brazilian-meme-gamejam
Surreality||Creativity||Originality,2017-11-22 15:30:00,Redix,Surreal Jam,7,0,2,2017-11-17 15:30:00,https://www.itch.io/jam/surreal
,2016-08-06 02:59:59,Ticolol,CampJam 2016,7,0,4,2016-07-29 21:00:00,https://www.itch.io/jam/campjam-2016
,2019-03-03 13:43:00,ESIEAJam,ESIEA Jam,7,0,4,2019-03-01 17:00:00,https://www.itch.io/jam/esiea-jam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-06-03 09:00:00,rocknightstudios,Trijam #21: Do you dare to try?,7,11,3,2019-05-31 09:00:00,https://www.itch.io/jam/trijam-21
Overall||Originality||Creativity||Wieldness||Funness,2016-07-27 21:00:00,Moon Light Games,Prototype Game Jam 24h! (#PrototypeGameJam),7,1,1,2016-07-26 21:00:00,https://www.itch.io/jam/prototype-jam
Restriction||General||Gameplay||Graphics||Music||Theme adaption,2019-03-22 16:00:00,Zwerruh,Force Jam 1 ~ History,7,2,2,2019-03-17 11:00:00,https://www.itch.io/jam/force-jam-1-history
,2017-12-20 05:00:00,GameKiwi,Bombleschtok Jam #1,7,0,1,2017-12-12 23:00:00,https://www.itch.io/jam/bombleschtok
,2019-01-21 03:00:00,Ray Nexus,EP Jam #01,7,0,1,2019-01-14 03:00:00,https://www.itch.io/jam/ep-01
Overall||Theme||Fun||Visuals||Audio,2018-03-23 23:00:00,Centuria game dev,4-5-6kb,7,0,1,2018-03-19 23:00:00,https://www.itch.io/jam/4-5-6kb
,2018-12-31 00:00:00,whykay,Dublin GameCraft: A gamejam yule never forget!,7,0,4,2018-12-08 09:30:00,https://www.itch.io/jam/dublin-gamecraft-a-gamejam-yule-never-forget
,2017-12-17 22:00:00,gameimpact,Impact Jam #4 : eco-jam,7,0,3,2017-12-10 09:00:00,https://www.itch.io/jam/impact-jam-4
,2018-10-28 04:00:00,Finnish Game Jam,FGJ Zero hour game jam,7,0,6,2018-10-28 01:00:00,https://www.itch.io/jam/fgj-zero-hour-game-jam
Overall||music||theme||gameplay,2019-02-25 00:00:00,BountyDev,JS Game Jam 2,7,0,2,2019-02-23 00:00:00,https://www.itch.io/jam/js-game-jam-2
Creativity||Art||Interactivity||Theme,2017-10-14 22:30:00,Jayscriptius,Dash Jam,7,0,1,2017-10-01 21:50:08,https://www.itch.io/jam/dashjam
,2016-12-07 23:30:00,01010111,RVA Remix Jam,7,0,0,2016-11-02 22:30:00,https://www.itch.io/jam/rva-remix-jam
Overall||music||theme||gameplay||art,2019-02-11 02:00:00,BountyDev,Pure JS Jam,7,8,4,2019-02-08 20:00:00,https://www.itch.io/jam/pure-js-jam
Overall||Fun||Creativity||Graphics||Sound||Theme Match||Genre Match (Survival),2019-02-03 11:00:00,STGJ Blayke,Survive the Game Jam 6,7,5,2,2019-01-31 11:00:00,https://www.itch.io/jam/survive-the-game-jam-6
Overall,2017-09-24 22:00:00,George V. Landon,igdaEKU Fall Game Jam 2017,7,0,7,2017-09-22 21:00:00,https://www.itch.io/jam/igdaeku-fall-game-jam-2017
,2018-08-31 03:00:00,SAEMelbourne,SAE Melbourne Game Jam 2018,7,0,5,2018-08-29 02:00:00,https://www.itch.io/jam/saemelb2018
,2017-10-01 00:00:00,stepha,SF Bay Area Women in Game Development Community Game Jam #1,7,0,3,2017-09-23 17:00:00,https://www.itch.io/jam/sfbawgd-jam-001
Overall||Gameplay||Graphics||Audio||Theme||Innovation,2019-05-06 11:00:00,{Pascal},NotMoeJam #3 - Avoid,7,0,1,2019-04-26 11:00:00,https://www.itch.io/jam/notmoejam-3
,2017-01-22 16:00:00,JanTuts||thoi,Global Game Jam Antwerp 2017,7,0,5,2017-01-20 16:00:00,https://www.itch.io/jam/ggj-antwerp-2017
