jam_criteria,jam_end_date,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
Most 4-color like||Gameplay,2018-08-26 04:00:00,4 color jam!,8,7.0,3,2018-08-20 04:00:00,https://www.itch.io/jam/4-color-jam
Overall,2018-06-15 07:00:00,Old Software Jam,8,0.0,6,2018-05-25 07:00:00,https://www.itch.io/jam/old-software-jam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-05-27 09:00:00,Trijam #20 Do you dare to try?,8,3.0,2,2019-05-24 09:00:00,https://www.itch.io/jam/trijam-20
Is it a puzzle game?||Gameplay,2018-08-29 22:45:00,Puzzle Jam,8,14.0,2,2018-08-19 22:50:00,https://www.itch.io/jam/puzzle-jam
Overall Fun||Innovation||Closeness to Theme||Music||Graphics||Ambition,2019-02-11 01:00:00,9 Day Thinking Jam,8,0.0,1,2019-02-01 23:00:00,https://www.itch.io/jam/9-day-thinking-jam
Overall||Innovation – The unexpected unique idea.||Fun – Did you enjoy playing the game?||Theme – Does the game suit the theme? Is it a creative one?||Graphics – The look of the game.||Audio – How did the game sound?||Mood – The atmosphere of the game.||Stability - Is the system stable?||Overall – Your overall opinion of the game.,2017-11-18 22:59:59,SPPRO Discord GameJam 3,8,6.0,3,2017-11-17 19:00:00,https://www.itch.io/jam/sppro-discord-gamejam-3
Theme||Quality||Gameplay,2019-09-28 03:59:59,Blox Game Jam - Fall,8,1.0,2,2019-09-06 04:00:00,https://www.itch.io/jam/blox-game-jam-fall
Uso do tema||Gameplay||Estilo visual||UI - Interface de usuário||SFX - Efeitos sonoros||BGM - Música de fundo,2019-08-26 02:59:59,GAMMANET Game Jam #2,8,0.0,1,2019-08-23 23:00:00,https://www.itch.io/jam/gammanet-game-jam-2
Overall||Creative||Theme||Fun||Graphics||Sound||Story||Gameplay (Mechanics),2019-01-01 08:00:00,KinderJam,8,0.0,1,2018-11-01 07:00:00,https://www.itch.io/jam/kinderjam01
Overall||Theme||Concept||Polish||Fun,2015-10-11 00:00:00,Casual Fortnight 3,8,0.0,1,2015-09-26 00:00:00,https://www.itch.io/jam/casual-fortnight-3
Mechanics||Design,2019-08-28 04:00:00,Dialogue!,8,0.0,2,2019-08-07 04:00:00,https://www.itch.io/jam/dialoguejam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-29 09:00:00,Trijam #17,8,35.0,6,2019-04-26 09:00:00,https://www.itch.io/jam/trijam-17
Best Overall Project||Most Fun||Halfpoint,2018-03-11 13:00:00,Bitgem Game Jam #9,8,0.0,4,2018-02-11 13:00:00,https://www.itch.io/jam/bitgem-game-jam-9
Creatividad||Calidad||Jugabilidad||Completitud||Detalles,2018-01-28 18:00:00,Multi Game Jam,8,0.0,1,2018-01-26 17:00:00,https://www.itch.io/jam/multi-game-jam
Overall||Theme||Gameplay||Art||Sounds||Originality,2019-05-06 05:00:00,Food Jam,8,1.0,1,2019-04-29 05:00:00,https://www.itch.io/jam/foodjam
Overall||Game design||Innovation||Graphics||Sound & Music||Polish,2018-02-16 19:00:00,NNNIKKI Jam,9,0.0,1,2018-02-02 19:00:00,https://www.itch.io/jam/nnnikki-jam
Overall||Fun||Viability||Game design||Art,2015-07-20 02:00:00,Centro de Cultura Digital: Mermelada de mesa,9,23.0,9,2015-07-17 22:00:00,https://www.itch.io/jam/mermelada-de-mesa
Overall||Theme - استخدام موضوع الزنقة||Fun Factor - عامل التسلية||Innovation - الابداع||Sound - الصوتيات||Graphics/Visuals - المرئيات/الجرافيكس||Overall - التقييم عام,2016-10-23 10:00:00,CodeClub Game Jam,9,3.0,4,2016-10-12 21:00:00,https://www.itch.io/jam/codeclub
Overall||Overall||Theme||Gameplay||Originality||Graphics||Audio||Extras,2015-10-31 17:00:00,Procrastination Jam,9,2.0,2,2015-10-16 16:00:00,https://www.itch.io/jam/procrastination-jam
Overall,2018-01-22 08:00:00,POP UP JAM,9,0.0,4,2018-01-15 08:00:00,https://www.itch.io/jam/pop-up-jam
Overall,2018-02-03 08:06:06,Unicorn Game Jam,9,0.0,2,2018-01-02 00:00:00,https://www.itch.io/jam/unicorn-game-jam
Overall,2017-03-07 04:00:00,Un Juego al mes - Bestiario y super héroes retirados,9,0.0,4,2017-02-07 05:00:00,https://www.itch.io/jam/reto-indie-febrero
Overall||Great||Good||Ok||Needs more work||Maybe start something new,2017-02-16 08:00:00,DemoJam -   Submit your Demos here!,9,1.0,7,2017-02-09 08:00:00,https://www.itch.io/jam/DemoJam
Overall||Originality||Use of the Theme||Overall,2016-07-10 22:59:59,Blam! Jam #1,9,10.0,2,2016-07-08 19:00:00,https://www.itch.io/jam/blam-jam
Overall,2018-01-03 20:59:59,New Year Party,9,0.0,2,2017-12-27 21:00:00,https://www.itch.io/jam/new-year-party
Overall||Theme||Creativity||Technical Achievement||Polish||Entertainment||Bonus Points,2019-06-03 00:30:00,GCO Game Jam 2019,9,0.0,2,2019-06-01 00:00:00,https://www.itch.io/jam/gco-game-jam-2019
Entertainment Value||Creativity||Use of Theme||Potential||Mechanics,2019-05-06 04:59:59,CarlJam 2019,9,9.0,3,2019-05-05 05:00:00,https://www.itch.io/jam/carljam
Overall||Mechanics||Controls||Fun||Content Diversity||Graphics||Visual Effects||Music||Sound Effects||User Interface||Compliance With Topic,2017-04-03 09:00:00,Weekend Crazy Jam 5a - Reverse,9,2.0,3,2017-03-31 17:00:00,https://www.itch.io/jam/weekend-crazy-jam-5a---reverse
Is this game playable?||Is this game fun?||Would you recommend this game to your friends?,2019-01-12 21:30:00,Trijam,9,22.0,5,2019-01-12 18:00:00,https://www.itch.io/jam/trijam
Almonds||Gameplay Quality||Art Quality,2018-08-23 04:00:00,Almond Jam,9,2.0,2,2018-08-16 04:00:00,https://www.itch.io/jam/almond-jam
Respect of the theme||Respect of constraints||Originality||Beauty,2018-09-13 14:00:00,Art Design Kompet (for graphic designers) #1,9,10.0,4,2018-09-12 14:00:00,https://www.itch.io/jam/art-design-kompet-1
Story||Nature||SUMMER,2017-09-22 06:00:00,End Of Summer Game Jam,9,5.0,6,2017-08-17 06:00:00,https://www.itch.io/jam/end-of-summer
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-01-26 21:30:00,Trijam #4,9,10.0,6,2019-01-26 18:00:00,https://www.itch.io/jam/trijam-4
"Fits well with theme(Sci-fi, Fantasy, Action, Adventure)||Gameplay(How fun it is)||Story/Game Progression||Game Mechanics(How clear are instructions)",2019-01-15 05:00:00,Infinity Fiction Jam,9,0.0,1,2018-12-15 05:00:00,https://www.itch.io/jam/infinity-fiction
NoRankPlease||Gameplay||Graphics||Audio||Theme||Innovation,2019-07-12 11:00:00,NotMoeJam #6 - Transfer,9,5.0,3,2019-06-28 11:00:00,https://www.itch.io/jam/notmoejam-6
2 Players?||Graphics||Enjoyment||Overall,2018-05-24 23:00:00,The Bring Back Local Co-Op Jam!,9,4.0,3,2018-05-07 13:00:00,https://www.itch.io/jam/the-bring-back-local-co-op-jam
Gameplay||Controls||Programming||Graphics||Theme,2018-12-08 15:00:00,PNGE jam - Processing No Game Engine jam #02,9,0.0,1,2018-12-02 15:00:00,https://www.itch.io/jam/pnge02
Overall||Concept||Immersion||Style,2018-03-31 10:00:00,Inspirations Jam,9,0.0,2,2018-03-01 11:00:00,https://www.itch.io/jam/inspirations-drive
Does it match the theme?||How much content was there?||How good was the content?,2018-11-28 17:00:00,Next step,9,1.0,3,2018-11-25 17:00:00,https://www.itch.io/jam/next-step
Overall,2018-12-16 08:00:00,SGJ7,9,0.0,5,2018-12-08 15:00:00,https://www.itch.io/jam/sgj7
Overall,2015-10-23 17:00:00,"Adaweek, Twine initiation for everyone",9,0.0,6,2015-10-12 17:00:00,https://www.itch.io/jam/adaweektwine-initiation
Overall||Originality||Gameplay||Graphics||Music,2018-05-13 23:00:00,IcyJam 1,9,0.0,2,2018-05-08 06:30:00,https://www.itch.io/jam/icyjam-1
Overall,2015-11-09 16:00:00,Extra Jam! 2015,9,0.0,2,2015-11-07 16:00:00,https://www.itch.io/jam/extra24
Overall||Gameplay||Design||Cute||Cool,2018-11-20 20:00:00,MascotJam,9,0.0,1,2018-11-10 20:00:00,https://www.itch.io/jam/mascotjam
Overall||Gameplay||Creativity||Design||Theme||Atmosphere,2019-09-03 05:00:00,TigerDev Fall 2019 - Intro Jam,9,0.0,4,2019-08-31 01:00:00,https://www.itch.io/jam/tigerdev-fall-2019-intro-jam
Overall||Innovation||Fun||Theme||Graphics||Audio||Humor||Mood||Overall,2017-08-10 19:10:00,Flash Game Jam,9,0.0,3,2017-08-08 17:00:00,https://www.itch.io/jam/flash-game-jam
Does it include pixels or bits?||Is the gameplay good?,2019-09-08 22:59:59,Pix & Bits Jam 19,9,5.0,6,2019-08-31 23:00:00,https://www.itch.io/jam/pix-bit-jam-19
Overall,2016-02-06 16:15:00,Game Jam 2016 @fh salzburg,9,0.0,9,2016-02-05 12:00:00,https://www.itch.io/jam/game-jam-fhs-2016
Overall,2016-01-09 18:00:00,Paul Valéry in Game,9,0.0,6,2016-01-08 18:00:00,https://www.itch.io/jam/paul-valry-in-game
Overall||Overall||Aesthetics||Fun,2016-02-01 04:59:59,Kid Jam,9,2.0,4,2016-01-01 05:00:00,https://www.itch.io/jam/kid-jam
Overall||Is this game fun?||Does this game look good?||Is this game creative?||Is the gameplay good?||How is the audio?,2015-05-11 00:00:00,Little People Game Jam #4,9,22.0,7,2015-05-08 23:00:00,https://www.itch.io/jam/little-people-game-jam-4
Normal||Cool||Not Cool,2019-09-14 21:00:00,Lore of Platformers,9,0.0,2,2019-08-31 21:00:00,https://www.itch.io/jam/lopftweetit
Best Overall||Best Gameplay||Best Art||Best Sound,2018-08-16 04:00:00,Wild Game Jam,9,0.0,2,2018-08-09 04:00:00,https://www.itch.io/jam/wild-game-jam
Overall,2018-03-23 23:00:00,TUGameDev 2018,9,0.0,9,2018-03-10 23:00:00,https://www.itch.io/jam/tugamedev-2018
Overall,2019-07-30 12:00:00,GDA Game Jam #1,9,0.0,5,2019-07-26 12:00:00,https://www.itch.io/jam/gda-game-jam-1
Overall,2019-05-16 04:59:59,Games Factory 4KB Jam,9,0.0,2,2019-05-12 05:00:00,https://www.itch.io/jam/games-factory-4kb-jam
Fun-ness||Too Hard||Annoying||Boring,2018-07-27 23:00:00,Autism Awareness Jam 2,9,1.0,1,2018-04-28 15:52:00,https://www.itch.io/jam/autism-awareness-jam-2
Overall||Creativity||Independence (Who needs a girl/boyfriend?)||Entertainment||Fun (Extra Points for Lonely Tears),2017-02-20 05:00:00,Single Awareness Jam,9,0.0,1,2017-02-17 05:00:00,https://www.itch.io/jam/single-awareness-jam
Overall,2018-08-19 03:30:00,RPG Game Jam - Hard Narrative,9,0.0,1,2018-07-18 15:30:00,https://www.itch.io/jam/rpg-maker-narrative
Overall||Age of tools||Fun||Gameplay,2018-08-04 23:00:00,Old Tool Jam,10,2.0,1,2018-07-07 23:00:00,https://www.itch.io/jam/outdated-tool-jam
Gameplay||Originality||Polish||Theme,2018-12-19 02:00:00,AIE's Battle for Train Jam 2018,10,0.0,6,2018-12-18 17:15:00,https://www.itch.io/jam/bftj2018
Overall||Dopeness||Trippyness||Funness||Core Design,2016-01-25 06:59:59,Do Drugs Jam,10,0.0,1,2016-01-22 07:00:00,https://www.itch.io/jam/do-drugs-jam
Overall,2018-08-13 04:59:59,960 x 144 in Stop Motion,10,0.0,5,2018-07-01 05:00:00,https://www.itch.io/jam/960-x-144-in-stop-motion
Overall||Ammount Of Care||Creativity||Fun,2018-06-04 23:00:00,Car Jam,10,0.0,5,2018-05-04 23:00:00,https://www.itch.io/jam/cars-jam
Overall,2017-10-20 02:00:00,Queermuseu Game Jam,10,0.0,0,2017-10-06 03:00:00,https://www.itch.io/jam/queermuseu-game-jam
Overall,2016-02-06 23:00:00,Global Game Jam 2016 PARIS CITE DES SCIENCES,10,0.0,10,2016-01-29 16:00:00,https://www.itch.io/jam/global-game-jam-2016-paris-cite-des-sciences-
Fun||Design,2019-07-07 18:00:00,GameDevMotivation jam #1,10,0.0,1,2019-07-03 18:00:00,https://www.itch.io/jam/gamedevmotivation-jam-1
Overall||Geral||Inovação||Arte||Audio||Mecânica||Narrativa,2017-01-30 01:59:00,InterFerias GameJam,10,0.0,1,2017-01-28 01:59:00,https://www.itch.io/jam/interferias-gamejam
Overall||Gameplay||Game Design||Graphisms||Sound and Music||Memes,2017-05-15 22:00:00,KC Mini Game Jam #02,10,0.0,2,2017-04-30 22:00:00,https://www.itch.io/jam/kc-mini-game-jam-02
Overall||Overall||Theme/Modifiers||Graphics/Artstyle||Audio/Music||Innovation||Fun,2015-03-29 15:00:00,"The National Videogame Arcade ""JumpJam""",10,10.0,7,2015-03-28 10:30:00,https://www.itch.io/jam/jumpjam
Colors||Gameplay||THEME!||Art,2019-06-13 11:00:00,Weekly Rainbow Jam - Week 2,10,4.0,2,2019-06-07 11:00:00,https://www.itch.io/jam/weekly-rainbow-jam-2
"Overall||Gameplay / Control (Feels good to play, or controls make sense in context)||Fun / Feel (Enjoyment or good presentation—depends on game style)||Depth / Intrigue (Amount of stuff in the game, or made you want to keep playing)||Visuals (coherence, style, etc.)||Audio (sound effects, music, etc.)||Use of Generated Idea",2015-07-27 05:59:59,Insanity Jam 4,10,67.0,9,2015-07-10 06:00:00,https://www.itch.io/jam/insanity-jam-4
Overall||Scenario||Gameplay||Graphics||Music and sounds||Engagement and general,2018-08-24 04:00:00,Metroidvania Month,10,0.0,2,2018-07-15 04:00:00,https://www.itch.io/jam/metroidvania-month
Overall||Usefulness||Reliablity||Structure||Optimization||Creativeness||Overall,2019-08-17 16:00:00,ByteHub Code Jam,10,0.0,1,2019-08-01 16:00:00,https://www.itch.io/jam/bytehub-code-jam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-08-19 09:00:00,Trijam #32: Do you dare to try?,10,8.0,3,2019-08-16 09:00:00,https://www.itch.io/jam/trijam-32
Overall||Loyalty to the Rules of the Jam||Retroness||Fun||Playability||Originality,2019-01-26 00:00:00,Really Retro Jam #2,10,8.0,5,2019-01-04 00:00:00,https://www.itch.io/jam/really-retro-jam-2
Overall,2018-09-09 19:00:00,2018 Retro Jam {NES themed},10,0.0,3,2018-08-25 07:00:00,https://www.itch.io/jam/2018-nes-jam
Overall||Fun Factor - How much fun did you have playing this game?||Commercial Potential - Is this game capable of being a commercial product?||Needs More Work - Should the developer keep working on this game?,2019-01-30 04:00:00,Improvement Movement,10,0.0,3,2019-01-15 04:00:00,https://www.itch.io/jam/imjam
Overall,2019-08-19 03:59:59,Tap Twine Mobile Horror Jam! ($200 Prize!),10,0.0,4,2019-07-31 21:00:00,https://www.itch.io/jam/tap-twine-mobile-horror-jam
Overall||Art / Graphics||Gameplay||Fun||Innovation||Humor||Audio||Theme||Overall,2017-06-15 19:45:00,Concordia Makes Games,10,0.0,7,2017-05-19 18:11:02,https://www.itch.io/jam/concordia-makes-games
Overall Quality||Art||Music||Design||Entertainment,2018-05-09 03:59:59,Desert Jam,10,5.0,2,2018-04-20 04:00:00,https://www.itch.io/jam/desert-jam
Overall||Design||Code||Features||Context,2017-10-10 22:00:00,DRY Jam,10,6.0,2,2017-10-04 08:00:00,https://www.itch.io/jam/dryjam
Overall||Interpretación de la temática||Ambientación||Jugabilidad y diversión||Ejecución,2017-11-02 00:00:00,Maratón Maker,10,14.0,4,2017-10-28 00:00:00,https://www.itch.io/jam/maraton-maker
Quality of the game||Optimization||Graphics||Model Design,2017-09-04 21:00:00,AnyGameGameJam,10,0.0,1,2017-08-31 21:00:00,https://www.itch.io/jam/anygamegamejam
Overall||Gameplay||Graphics,2017-10-01 22:00:00,50 Shades of Gray JAM,10,4.0,2,2017-09-13 22:00:00,https://www.itch.io/jam/50-shades-of-gray-jam
Overall||Respect du thème||Graphismes||Musique/sons||Fun||Ambience générale,2015-11-17 07:24:38,Construct French Game Jam 3,10,110.0,9,2015-11-13 20:00:00,https://www.itch.io/jam/construct-french-game-jam-3
Overall Enjoyment||Use Of Theme||Creativity||Visuals||Gameplay Enjoyment||Audio,2019-07-22 03:59:59,Untitled Game Jam #4,10,1.0,1,2019-07-12 04:00:00,https://www.itch.io/jam/untitled-game-jam-4
Overall||Funess||Creativeness||Sticking to the themeness||Coolness,2018-03-07 22:00:25,/r/WebGames Jam 4!,10,65.0,7,2018-03-01 21:57:43,https://www.itch.io/jam/rwebgames-jam-4
Overall,2019-06-30 05:57:00,OC Tilted Game Jam 14,10,0.0,7,2019-06-29 17:02:00,https://www.itch.io/jam/oc-tilted-game-jam-14
Overall||Gameplay||Graphics||Innovation & Creativity||Controls & Usability||Overall Rating,2017-05-28 12:50:00,MAYhem Game Jam 2017,10,148.0,6,2017-05-26 16:00:00,https://www.itch.io/jam/mayhem-2017
Overall,2017-09-08 05:03:00,Optical Jam,10,0.0,3,2017-09-01 05:00:00,https://www.itch.io/jam/optical
Overall||Use of the theme||Fun & Gameplay||Graphics||Audio & Music||Original idea,2019-02-16 22:59:59,Delthor Game Jam,10,1.0,2,2019-02-09 22:59:59,https://www.itch.io/jam/delthor-game-jam
Overall||Overall||Theme||Fun||Visuals||Audio,2018-03-10 00:00:00,1-2-3kb,10,10.0,5,2018-03-06 00:00:00,https://www.itch.io/jam/1-2-3
Overall||Innovation||Fun||Graphics||Audio||DARKNESS - How well an entry suits the theme.||Humor,2017-10-22 19:25:00,1GAM Galway Jam,10,27.0,9,2017-10-21 08:00:00,https://www.itch.io/jam/1gam-galway-jam-october-2017
Overall||Does the game have only 16 colours or less?||Fun-ness!,2017-09-29 14:00:00,16 Colour Jam,10,19.0,5,2017-09-20 14:00:00,https://www.itch.io/jam/16-colour-jam
"Overall||Creative usage of color (art, gameplay mechanic, story, ect..)||Made in the span of the Game Jam (1 month)||Must be an original game||Game can be created individually or by a group of up to 4 members",2017-08-09 04:00:00,Color Game Jam,10,0.0,2,2017-07-09 04:00:00,https://www.itch.io/jam/color-game-jam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-22 09:00:00,Trijam #16 - the 3 hour game jam!,10,33.0,7,2019-04-19 09:00:00,https://www.itch.io/jam/trijam-16
Overall||Gameplay||Graphics||Audio||Theme||Innovation,2019-04-08 11:00:00,NotMoeJam #1 [Lost],10,11.0,5,2019-03-29 11:00:00,https://www.itch.io/jam/notmoejam-1
Overall||Boxification||Eargasmaticism||Ingenuiception||Blastasticalism||Artsifartsiness,2019-05-23 14:30:00,B▦XJAM,10,1.0,1,2019-05-16 14:30:00,https://www.itch.io/jam/boxjam
Overall||Fun Factor||Gameplay||Graphics||Sound/Music||NESness - how NES-like is this entry||Overall - your overall opinion of the entry,2015-11-01 03:59:00,Monkey X October 2015 NES Game Jam,10,42.0,7,2015-10-17 04:00:00,https://www.itch.io/jam/monkey-x-october-2015-nes-game-jam
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-16 21:30:00,Trijam #7 Do you dare to try?,10,22.0,5,2019-02-16 18:00:00,https://www.itch.io/jam/trijam-7
Idea||Fun||Story||Art||Music,2019-07-22 14:30:00,Mystery Man Game Jam,10,0.0,2,2019-07-15 14:30:00,https://www.itch.io/jam/mystery-man-game-jam
Overall||Theme||Artwork||Game Design||SFX & Music||Replayability,2018-04-23 04:00:00,Post Grind Jam #2,10,0.0,1,2018-04-20 22:00:00,https://www.itch.io/jam/post-grind-jam2
Overall,2018-09-29 21:00:00,/agdg/ Subverjam,10,0.0,3,2018-07-14 21:00:00,https://www.itch.io/jam/agdg-subverjam
Overall||Use of Theme||Innovation||Visuals||Sound||Gameplay||Juiciness,2015-12-06 11:00:00,#LincJam 24 Hour Game Jam,10,0.0,7,2015-12-05 11:00:00,https://www.itch.io/jam/lincjam-dec-2015
Overall||Criatividade e Jogabilidade||Pertinência||Qualidade,2015-12-20 18:00:00,OCUPA GAMEJAM,10,0.0,2,2015-12-12 00:00:00,https://www.itch.io/jam/ocupajam
Spoopiness||Gameplay Value||Graphics,2018-11-01 06:59:59,Spooky Jam 2018,10,1.0,3,2018-10-07 18:50:30,https://www.itch.io/jam/spookyjam2k18
Overall Score||Design/Game Feel||Fun||Art/Audio||Creativity,2018-12-10 17:00:00,Planet Arcade Jam,10,0.0,1,2018-12-01 07:00:00,https://www.itch.io/jam/planet-arcade-jam
Overall||Play experience||Innovation||Visuals||Sound||Theme association,2015-05-24 14:00:00,Arabic Game Jam 2015,10,1.0,10,2015-05-22 15:00:00,https://www.itch.io/jam/agj2015
Overall||Is the game football/world cup related?||Was it fun/interesting/entertaining?,2018-07-13 11:00:00,World Cup Jam 2018,10,0.0,2,2018-06-30 11:00:00,https://www.itch.io/jam/world-cup-jam-2018
Overall||Easy To Commentate Over||Funny||Original||Appealing,2017-03-31 11:00:00,YouTube Game comp.,11,3.0,3,2017-03-18 21:00:00,https://www.itch.io/jam/youtube-game-comp
Overall,2018-07-29 23:00:00,Arcane Assembly,11,0.0,1,2018-07-22 23:00:00,https://www.itch.io/jam/arcaneassembly
Overall,2019-08-25 18:30:00,Viking Jam,11,0.0,2,2019-06-28 07:00:00,https://www.itch.io/jam/viking-jam
Playability||Story||Menu||Overall,2017-12-16 00:00:00,BigJamGame I Start,11,8.0,4,2017-11-08 14:00:00,https://www.itch.io/jam/bigjamgame-i-start
FINAL RATING||THEME!||C O L O R F U L N E S S,2019-09-26 13:00:00,Weekly Rainbow Jam - Week 5,11,8.0,5,2019-09-20 13:00:00,https://www.itch.io/jam/weekly-rainbow-jam-week-5
"Overall||Theme match||Graphics||SFX and Music||Gameplay(mechanics, bugs, features)",2018-08-03 18:40:00,"48 Hour Jam №1: ""Heat""",11,29.0,7,2018-08-01 18:40:00,https://www.itch.io/jam/48-hour-jam-1
Overall||Innovation – The unexpected unique idea.||Fun – Did you enjoy playing the game?||Theme – Does the game suit the theme? Is it a creative one?||Graphics – The look of the game.||Audio – How did the game sound?||Mood – The atmosphere of the game.||Stability - Is the system stable?||Overall – Your overall opinion of the game.,2017-09-17 19:00:00,SPPRO Discord GameJam 2,11,14.0,3,2017-09-15 18:00:00,https://www.itch.io/jam/sppro-gamejam-2
Overall||Playability||Artistry||Conspiracy-y,2016-10-10 07:00:00,Conspiracy Jam,11,18.0,6,2016-09-12 07:00:00,https://www.itch.io/jam/conspiracy-jam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-06-24 09:00:00,Trijam #24 Do you dare to try?,11,10.0,5,2019-06-21 09:00:00,https://www.itch.io/jam/trijam-24
Overall,2013-09-23 05:36:30,Saltworld.net #SWJAM 2013,11,0.0,11,2013-09-15 05:36:30,https://www.itch.io/jam/saltw
Overall||Criatividade||Gameplay||Apresentação,2015-09-12 02:59:59,4 Botões (SuperGeeks),11,1.0,9,2015-09-05 20:00:00,https://www.itch.io/jam/4-botoes
Overall||Accurate Depiction of Real Farm Life||Sufficient Amount of Moving Action||Serious Hack'n'Slash Ingredients||Impressed by Technical Aspects||Did You Feel Something While Playing?,2016-09-13 22:00:00,Duality Tilemaps Jam,11,16.0,5,2016-08-11 22:00:00,https://www.itch.io/jam/duality-tilemaps-jam
Overall,2019-02-20 11:00:00,Dog GameJam,11,0.0,3,2019-02-13 15:00:00,https://www.itch.io/jam/dog-gamejam
Host Judgement||Enjoyment||Intuition||Effort,2019-07-24 08:00:00,Mattabulous' Weekly Jam,11,0.0,2,2019-07-18 08:00:00,https://www.itch.io/jam/mattabulous-weekly-jam
Overall,2017-01-02 22:59:59,Hangover Game Jam 2017,11,0.0,5,2016-12-31 23:00:01,https://www.itch.io/jam/hangover-game-jam-2017
Geral||Arte||Jogabilidade||Som||Tema,2018-11-11 01:55:00,UFSC Game Jam,11,19.0,5,2018-11-02 02:55:00,https://www.itch.io/jam/ufsc-game-jam
Overall||Gameplay||Graphics||Sound||Theme Interpretation||Originality,2019-08-16 03:59:59,Jammin 2019,11,0.0,3,2019-08-01 04:00:00,https://www.itch.io/jam/jammin-2019
"""memery"" of the game||games idea||it works...?||is the game dank enough!?||use of unique/good memes||dickbutt?",2017-08-26 21:00:00,Meme game jam!,11,18.0,6,2017-08-25 21:00:00,https://www.itch.io/jam/meme-game-jam
"Overall||Originalidad: Entre menos se parezca a cualquier viaje conocido mejor.||12 Trabajos: ¿Es un viaje para un hombre o para una partida de D&D?||Jaffar: ¿Tan complicado que los villanos requieren contratar héroes?||Mordor: ¿El viaje es ""imposible""?||Leyenda: ¿Este viaje te vale un estatus de leyenda?",2017-12-11 05:59:59,Praxis 1 El Reto (Segunda parte),11,56.0,8,2017-12-08 06:00:00,https://www.itch.io/jam/praxis-1-el-reto-segunda-parte-
Overall||Color choose||Gameplay||Music||Originality||Graphics,2014-09-30 18:56:36,2 colors jam,11,26.0,11,2014-08-07 18:56:27,https://www.itch.io/jam/2-colors-jam
Overall||Game||Use of the theme,2016-03-31 21:59:59,Godot Engine Jam 03/2016,11,117.0,11,2016-03-14 23:00:00,https://www.itch.io/jam/godotjam032016
Gesamtwertung||Innovation||Spielspaß||Umsetzung des Themas||Grafik||Sound||Humor||Atmosphäre,2018-10-01 09:12:00,MoinMoinJam,11,6.0,3,2018-10-01 08:38:00,https://www.itch.io/jam/moinmoinjam
Overall||Innovation||Fun||Theme||Graphics||Audio||Overall,2016-08-11 05:59:59,Into the Caves Game Jam,11,0.0,2,2016-08-03 06:00:00,https://www.itch.io/jam/into-
Overall||​Concept||Creativity||Interest||Visuals||Replayability,2018-04-04 02:00:00,Devs Lounge Indie Game Jam 2018,11,2.0,2,2018-04-01 02:00:00,https://www.itch.io/jam/devs-lounge-indie-game-jam-of-2018
Overall||How Creative the game is.||How Good it looks.||How fun it is.||How much effort.,2018-05-20 04:59:59,"""Do Whatever You Want"" Jam",11,0.0,3,2018-05-12 05:00:00,https://www.itch.io/jam/manalltheurlsaretaken
NoRankPlease||Gameplay||Graphics||Audio||Theme||Innovation,2019-08-24 11:00:00,NotMoeJam #8 - GLITCH,11,1.0,1,2019-08-09 11:00:00,https://www.itch.io/jam/notmoejam-8
Overall||Overall||Fun||Innovation||Theme||Aesthetics||Sound,2017-06-26 02:00:00,Peach June Jam,11,0.0,1,2017-06-24 01:00:00,https://www.itch.io/jam/peach-june-jam
Overall||Gameplay||Criatividade com o tema||Estilo visual||Áudio,2019-07-22 03:00:00,GAMMANET GameJam,11,15.0,3,2019-07-19 21:00:00,https://www.itch.io/jam/gammanet-gamejam
"General (Opinión general del juego desde todos los aspectos)||Tema (Que tan bien se implementó el tema)||Diversión (Que tan divertido es jugarlo, que tan fácil es jugarlo)||Arte (La estética y que tan bien se ve el juego)||Audio (Que tan bueno es el audio respecto al ambiente del juego)||Innovación (Algo diferente muy notable)",2018-11-25 19:55:00,Gamejam Uniandes 2018,11,283.0,9,2018-11-24 19:30:00,https://www.itch.io/jam/gamejam-uniandes-2018-2
THEME!||Colors||Gameplay||Music/Sounds||Art,2019-06-06 11:00:00,Weekly Rainbow Jam - Week 1,11,1.0,1,2019-05-31 07:00:00,https://www.itch.io/jam/weekly-rainbow-jam-1
Overall||Idea||Graphics||Gameplay||Theme||Sound,2014-11-23 16:00:00,MONSTER GAMEJAM,11,124.0,10,2014-11-22 08:00:00,https://www.itch.io/jam/monster-gamejam
Overall||Ninja Related||Fun||Art||Creativeness,2018-05-20 23:00:00,The Ninja Game Jam,11,1.0,1,2018-04-20 23:00:00,https://www.itch.io/jam/the-ninja-game-jam
Overall||Mechanic||Art||Sound||Depressive,2017-02-08 15:00:00,THE LAST HOPE JAM,11,0.0,1,2017-02-06 15:00:00,https://www.itch.io/jam/the-last-hope
