X.U.FEFF.game_accessibility,game_asset_license,game_ave_session,game_criteria,game_desc_len,game_developers,game_developers_url,game_genres,game_inputs,game_language,game_last_update,game_license,game_made_with,game_name,game_no_ratings,game_no_screenshots,game_platforms,game_price,game_publish_date,game_ranks,game_raw_scores,game_release_date,game_scores,game_size,game_source_code,game_status,game_submission_page,game_tags,game_url,jam_name,jam_url,reason
,,,Visual Experience||Overall||Audio Experience||Game Mechanics||Creativity,269,Ran d'Reille,https://ran-dreille.itch.io,Platformer,,,,,Unity,100 Missing Sheeps,15,1,HTML5,,,22||23||23||27||28,2.933||2.767||2.600||2.600||2.933,,2.933||2.767||2.600||2.600||2.933,,,On hold,https://itch.io/jam/weekly-game-jam-100/rate/436010,Pixel Art,https://ran-dreille.itch.io/100-missing-sheeps,Weekly Game Jam - Week 100,https://itch.io/jam/weekly-game-jam-100,None
,,About a half-hour,,1694,Aviv,https://avivbeeri.itch.io,Role Playing||Survival,Keyboard||Gamepad (any),English,,,PICO-8,Ghost: Root Access,NA,1,Windows||macOS||Linux,Name your own price,,,,,,ghost-root-access-windows.zip||902 kB||||Windows<>ghost-root-access-osx.zip||2 MB||||macOS<>ghost-root-access-linux.zip||507 kB||||Linux,,On hold,https://itch.io/jam/jamuary-2018/rate/217141,Cyberpunk||maze||Perma Death||PICO-8||Roguelike,https://avivbeeri.itch.io/ghost-root-access,JAMUARY! 2018,https://itch.io/jam/jamuary-2018,None
,,,Atmosphäre||Umsetzung des Themas||Gesamtwertung||Innovation||Gameplay||Grafik||Sound,281,Droni||AokiLee||FlaSh.G,https://droni.itch.io||https://aokilee.itch.io||https://flashg.itch.io,Visual Novel,,,,,,Detektiv Pudelwutz,10,1,Windows||Linux||Android,,,14||24||28||28||34||34||38,3.400||3.300||3.000||2.800||2.600||3.000||2.600,,3.400||3.300||3.000||2.800||2.600||3.000||2.600,Detektiv-Pudelwutz.apk||35 MB||||Android<>Detektiv-Pudelwutz-Windows.zip||25 MB||||Windows<>Detektiv-Pudelwutz-Linux.zip||30 MB||||Linux,,On hold,https://itch.io/jam/beansjam/rate/316193,Mystery,https://droni.itch.io/detektivpudelwutz,BeansJam Mobile,https://itch.io/jam/beansjam,None
,,,Graphics||Innovation||Fun||Game Design||Audio||Overall||Theme,81,Ninomocos,https://ninomocos.itch.io,,,,23 March 2019 @ 13:23,,,Such a good son,3,2,Windows,,22 February 2019 @ 22:18,236||262||272||276||279||290||303,3.333||3.000||2.667||2.667||2.000||2.667||2.333,,2.182||1.964||1.746||1.746||1.309||1.746||1.528,SuchAGoodSon.zip||15 MB||22 February 2019 @ 22:16||Windows,,On hold,https://itch.io/jam/brackeys-2/rate/374580,Stealth,https://ninomocos.itch.io/such-a-good-son,Brackeys Game Jam #2,https://itch.io/jam/brackeys-2,None
,,,,265,Jmation,https://jmation.itch.io,Puzzle,,,,,,Lost in the woods,NA,2,,Name your own price,,,,,,Lost_in_the_woods_weeklyjam.zip||2 MB||||,,On hold,https://itch.io/jam/weekly-game-jam-41/rate/250899,8-Bit||Dinosaurs||maze||weeklygamejam,https://jmation.itch.io/lost-in-the-woods,Weekly Game Jam - Week 41,https://itch.io/jam/weekly-game-jam-41,None
,,,,553,HamsterOh (Marius),https://hamsteroh.itch.io,Shooter,,,,,,SpaceWave,NA,1,Windows,,,,,,,SpaceWave.zip||43 MB||||Windows,,On hold,https://itch.io/jam/krassjam3/rate/231323,3D||Arcade||rps||Space||spacewave||tps||wave,https://hamsteroh.itch.io/spacewave,The Krass-N.G. Jam 3!,https://itch.io/jam/krassjam3,None
,,,Graphics||Gameplay||Creativity||Presentation,121,HolyGriefer,https://holygriefer.itch.io,Action,,,,,,UnderSorter,4,2,Windows,,,8||9||9||9,2.750||2.500||3.000||2.250,,2.008||1.826||2.191||1.643,UnderSorter.zip||1 MB||||Windows,,On hold,https://itch.io/jam/gutter-jam-3/rate/353800,,https://holygriefer.itch.io/undersorter,Gutter Jam 3,https://itch.io/jam/gutter-jam-3,None
,,About a half-hour,,738,JustKay,https://justkay.itch.io,,Mouse,English,,,Twine,Steven Seagull : Owl By Herself,NA,2,HTML5,,,,,,,,,On hold,https://itch.io/jam/anything-but-human-jam/rate/113972,buddy-cop||investigation||murder||steven-seagull||Twine,https://justkay.itch.io/steven-seagull-owl-by-herself,Anything but human-jam,https://itch.io/jam/anything-but-human-jam,None
,,,Game Feel (playability and control)||64x64 Authenticity (was it truly lowrez?)||Overall||Aesthetic (sound and visual)||Overall Enjoyment,646,BrazMogu,https://brazmogu.itch.io,Shooter,,,,,LÖVE,FLASH SHMUP,6,7,Windows||macOS||Linux,,,79||89||118||142||178,3.833||5.000||3.875||3.667||3.000,,3.549||4.629||3.588||3.395||2.777,FLASHMUP-0.5-win64.zip||6 MB||||Windows<>FLASHMUP-0.5-win32.zip||5 MB||||Windows<>FLASHMUP-0.5-macosx.zip||14 MB||||macOS<>FLASHMUP-0.5-linux.zip||3 MB||||Linux,,On hold,https://itch.io/jam/lowrezjam2016/rate/62745,LÖVE||LOWREZJAM||Shoot 'Em Up,https://brazmogu.itch.io/flash-shmup,#LOWREZJAM 2016,https://itch.io/jam/lowrezjam2016,None
,,A few minutes,,1205,Gamaturgie,https://gamaturgie.itch.io,Simulation,Mouse,French,12 April 2019 @ 19:15,,Construct,JEU DE MAIN... JEU DE VILAIN,NA,1,HTML5,,12 March 2017 @ 22:47,,,,,,,On hold,https://itch.io/jam/resistjam/rate/126885,Photorealistic||politic||resistjam||wtf,https://gamaturgie.itch.io/jeu-de-main-jeu-de-vilain,#ResistJam,https://itch.io/jam/resistjam,None
One button,Creative Commons Attribution_ShareAlike v4.0 International,A few minutes,Authenticity (Use of 64x64 limit)||Enjoyment||Graphics||Overall||Audio,1372,vimino,https://vimino.itch.io,Action,Mouse||Touchscreen,English,19 May 2019 @ 14:48,GNU General Public License v3.0 (GPL),GIMP||Phaser,"Star Juggler (LOWREZJAM, FFSJam)",11,4,HTML5,Name your own price,14 August 2017 @ 22:39,82||102||118||132||206,4.364||3.000||3.182||2.909||1.091,,4.364||3.000||3.182||2.909||1.091,Prototype (0.1.4) : LOWREZJAM'17||663 kB||||,https://gitlab.com/vimino/StarJuggler,On hold,https://itch.io/jam/lowrezjam2017/rate/167910,2D||My First Game Jam||Pixel Art||Shoot 'Em Up,https://vimino.itch.io/star-juggler,#LOWREZJAM 2017,https://itch.io/jam/lowrezjam2017,None
,,A few seconds,,339,ererbe,https://ererbe.itch.io,Puzzle,Keyboard,English,,,PuzzleScript,The Castle,NA,5,HTML5,,,,,,,The Castle(1.1).html||299 kB||||,,On hold,https://itch.io/jam/psj2/rate/134927,boxes||castle||crates||Ghosts||scary,https://ererbe.itch.io/the-castle,PuzzleScript Jam #2,https://itch.io/jam/psj2,None
,,,,1224,Furkan Karabudak,https://furkan-karabudak.itch.io,Puzzle,,,,,,Hold Inside Victoriously,NA,10,Windows,,04 June 2019 @ 01:51,,,,,HIV-V02.zip||2 MB||04 June 2019 @ 01:48||Windows,,On hold,https://itch.io/jam/extra-credits-game-jam-4/rate/432801,2D||GameMaker||Pixel Art,https://furkan-karabudak.itch.io/hold-inside-victoriously,Extra Credits Game Jam #4,https://itch.io/jam/extra-credits-game-jam-4,None
,,,Audio||Gameplay||Overall||Art||Presentation,148,eseal,https://eseal.itch.io,,,,,,,Knife Fight - Demo,10,1,HTML5,,,14||26||26||28||28,3.100||2.500||2.725||2.700||2.600,,3.100||2.500||2.725||2.700||2.600,,,On hold,https://itch.io/jam/mini-jam-30-gameboy/rate/438507,Walking simulator,https://eseal.itch.io/knife-fight-demo,Mini Jam 30 + GBStudio,https://itch.io/jam/mini-jam-30-gameboy,None
,,,,88,flykr,https://flykr.itch.io,Simulation,,,,,Unity,Robot Arena,NA,1,HTML5,,,,,,,,,On hold,https://itch.io/jam/optical-jam/rate/262246,arena||resource-management||Robots,https://flykr.itch.io/robot-arena,Optical Jam #5,https://itch.io/jam/optical-jam,None
,,,Visuals||Use of Theme||Story/Writing||Gameplay||Overall||Music/Sound Design,609,Daschinia,https://daschinia.itch.io,Platformer,,,,,,Get Hit Only Once,21,1,Windows,,,13||15||18||19||19||21,3.571||3.000||1.952||3.000||2.952||1.524,,3.450||2.898||1.886||2.898||2.852||1.472,Game Jam - Daschinia.exe||3 MB||||Windows,,On hold,https://itch.io/jam/touhou-jam-2/rate/279622,,https://daschinia.itch.io/get-hit-only-once,Touhou Fan Game Jam 2,https://itch.io/jam/touhou-jam-2,None
,,,Story||Graphics||Music||Sound Effects||Theme||Overall||Atmosphere||Technical||Mechanic,215,RelicToothStudios,https://relictooth-studios.itch.io,Action,,,,,,The END,6,4,Windows,Name your own price,,43||49||55||67||91||95||97||100||119,2.833||4.000||3.500||3.167||3.000||3.167||2.833||2.833||2.667,,2.313||3.266||2.858||2.586||2.449||2.586||2.313||2.313||2.177,JimJam2-Default-1.0.0.1.zip||9 MB||||Windows,,On hold,https://itch.io/jam/jimjam-2/rate/311332,,https://relictooth-studios.itch.io/the-end,JimJam #2,https://itch.io/jam/jimjam-2,None
,,About an hour,People's Choice Vote,433,RoCo Studio,https://studioroco.itch.io,Role Playing,Keyboard||Mouse,English,08 August 2019 @ 01:58,,,YULETIDE,8,3,Windows,Name your own price,30 November 2018 @ 07:09,99,2.875,,2.875,YULETIDE v0.3.1||382 MB||||Windows,,On hold,https://itch.io/jam/igmc2018/rate/337058,16-bit||2D||Christmas||Comedy||Funny||JRPG||Pixel Art||Retro||Story Rich||winter,https://studioroco.itch.io/yuletide,Indie Game Making Contest 2018,https://itch.io/jam/igmc2018,None
,,,,649,MLJWare,https://mljware.itch.io,Platformer,,,10 June 2017 @ 12:37,,,DoughNuts,NA,6,Windows||macOS||Linux,Name your own price,03 July 2016 @ 08:18,,,,,DoughNuts.jar||30 MB||||Windows||Linux||macOS,,On hold,https://itch.io/jam/a-game-by-its-cover-2016/rate/74255,2D||jumping||NES||Retro,https://mljware.itch.io/doughnut,A Game By Its Cover 2016,https://itch.io/jam/a-game-by-its-cover-2016,None
,,,,808,Sey Atkinson,https://seyatkinson.itch.io,Platformer,,,,,,Mystic Mayas,NA,2,,,,,,,,Mystic Mayas.zip||23 MB||||,,On hold,https://itch.io/jam/sae-brisbane-games-studio-1-18t1-wherefore-art-thou/rate/228321,2D||artgame||Gothic||Shoot 'Em Up||Side Scroller,https://seyatkinson.itch.io/mystic-mayas,SAE Brisbane Games - Studio 1 - 18T1 - Wherefore Art Thou?,https://itch.io/jam/sae-brisbane-games-studio-1-18t1-wherefore-art-thou,None
,,A few minutes,,181,AshenStar,https://ashenstar.itch.io,Role Playing,Keyboard,,,,,Kalar's Proud Ghost,NA,1,Windows,,,,,,,KalarsProudGhost_0-1.zip||86 MB||||Windows,,On hold,https://itch.io/jam/rpg-maker-game-jam/rate/34239,,https://ashenstar.itch.io/kalars-proud-ghost,RPG Maker Game Jam,https://itch.io/jam/rpg-maker-game-jam,None
,,,,532,NN Chan,https://nnchan.itch.io,Visual Novel,,,05 June 2018 @ 05:00,,Ren'Py,Cloud Mage,NA,4,Windows||macOS||Linux,Name your own price,17 January 2016 @ 05:32,,,,,CloudMage-1.2-win.zip||30 MB||||Windows<>CloudMage-1.2-mac.zip||29 MB||||macOS<>CloudMage-1.2-linux.tar.bz2||33 MB||||Linux,,On hold,https://itch.io/jam/my-first-game-jam/rate/51065,renpy,https://nnchan.itch.io/cloud-mage,My First Game Jam,https://itch.io/jam/my-first-game-jam,None
Textless,,A few minutes,,302,Haharo,https://haharo.itch.io,Platformer,Keyboard,English,,,GameMaker: Studio,SHTCTT! She has to close the tap,NA,1,Windows||HTML5,Name your own price,,,,,,shct_whgj_version.zip||2 MB||||Windows<>sgttt.zip||307 kB||||,,On hold,https://itch.io/jam/weekly-hour-game-jam---w5-2017/rate/115855,2D||8-Bit||Anime||Arcade||Cute||platform,https://haharo.itch.io/she-has-to-close-the-tap,Weekly Hour Game Jam - W5 2017,https://itch.io/jam/weekly-hour-game-jam---w5-2017,None
,,A few minutes,Graphics||Overall||Audio||Enjoyment||Authenticity (Use of 64x64 limit),2753,Callum John,https://itsseajay.itch.io,Puzzle,Keyboard||Mouse,,30 July 2019 @ 13:44,,,Soluna's Secret,19,7,Windows||macOS||Linux,,14 August 2017 @ 18:01,15||37||38||66||105,4.474||3.947||3.789||3.368||4.158,,4.474||3.947||3.789||3.368||4.158,Soluna's Secret (Jam Version) x86 32 Bit Windows||17 MB||16 August 2017 @ 18:13||Windows<>Soluna's Secret (Jam Version) x86 64 Bit Windows||18 MB||16 August 2017 @ 18:14||Windows<>Soluna's Secret (Jam Version) WebGL HTML5||10 MB||17 August 2017 @ 12:23||Windows||Linux||macOS,,On hold,https://itch.io/jam/lowrezjam2017/rate/167877,Atmospheric||Dark||First-Person||lowresjam2017,https://itsseajay.itch.io/solunas-secret,#LOWREZJAM 2017,https://itch.io/jam/lowrezjam2017,None
,,A few minutes,,508,Ishina Nale,https://pixelsquare.itch.io,Sports,,,,,,Pixel Footy Champs,NA,7,Windows,Name your own price,,,,,,PixelFootyChamps.exe||6 MB||||Windows,,On hold,https://itch.io/jam/fuck-capitalism-jam/rate/22367,Arcade||champion||Football||Local multiplayer||pixel||simple||Soccer||square,https://pixelsquare.itch.io/pixel-footy-champs,FUCK CAPITALISM JAM,https://itch.io/jam/fuck-capitalism-jam,None
,,A few seconds,,409,grouter,https://grouter.itch.io,Shooter,Keyboard,English,,,,Neonator,NA,3,Windows||Linux,,,,,,,Windows64||25 MB||||Windows<>Linux (post-jam)||42 MB||||Linux<>Windows64 (post-jam)||23 MB||||Windows,,On hold,https://itch.io/jam/bratislava-game-jam-2017/rate/195512,80s||arena||Retro||Shoot 'Em Up,https://grouter.itch.io/neonator,Bratislava Game Jam 2017,https://itch.io/jam/bratislava-game-jam-2017,None
,,,Gameplay||Overall||Adequação ao tema||Polimento||Estética,0,Valter Luiz,https://valtergd.itch.io,,,,,,,Princess Morning,3,1,Windows,Name your own price,,2||4||4||5||5,3.000||3.083||3.667||2.333||3.333,,3.000||3.083||3.667||2.333||3.333,Win.zip||15 MB||||Windows,,On hold,https://itch.io/jam/ifrjam/rate/301750,,https://valtergd.itch.io/princess-morning,IFRJ Game Jam,https://itch.io/jam/ifrjam,None
