jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english
,2019-02-17 22:00:00,Jam Nation,2.04 - JamNATION - Game Jam Montréal joue,10,0,5,2019-02-15 23:00:00,https://www.itch.io/jam/204-jamnation-montrealjoue,u
,2019-02-25 22:00:00,OnionMilk,Garlic Jam,10,0,9,2019-02-22 18:00:00,https://www.itch.io/jam/garlic-jam,u
Overall||Overall||Theme/Modifiers||Graphics/Artstyle||Audio/Music||Innovation||Fun,2015-03-29 15:00:00,OxyOxspring,"The National Videogame Arcade ""JumpJam""",10,10,7,2015-03-28 10:30:00,https://www.itch.io/jam/jumpjam,y
Overall||Innovation||Fun||Graphics||Audio||DARKNESS - How well an entry suits the theme.||Humor,2017-10-22 19:25:00,1GAMGalway,1GAM Galway Jam,10,27,9,2017-10-21 08:00:00,https://www.itch.io/jam/1gam-galway-jam-october-2017,y
Overall||Gameplay||Graphics||Innovation & Creativity||Controls & Usability||Overall Rating,2017-05-28 12:50:00,chillex||pax||Fylmidei,MAYhem Game Jam 2017,10,148,6,2017-05-26 16:00:00,https://www.itch.io/jam/mayhem-2017,y
Overall||Dopeness||Trippyness||Funness||Core Design,2016-01-25 06:59:59,Shmackson,Do Drugs Jam,10,0,1,2016-01-22 07:00:00,https://www.itch.io/jam/do-drugs-jam,y
,2018-06-29 09:04:05,"It's ya boi, Makara.",Wild Jam,10,0,5,2018-06-15 09:11:06,https://www.itch.io/jam/wild-jam-,u
,2018-12-18 17:00:00,bilgigame,GameJamBS.01,10,0,5,2018-12-15 06:00:00,https://www.itch.io/jam/gamejambs01,u
Not similar to what you've uploaded before,2018-03-31 06:00:00,owocean,Experiment Jam,10,1,1,2018-03-13 00:26:30,https://www.itch.io/jam/experimentjam,y
Spoopiness||Gameplay Value||Graphics,2018-11-01 06:59:59,iTheRedi,Spooky Jam 2018,10,1,3,2018-10-07 18:50:30,https://www.itch.io/jam/spookyjam2k18,y
,2018-03-01 08:00:00,Madison Scott-Clary,FIFJam,10,0,3,2018-02-01 08:00:00,https://www.itch.io/jam/fifjam,u
,2019-06-07 16:00:00,Jack Burleigh,Alpha and Omega,10,0,8,2019-06-07 09:00:00,https://www.itch.io/jam/alpha-and-omega,u
,2019-07-28 22:00:00,Goethe-Institut Johannesburg GameBox,Games and Politics Train Jam,10,0,6,2019-07-07 22:00:00,https://www.itch.io/jam/games-and-politics-train-jam,u
,2019-08-12 12:00:00,Line Of Life games||Direct Games,Summer Game Jam,10,0,1,2019-08-03 10:00:00,https://www.itch.io/jam/summer-game-jam,u
,2018-06-04 02:00:00,Turtle95,Shovel Jam,10,0,1,2018-06-02 00:00:00,https://www.itch.io/jam/shovel-jam,u
,2018-09-23 21:00:00,Galway Game Jam||Darren K,Galway Game Jam 11,10,0,6,2018-09-22 08:00:00,https://www.itch.io/jam/galway-game-jam-11,u
Overall||Use of Theme||Innovation||Visuals||Sound||Gameplay||Juiciness,2015-12-06 11:00:00,OxyOxspring,#LincJam 24 Hour Game Jam,10,0,7,2015-12-05 11:00:00,https://www.itch.io/jam/lincjam-dec-2015,y
,2016-10-16 22:00:00,Voxel Collective,Voxelles Spooky Game Jam,10,0,6,2016-10-16 16:00:00,https://www.itch.io/jam/voxelles-spooky-game-jam,u
,2018-11-21 19:29:00,Isuru Edirisinghe,Uva Jam,10,0,9,2018-11-09 17:30:00,https://www.itch.io/jam/uva-jam,u
,2018-11-15 05:00:00,mrchickenthebest,The Noodle jam,10,0,4,2018-11-12 05:00:00,https://www.itch.io/jam/the-noodle-jam10,u
,2018-07-13 00:00:00,Minh Thanh(wimpycat)||Just_Damian,DDLC Inspired Jam 2018,10,0,1,2018-06-08 00:00:00,https://www.itch.io/jam/ddlc-inspired-jam-2018,u
Fun,2016-02-29 02:00:00,Collin Johnson,BoringTrousers Game Jam,10,5,5,2016-02-27 02:00:00,https://www.itch.io/jam/boringtrousers,y
Overall,2018-09-29 21:00:00,Linnu,/agdg/ Subverjam,10,0,3,2018-07-14 21:00:00,https://www.itch.io/jam/agdg-subverjam,y
,2014-11-03 23:00:00,Sos||_discovery,7HFPS,10,0,10,2014-10-30 23:00:00,https://www.itch.io/jam/7hfps,u
,2018-10-22 23:30:00,worzalla||Rosequartzklein,Game Design and Development UW-Madison Game Jam,10,0,4,2018-10-15 23:30:00,https://www.itch.io/jam/gddjam,u
,2018-12-17 04:59:59,Thedrdevin||LexLoco,Even Weekend Game Jam  3,10,0,2,2018-12-14 05:00:00,https://www.itch.io/jam/even-weekend-game-jam-3,u
Overall||Is the game football/world cup related?||Was it fun/interesting/entertaining?,2018-07-13 11:00:00,kieranmc,World Cup Jam 2018,10,0,2,2018-06-30 11:00:00,https://www.itch.io/jam/world-cup-jam-2018,y
,2017-09-29 22:00:00,henriette,Tromsø Game Jam,10,0,6,2017-09-08 15:00:00,https://www.itch.io/jam/tromso-game-jam,u
,2016-10-24 00:00:00,Zachary Danz,First Annual UVA Game Jam,10,0,1,2016-10-22 00:00:00,https://www.itch.io/jam/uva-game-jam1,u
Overall||Play experience||Innovation||Visuals||Sound||Theme association,2015-05-24 14:00:00,Jaffar Salih||Samanta Miszkiel||evnh,Arabic Game Jam 2015,10,1,10,2015-05-22 15:00:00,https://www.itch.io/jam/agj2015,y
Overall,2017-10-20 02:00:00,piolhodecobra,Queermuseu Game Jam,10,0,0,2017-10-06 03:00:00,https://www.itch.io/jam/queermuseu-game-jam,y
,2019-10-21 06:00:00,Waltzing.3DataX,Waltzing Game Jam 2,10,0,4,2019-10-11 06:00:00,https://www.itch.io/jam/waltzing-game-jam-2,u
Overall||Usefulness||Reliablity||Structure||Optimization||Creativeness||Overall,2019-08-17 16:00:00,GeneralJMan||a_personlol,ByteHub Code Jam,10,0,1,2019-08-01 16:00:00,https://www.itch.io/jam/bytehub-code-jam,y
,2017-04-23 15:30:00,Paier,Frogbyte Game Jam,10,0,5,2017-04-21 14:00:00,https://www.itch.io/jam/frogbyte-game-jam,u
Overall||Gameplay||Graphics||Audio||Theme||Innovation,2019-04-08 11:00:00,{Pascal},NotMoeJam #1 [Lost],10,11,5,2019-03-29 11:00:00,https://www.itch.io/jam/notmoejam-1,y
Overall||Ammount Of Care||Creativity||Fun,2018-06-04 23:00:00,Cluck,Car Jam,10,0,5,2018-05-04 23:00:00,https://www.itch.io/jam/cars-jam,y
,2017-09-17 19:03:00,PhillyGameMechanics,Philly Game Jam 2017,10,0,9,2017-09-16 18:00:00,https://www.itch.io/jam/philly-game-jam-2017,u
,2019-07-16 03:59:59,Red Iron Games,Impromptu Game Jam #2,10,0,2,2019-07-12 23:00:00,https://www.itch.io/jam/impromptu-game-jam-2,u
,2018-11-01 04:10:00,Vidsneezes||foobraco||alhvi,GDGT - All Hallows Challenge NEXT,10,0,6,2018-10-01 06:00:00,https://www.itch.io/jam/gdgt-all-hallows-challenge-next,u
Overall||Does the game have only 16 colours or less?||Fun-ness!,2017-09-29 14:00:00,Brastin,16 Colour Jam,10,19,5,2017-09-20 14:00:00,https://www.itch.io/jam/16-colour-jam,y
Overall||Gameplay||Graphics,2017-10-01 22:00:00,kreibich,50 Shades of Gray JAM,10,4,2,2017-09-13 22:00:00,https://www.itch.io/jam/50-shades-of-gray-jam,y
,2017-02-28 08:00:00,Candy✩Giants,No-Brainer IF Jam #2,10,0,1,2016-12-06 01:03:20,https://www.itch.io/jam/nbifjam2016,u
Overall||Boxification||Eargasmaticism||Ingenuiception||Blastasticalism||Artsifartsiness,2019-05-23 14:30:00,mbg180,B▦XJAM,10,1,1,2019-05-16 14:30:00,https://www.itch.io/jam/boxjam,y
,2018-11-08 01:00:00,Game Dev McGill,Game Jam Monthly - October 2018,10,0,9,2018-10-03 04:00:00,https://www.itch.io/jam/game-jam-monthly-october-2018,u
Overall||Fun Factor - How much fun did you have playing this game?||Commercial Potential - Is this game capable of being a commercial product?||Needs More Work - Should the developer keep working on this game?,2019-01-30 04:00:00,Nicoli,Improvement Movement,10,0,3,2019-01-15 04:00:00,https://www.itch.io/jam/imjam,y
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-16 21:30:00,rocknightstudios,Trijam #7 Do you dare to try?,10,22,5,2019-02-16 18:00:00,https://www.itch.io/jam/trijam-7,y
Overall||Overall||Theme||Fun||Visuals||Audio,2018-03-10 00:00:00,Centuria game dev,1-2-3kb,10,10,5,2018-03-06 00:00:00,https://www.itch.io/jam/1-2-3,y
,2019-05-01 05:00:00,greg klein,You're Beautiful Just The Way You Are,10,0,1,2019-04-26 06:00:00,https://www.itch.io/jam/the-no-you-are-beautiful-jam,u
,2015-05-02 04:00:00,Angrybird545,AngryGamer21 Game Jam For All,10,0,14,2015-04-02 04:00:00,https://www.itch.io/jam/angrygamer21-game-jam-april-may-2015,u
,2018-09-03 04:00:00,jimmunroe,Texture Writer Game Jam,10,0,1,2018-08-27 04:00:00,https://www.itch.io/jam/texture-writer-game-jam,u
Overall Score||Design/Game Feel||Fun||Art/Audio||Creativity,2018-12-10 17:00:00,TheGreatWhiteBeaver,Planet Arcade Jam,10,0,1,2018-12-01 07:00:00,https://www.itch.io/jam/planet-arcade-jam,y
Overall||Geral||Inovação||Arte||Audio||Mecânica||Narrativa,2017-01-30 01:59:00,Lunate,InterFerias GameJam,10,0,1,2017-01-28 01:59:00,https://www.itch.io/jam/interferias-gamejam,n
,2018-09-24 00:30:00,CAGD,4th Annual Chico Jam,10,0,4,2018-09-22 00:04:12,https://www.itch.io/jam/4th-annual-chico-jam,u
,2018-06-24 22:00:00,fabiano_smile||Jogos Digitais Vasco Coutinho,CEET GAME JAM 2018/1,10,0,8,2018-06-15 03:00:00,https://www.itch.io/jam/ceetv-game-jam-20181,u
,2019-01-01 00:00:00,Jofers Games,AGDGS Finish a game this year jam,10,0,2,2018-12-09 00:00:00,https://www.itch.io/jam/agdgs-finish-a-game-this-year-jam,u
,2016-05-30 22:00:00,howilearnedcode,Scratch Day Game Jam !!,10,0,1,2016-05-13 22:00:00,https://www.itch.io/jam/scratch-day-game-jam,u
Overall||Funess||Creativeness||Sticking to the themeness||Coolness,2018-03-07 22:00:25,Marmaladenation,/r/WebGames Jam 4!,10,65,7,2018-03-01 21:57:43,https://www.itch.io/jam/rwebgames-jam-4,y
,2017-03-03 04:59:59,Robot Face,Procrastination Jam,10,0,4,2017-02-16 05:00:00,https://www.itch.io/jam/procrastinationjam2017,u
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-04-22 09:00:00,rocknightstudios,Trijam #16 - the 3 hour game jam!,10,33,7,2019-04-19 09:00:00,https://www.itch.io/jam/trijam-16,y
Originalidad,2017-11-03 05:59:59,@Dottora AstroROLoga,Ceremonial: La Quinta mano del Tarot.,10,90,10,2017-10-31 06:00:00,https://www.itch.io/jam/ceremonial-la-quinta-mano-del-tarot,n
Overall,2017-09-08 05:03:00,tdelarosa723,Optical Jam,10,0,3,2017-09-01 05:00:00,https://www.itch.io/jam/optical,y
Overall,2019-08-19 03:59:59,TapStudios||TDMcGee,Tap Twine Mobile Horror Jam! ($200 Prize!),10,0,4,2019-07-31 21:00:00,https://www.itch.io/jam/tap-twine-mobile-horror-jam,y
Overall,2018-08-13 04:59:59,CCDJuegos||Carlos lopez (Simurg)||marlizeth,960 x 144 in Stop Motion,10,0,5,2018-07-01 05:00:00,https://www.itch.io/jam/960-x-144-in-stop-motion,y
Quality of the game||Optimization||Graphics||Model Design,2017-09-04 21:00:00,HK1,AnyGameGameJam,10,0,1,2017-08-31 21:00:00,https://www.itch.io/jam/anygamegamejam,y
Overall,2018-09-09 19:00:00,youreverydayBoi,2018 Retro Jam {NES themed},10,0,3,2018-08-25 07:00:00,https://www.itch.io/jam/2018-nes-jam,y
,2016-02-21 22:59:59,cptKocmoc||mrmmatricks||indeterminatus,Austria Game Jam 2016,10,0,10,2016-02-19 23:13:37,https://www.itch.io/jam/agj16,u
,2019-04-01 02:59:00,baioc,UFSC Game Jam 2,10,0,4,2019-03-22 22:00:00,https://www.itch.io/jam/ufsc-game-jam-2,u
,2017-02-24 06:00:00,WideOpenGames,The START Jam,10,0,4,2017-01-24 06:00:00,https://www.itch.io/jam/the-start-jam,u
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-08-19 09:00:00,rocknightstudios||Yagich,Trijam #32: Do you dare to try?,10,8,3,2019-08-16 09:00:00,https://www.itch.io/jam/trijam-32,y
Overall||Use of the theme||Fun & Gameplay||Graphics||Audio & Music||Original idea,2019-02-16 22:59:59,Delthor Games,Delthor Game Jam,10,1,2,2019-02-09 22:59:59,https://www.itch.io/jam/delthor-game-jam,y
,2019-09-30 04:00:00,Orion Studios,Infinite Studio Jam 2019-1,10,1,2,2019-08-06 04:00:00,https://www.itch.io/jam/infinite-studio-2019-1,u
Overall,2019-06-30 05:57:00,Jajav33,OC Tilted Game Jam 14,10,0,7,2019-06-29 17:02:00,https://www.itch.io/jam/oc-tilted-game-jam-14,y
,2019-01-01 05:59:59,Astucia,Patada de ahogado 2018,10,0,4,2018-12-25 06:00:00,https://www.itch.io/jam/patada-de-ahogado-2018,u
Overall Quality||Art||Music||Design||Entertainment,2018-05-09 03:59:59,Turnovus,Desert Jam,10,5,2,2018-04-20 04:00:00,https://www.itch.io/jam/desert-jam,y
,2019-09-01 11:00:00,Tomakisz,MGA game jam 2019 Katowice,10,0,8,2019-09-01 03:00:00,https://www.itch.io/jam/mga-game-jam-2019-katowice,u
,2017-10-06 22:00:00,himmelattack,Amnesty Jam,10,0,8,2017-09-30 22:00:00,https://www.itch.io/jam/amnesty-jam,u
Fun||Design,2019-07-07 18:00:00,GameDevMotivation,GameDevMotivation jam #1,10,0,1,2019-07-03 18:00:00,https://www.itch.io/jam/gamedevmotivation-jam-1,y
,2017-07-17 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W28 2017,10,0,1,2017-07-10 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam-w28-2017,u
Overall||Loyalty to the Rules of the Jam||Retroness||Fun||Playability||Originality,2019-01-26 00:00:00,andrelisboa1,Really Retro Jam #2,10,8,5,2019-01-04 00:00:00,https://www.itch.io/jam/really-retro-jam-2,y
,2018-09-17 15:16:16,Daniel Savage,call sqrt sixteen times per frame jam,10,0,1,2018-09-16 23:00:00,https://www.itch.io/jam/16-sqrt-calls-per-frame-jam,u
Overall||Interpretación de la temática||Ambientación||Jugabilidad y diversión||Ejecución,2017-11-02 00:00:00,muramasa,Maratón Maker,10,14,4,2017-10-28 00:00:00,https://www.itch.io/jam/maraton-maker,n
,2018-12-16 01:20:00,Pumpkin Clowning,Saturday Jam Live V: Scratch,10,0,8,2018-12-15 22:00:00,https://www.itch.io/jam/saturday-jam-live-v-scratch,u
Colors||Gameplay||THEME!||Art,2019-06-13 11:00:00,TheMadPigster,Weekly Rainbow Jam - Week 2,10,4,2,2019-06-07 11:00:00,https://www.itch.io/jam/weekly-rainbow-jam-2,y
Overall||Theme||Artwork||Game Design||SFX & Music||Replayability,2018-04-23 04:00:00,LostPenguin||Post Grind Jam,Post Grind Jam #2,10,0,1,2018-04-20 22:00:00,https://www.itch.io/jam/post-grind-jam2,y
"Overall||Creative usage of color (art, gameplay mechanic, story, ect..)||Made in the span of the Game Jam (1 month)||Must be an original game||Game can be created individually or by a group of up to 4 members",2017-08-09 04:00:00,Wheaton High School VMC,Color Game Jam,10,0,2,2017-07-09 04:00:00,https://www.itch.io/jam/color-game-jam,y
,2019-07-04 04:05:01,JDPhoenixProductions,Prototype Jam,10,0,2,2019-07-03 04:05:00,https://www.itch.io/jam/the-prototype-jam,u
Overall||Gameplay||Game Design||Graphisms||Sound and Music||Memes,2017-05-15 22:00:00,nordicFrench,KC Mini Game Jam #02,10,0,2,2017-04-30 22:00:00,https://www.itch.io/jam/kc-mini-game-jam-02,y
,2017-12-10 21:00:00,Finnish Game Jam,Quantum Game Jam 2017,11,0,6,2017-12-07 22:00:00,https://www.itch.io/jam/quantum-game-jam-2017,u
,2019-08-07 06:59:59,Gedig,r/roguelikedev Summer Tutorial Jam,11,0,2,2019-06-18 07:00:00,https://www.itch.io/jam/roguelike,u
Overall||Design||Code||Features||Context,2017-10-10 22:00:00,Armaldio,DRY Jam,10,6,2,2017-10-04 08:00:00,https://www.itch.io/jam/dryjam,y
,2015-12-20 18:00:00,Edgar J.,Jam Like You Mean It!,11,0,6,2015-12-13 18:00:00,https://www.itch.io/jam/meaning,u
Offensive Game||Theme||Art||Mechanics||Addictive||Funny||Sh*t game :(||Music,2018-09-15 21:59:59,AlexKuenKa,BLACK HUMOR JAM,10,0,3,2018-09-11 15:25:00,https://www.itch.io/jam/black-jam,y
Gameplay||Originality||Polish||Theme,2018-12-19 02:00:00,AIE Seattle||terrehbyte,AIE's Battle for Train Jam 2018,10,0,6,2018-12-18 17:15:00,https://www.itch.io/jam/bftj2018,y
Overall||Gameplay||Graphics||Audio||Theme||Innovation,2019-04-22 11:00:00,{Pascal},NotMoeJam #2 - ___ for the ___ god!​,11,5,4,2019-04-12 11:00:00,https://www.itch.io/jam/notmoejam-2,y
Overall||Gameplay||Graphics||Sound||Theme Interpretation||Originality,2019-08-16 03:59:59,Marcus Sanatan,Jammin 2019,11,0,3,2019-08-01 04:00:00,https://www.itch.io/jam/jammin-2019,y
Content||Creativity||Theme||Accessibility||Engagement,2017-09-17 23:00:00,pickeringpubliclibrary,PPL Game Jam 2017,11,0,7,2017-09-16 14:00:00,https://www.itch.io/jam/pplgamejam,y
Overall||Innovation||Fun||Theme||Graphics||Audio||Overall,2016-08-11 05:59:59,RanKOne,Into the Caves Game Jam,11,0,2,2016-08-03 06:00:00,https://www.itch.io/jam/into-,y
"General (Opinión general del juego desde todos los aspectos)||Tema (Que tan bien se implementó el tema)||Diversión (Que tan divertido es jugarlo, que tan fácil es jugarlo)||Arte (La estética y que tan bien se ve el juego)||Audio (Que tan bueno es el audio respecto al ambiente del juego)||Innovación (Algo diferente muy notable)",2018-11-25 19:55:00,Omar Leonardo Pino Reyes,Gamejam Uniandes 2018,11,283,9,2018-11-24 19:30:00,https://www.itch.io/jam/gamejam-uniandes-2018-2,n
Overall||Color choose||Gameplay||Music||Originality||Graphics,2014-09-30 18:56:36,brainy,2 colors jam,11,26,11,2014-08-07 18:56:27,https://www.itch.io/jam/2-colors-jam,y
NoRankPlease||Gameplay||Graphics||Audio||Theme||Innovation,2019-08-24 11:00:00,{Pascal},NotMoeJam #8 - GLITCH,11,1,1,2019-08-09 11:00:00,https://www.itch.io/jam/notmoejam-8,y
,2019-10-19 02:00:00,Thoughtquake,TQ Game Jam 1,11,0,4,2019-10-12 02:00:00,https://www.itch.io/jam/tq-game-jam,u
,2018-07-01 04:00:00,Melty Donut,Melty Donut's Zine Jam #1 [MIXTAPE],11,0,3,2018-06-01 04:00:00,https://www.itch.io/jam/melty-donut-zine-jam,u
Overall||Tema||Jugabilidad||Gráficos||Audio||Controles,2018-12-31 19:00:00,Damv||Jorgeliut,Nica Jam #1,11,11,4,2018-12-01 19:00:00,https://www.itch.io/jam/nica-jam-1,n
Overall||Fun (game feel)||Polish||Creativity||Art||Audio,2018-04-01 18:00:00,89o,NNNIKKI Jam 2,11,0,3,2018-03-30 18:00:00,https://www.itch.io/jam/nnnikki-jam-2,y
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does it fit the theme?,2019-06-24 09:00:00,rocknightstudios,Trijam #24 Do you dare to try?,11,10,5,2019-06-21 09:00:00,https://www.itch.io/jam/trijam-24,y
Overall||Theme||Fun||Graphics||Audio,2018-11-19 07:00:00,Waltzing.3DataX,Waltzing Game Jam,11,0,3,2018-11-09 07:00:00,https://www.itch.io/jam/waltzing-game-jam,y
,2018-10-13 17:00:00,tdelarosa723,Optical Jam #8,11,0,2,2018-10-06 14:00:00,https://www.itch.io/jam/optical-jam-8,u
,2016-04-03 06:59:59,Matthew R.F. Balousek,Slug Jam #3: Spring 2016,11,0,2,2016-04-02 17:00:00,https://www.itch.io/jam/slugjam3,u
Overall||Theme||visuals||sound||originality,2018-10-12 22:00:00,MiniAlfa,2D pixelart,11,2,1,2018-10-07 22:00:00,https://www.itch.io/jam/2d-pixelart,y
,2017-04-30 20:00:00,ZumbiGordo||MatheusCunegato,3ª Game Jam Santa Maria,11,0,4,2017-04-21 18:00:00,https://www.itch.io/jam/3gjsm,u
,2019-02-27 06:00:00,πthon,WWUJAM XI,11,0,9,2019-02-23 18:00:00,https://www.itch.io/jam/wwujam-xi,u
,2016-11-06 18:00:00,Pulse College,VirginiaJam @ Pulse College,11,0,2,2016-11-04 00:00:00,https://www.itch.io/jam/virginia-jam,u
Overall||Craziness||Graphics/Visuals||Game Innovation||Fun||Audio,2018-03-19 18:45:00,Shree56,Life Game Jam 2018,11,2,2,2018-03-15 18:45:00,https://www.itch.io/jam/life-jam-2018,y
Overall||Criatividade||Gameplay||Apresentação,2015-09-12 02:59:59,DevsSupergeeksVM,4 Botões (SuperGeeks),11,1,9,2015-09-05 20:00:00,https://www.itch.io/jam/4-botoes,n
,2019-06-30 00:00:00,Bigbass||tecksup,LibGDX Jam #8,11,0,3,2019-06-23 00:00:00,https://www.itch.io/jam/libgdx-jam-8,u
,2017-12-18 04:59:00,riotaortiz||timrodz,Panama Game Jam 2017,11,0,8,2017-12-15 22:00:00,https://www.itch.io/jam/pgjam2017,u
Overall||Inventiveness||Functionality||Fun,2018-10-26 23:00:00,Jelly Trip Games,Jelly Jam,11,19,3,2018-10-19 23:00:00,https://www.itch.io/jam/jelly-jam,y
,2018-05-15 04:00:00,Dan Cox,(En)Twine'd Game Jam,11,0,5,2018-05-12 04:00:00,https://www.itch.io/jam/entwined-game-jam,u
Fun||Theme||Mood||Audio||Overall,2019-08-11 04:00:00,Olstar,TFS Game Jam,11,43,4,2019-08-08 15:00:00,https://www.itch.io/jam/tfs-game-jam,y
Playability||Story||Menu||Overall,2017-12-16 00:00:00,PlanetKiller,BigJamGame I Start,11,8,4,2017-11-08 14:00:00,https://www.itch.io/jam/bigjamgame-i-start,y
,2017-10-22 11:00:00,Virtual Association,Virtual Game Jam 2017,11,0,8,2017-10-20 19:00:00,https://www.itch.io/jam/virtual-game-jam-2017,u
,2018-02-22 05:00:00,sketche99,Black History Month Jam,11,0,6,2018-02-01 11:00:00,https://www.itch.io/jam/black-history-month-jam,u
,2019-04-09 04:00:00,Darezar of Eledris,"Chronicles GameDev Challenge, Week 1",11,0,3,2019-04-02 04:00:00,https://www.itch.io/jam/chronicles-gamedev-challenge-week-1,u
,2018-04-14 04:00:00,Brantford Games Network,Positive Play: A Sex Ed Game Jam,11,0,3,2018-03-24 04:00:00,https://www.itch.io/jam/positive-play-a-sex-ed-game-jam,u
Overall||​Concept||Creativity||Interest||Visuals||Replayability,2018-04-04 02:00:00,THEREVENGER1,Devs Lounge Indie Game Jam 2018,11,2,2,2018-04-01 02:00:00,https://www.itch.io/jam/devs-lounge-indie-game-jam-of-2018,y
Overall,2019-02-20 11:00:00,Ice Cream Studios,Dog GameJam,11,0,3,2019-02-13 15:00:00,https://www.itch.io/jam/dog-gamejam,y
Gesamtwertung||Innovation||Spielspaß||Umsetzung des Themas||Grafik||Sound||Humor||Atmosphäre,2018-10-01 09:12:00,Chewbatrij,MoinMoinJam,11,6,3,2018-10-01 08:38:00,https://www.itch.io/jam/moinmoinjam,n
Overall goodness||Girliness||Cuteness,2018-10-31 00:00:00,symphonicpink,Girly Jam,11,11,3,2018-09-24 23:00:00,https://www.itch.io/jam/girly-jam,y
Sorprendentemente espantoso,2017-10-31 06:59:59,rubereaglenest||joshg,ECTOCOMP: La Petite Mort (Español),11,32,5,2017-10-03 07:36:00,https://www.itch.io/jam/ectocomp17lpm-sp,n
,2018-04-04 13:59:59,Ham,Heart Jam,11,0,5,2018-03-31 13:00:00,https://www.itch.io/jam/heart-jam,u
,2017-05-15 03:59:59,Liam Sauvé,#EPJam6,11,0,1,2017-05-12 04:00:01,https://www.itch.io/jam/epjam6,u
,2018-04-30 21:59:59,Andrey Kuzmin||Sam Gwilym,"Elm Game Jam / March, April — Randomness",11,0,5,2018-02-28 23:00:00,https://www.itch.io/jam/elm-game-jam-mar-apr-2018,u
Host Judgement||Enjoyment||Intuition||Effort,2019-07-24 08:00:00,Mattabulous,Mattabulous' Weekly Jam,11,0,2,2019-07-18 08:00:00,https://www.itch.io/jam/mattabulous-weekly-jam,y
Overall||Jazz-Feeling?||Playable?,2017-05-19 21:59:59,nucky_bad,JazzGames,11,0,2,2017-04-18 22:00:00,https://www.itch.io/jam/jazzgames,y
,2019-04-26 22:00:00,vigild||vidmaje||DocVonW||Code,Spiltalent - April 2019,11,0,6,2019-03-26 23:00:00,https://www.itch.io/jam/spiltalentapril19,u
,2015-05-06 04:59:59,FEMICOM Museum,FEMICOM Game Jam #1: Here's to Theresa Duncan!,11,0,11,2015-04-15 05:00:00,https://www.itch.io/jam/femicom-game-jam-1,u
,2018-10-14 14:25:00,Finnish Game Jam,Pikku Kakkonen Game Jam,11,0,6,2018-10-12 14:00:00,https://www.itch.io/jam/pikku-kakkonen-game-jam,u
,2018-01-02 22:00:00,P1X,Hangover Game Jam 2018,11,0,3,2017-12-31 23:00:00,https://www.itch.io/jam/hangover-game-jam-2018,u
Overall,2018-10-07 17:00:00,ecdc,Game Pratic' 2018,11,0,8,2018-10-04 16:00:00,https://www.itch.io/jam/game-pratic-2018,y
,2015-07-12 16:00:00,MalagaJam,MalagaJam Weekend 2,11,0,11,2015-07-10 13:00:00,https://www.itch.io/jam/malagajam-weekend-2,u
,2017-11-06 21:55:00,Zarkonnen,Color Scheme Jam,11,0,10,2017-11-06 18:30:00,https://www.itch.io/jam/color-scheme-jam-1,u
Overall||Graphics||Sound||Gameplay||Innovation||In keeping with the theme,2018-04-30 10:00:00,Squidishhead,Countryhack Spring,11,2,2,2018-04-28 10:00:00,https://www.itch.io/jam/countryhack-spring,y
Overall||Easy To Commentate Over||Funny||Original||Appealing,2017-03-31 11:00:00,PelexBoss,YouTube Game comp.,11,3,3,2017-03-18 21:00:00,https://www.itch.io/jam/youtube-game-comp,y
,2019-08-11 07:00:00,Kurt Potts,30-50 Feral Hogs Jam,11,0,5,2019-08-06 07:00:00,https://www.itch.io/jam/30-50-feral-hogs-jam,u
Overall||Gameplay||Story||Visuals||music,2018-08-15 04:00:00,Rubyknight,Summer RPG jam,11,3,3,2018-07-11 04:00:00,https://www.itch.io/jam/summer-rpg-jam,y
Jam||Overall Winner||Best Sound||Best Graphics||Cookies and Milk!!!!||Cookies!!!!||Milk!!!||TheCrafters001's Choice,2018-12-24 17:00:00,TheCrafters001,Jinglefest!,11,4,3,2018-12-01 05:00:00,https://www.itch.io/jam/jinglefest,y
Overall||Innovation – The unexpected unique idea.||Fun – Did you enjoy playing the game?||Theme – Does the game suit the theme? Is it a creative one?||Graphics – The look of the game.||Audio – How did the game sound?||Mood – The atmosphere of the game.||Stability - Is the system stable?||Overall – Your overall opinion of the game.,2017-09-17 19:00:00,Garzec,SPPRO Discord GameJam 2,11,14,3,2017-09-15 18:00:00,https://www.itch.io/jam/sppro-gamejam-2,y
FINAL RATING||THEME!||C O L O R F U L N E S S,2019-09-26 13:00:00,TheMadPigster,Weekly Rainbow Jam - Week 5,11,8,5,2019-09-20 13:00:00,https://www.itch.io/jam/weekly-rainbow-jam-week-5,y
,2016-10-30 21:00:00,Fellowship of the Game,FoG Game Jam,11,0,7,2016-10-28 21:00:00,https://www.itch.io/jam/fog-game-jam,u
